P1_ID	P2_ID	Duplication_type	HM_P1	HM_P2	HET	P1_unspecific	P2_unspecific	Strict_HM_P1	Strict_HM_P2	Compared_interface	Full_sequence_identity	PDB_sequence_identity	Interface_sequence_identity	Non_interface_sequence_identity	Same_phylome	PDB_length	Full_protein_length
YHL012W	YKL035W	WGD	NA	2i5k_1	NA	0	0	NA	2i5k_1	P2_HM	38.07	41.23	47.62	40.2	1	465	499
YGR256W	YHR183W	WGD	NA	2p4q_1	NA	0	1	NA	2p4q_1	P2_HM	87.4	87.82	92.15	84.91	1	476	489
YJL112W	YKR036C	WGD	5jst_1	NA	NA	0	0	5jst_1	NA	P1_HM	28.92	28.61	39.29	26.6	0	428	714
YML106W	YMR271C	WGD	2ps1_1	NA	NA	0	0	2ps1_1	NA	P1_HM	72.05	74.32	87.5	66.9	1	224	226
YBR169C	YPL106C	WGD	NA	2qxl_1	NA	0	1	NA	2qxl_1	P2_HM	75.61	77.8	76.09	77.93	1	617	693
YGR043C	YLR354C	WGD	3cq0_1	NA	NA	0	0	3cq0_1	NA	P1_HM	68.06	68.03	82.61	65.57	1	325	333
YDR353W	YHR106W	WGD	3itj_1	NA	NA	1	0	3d8x_1	NA	P1_HM	79.82	85.53	83.5	86.51	1	318	319
YBR014C	YDL010W	WGD	NA	5j3r_1	NA	0	0	NA	5j3r_1	P2_HM	34.33	49.56	57.14	49.06	1	114	231
YGR192C	YJR009C	WGD	3pym_1	NA	NA	1	1	3pym_1	NA	P1_HM	96.39	96.39	96.92	96.04	1	332	332
YLR453C	YPR162C	WGD	4bj1_1	NA	NA	0	0	4bj1_1	NA	P1_HM	10.87	16.48	17.5	16.02	0	261	395
YDL022W	YOL059W	WGD	4fgw_1	NA	NA	1	0	4fgw_1	NA	P1_HM	63.18	77.62	86.36	75.61	1	353	391
YBR145W	YOL086C	WGD	NA	4w6z_1	NA	0	0	NA	4w6z_1	P2_HM	75.78	76.66	84.75	75.0	1	347	348
YDR453C	YML028W	WGD	5ept_1	NA	NA	0	1	5ept_1	NA	P1_HM	85.71	86.55	87.91	85.0	1	178	196
YBR052C	YDR032C	WGD	NA	5mp4_1	NA	0	0	NA	5mp4_1	P2_HM	52.13	55.61	60.64	50.98	1	197	198
