P1	P2	Duplication	Sequence_identity_pair	Sequence_identity_MSA	Same_phylome
YEL064C	YER119C	SSD	18.01	16.67	1
YEL073C	YJR108W	SSD	24	16.94	0
YER038C	YGL066W	SSD	12.48	9.73	0
YER039C-A	YGL225W	SSD	16.86	16.02	1
YER040W	YFL021W	SSD	18.51	15.19	0
YER041W	YOR033C	SSD	16.83	12.23	0
YER061C	YPL231W	SSD	6.87	2.46	0
YER092W	YGR198W	SSD	5.39	4.41	0
YER107C	YOR026W	SSD	22.02	20	1
YER143W	YOR138C	SSD	12.18	8.78	0
YER159C	YOR358W	SSD	16.87	10.24	1
YER184C	YBL005W	SSD	19.58	16.28	1
YFL001W	YPL212C	SSD	16.22	13.3	0
YFL049W	YMR091C	SSD	14.52	12.8	0
YFL054C	YLL043W	SSD	19.3	13	1
YGL035C	YGL209W	SSD	21.52	18.6	0
YGL043W	YJR063W	SSD	14.06	10.32	0
YGL059W	YIL042C	SSD	20.55	15.9	1
YGL079W	YLR233C	SSD	7.54	6.28	0
YGL122C	YPR107C	SSD	10.96	8.97	0
YGL143C	YLR281C	SSD	10.58	9.5	0
YGL244W	YMR039C	SSD	11.39	8.83	0
YGL247W	YHR036W	SSD	10.11	8.44	1
YGR002C	YFR034C	SSD	13.02	10.02	0
YGR015C	YGR031W	SSD	21.14	17.32	1
YGR029W	YPR037C	SSD	21.8	16.9	1
YGR036C	YKR053C	SSD	12.53	9.55	0
YGR052W	YOL100W	SSD	10.4	6.31	0
YGR054W	YOR361C	SSD	15.67	9.09	0
YGR080W	YLL050C	SSD	9.94	9.01	0
YGR095C	YGR195W	SSD	22.22	18.39	0
YGR104C	YBL081W	SSD	15.84	9.32	0
YGR110W	YLR099C	SSD	20.49	14.6	1
YGR113W	YNL076W	SSD	14.31	5.99	0
YGR144W	YER014W	SSD	11.85	10.04	0
YGR163W	YML121W	SSD	21.37	18.31	1
YGR165W	YJR083C	SSD	16.9	9.33	0
YGR170W	YNL169C	SSD	9.93	7.67	0
YGR171C	YGR264C	SSD	15.3	12.95	1
YGR184C	YLR024C	SSD	18.18	13.68	1
YGR237C	YDR475C	SSD	17.63	14.08	0
YGR252W	YLR399C	SSD	13.16	10.3	0
YHR027C	YIL075C	SSD	16.71	13.16	0
YHR035W	YPR181C	SSD	20.49	17.7	1
YHR040W	YJR055W	SSD	13.28	9.19	0
YHR052W	YKR060W	SSD	15.53	13.32	0
YHR073W	YAR042W	SSD	21.06	14.56	0
YHR098C	YIL109C	SSD	21.9	18.1	1
YHR111W	YHR171W	SSD	12.42	8.28	0
YHR119W	YJL168C	SSD	13.71	8.39	0
YHR175W	YLR411W	SSD	18.25	12.01	0
YHR194W	YOR147W	SSD	22.06	17.35	0
YHR196W	YER002W	SSD	10.17	7.81	0
YIL021W	YPR110C	SSD	19.19	17.3	1
YIL103W	YKL191W	SSD	16.38	13.57	1
YIL137C	YHR047C	SSD	22.39	18.65	1
YJL016W	YNL278W	SSD	14.23	8.04	1
YJL035C	YPR062W	SSD	13.57	13.95	0
YJL057C	YOL016C	SSD	17.37	11.97	1
YJL146W	YBL085W	SSD	10.78	6.93	0
YJL194W	YML065W	SSD	12.24	8.66	1
YJL197W	YER144C	SSD	15.32	11.12	0
YJR043C	YJR002W	SSD	12.31	9.95	0
YJR094C	YMR173W	SSD	16.1	13.9	0
YKL009W	YLR340W	SSD	15.9	13.99	1
YKL012W	YPR152C	SSD	15.35	10.73	0
YKL025C	YJR030C	SSD	15.11	8.91	0
YKL034W	YOL013C	SSD	12.47	7.66	0
YKL107W	YNL181W	SSD	16.35	12.71	0
YKL140W	YLR020C	SSD	17	13.44	1
YKL171W	YCL024W	SSD	15.38	8.12	0
YKL188C	YPL147W	SSD	20.32	18.14	1
YKL196C	YLR268W	SSD	22.03	19.57	1
YKL208W	YNL311C	SSD	9.65	6.82	0
YKR008W	YDL070W	SSD	14.1	10.13	0
YKR017C	YML068W	SSD	16.2	8.86	0
YKR068C	YNL258C	SSD	6.23	4.77	0
YLL023C	YLR064W	SSD	20.79	18.42	1
YLL035W	YOR250C	SSD	14.77	10.45	0
YLR008C	YNL328C	SSD	28.09	19.32	1
YLR040C	YIL011W	SSD	21.03	20	0
YLR084C	YDR055W	SSD	10.33	5.34	0
YLR115W	YLR277C	SSD	16.83	12.3	1
YLR125W	YMR030W	SSD	10.64	8.24	0
YLR143W	YIL051C	SSD	5.26	4.66	0
YLR181C	YNL265C	SSD	18.78	9.86	0
YLR189C	YLR072W	SSD	13.78	5.73	0
YLR320W	YGR013W	SSD	10.02	7.21	0
YLR361C	YOR137C	SSD	19.8	15.64	1
YLR414C	YLR413W	SSD	12.04	10.9	0
YLR425W	YLR371W	SSD	16.47	10.84	0
YLR446W	YCL040W	SSD	18.9	15.76	0
YLR455W	YMR044W	SSD	16.56	9.62	0
YML017W	YCL032W	SSD	14.72	10.82	0
YML019W	YOR085W	SSD	17.58	15.99	0
YML069W	YNL206C	SSD	13.75	11.91	0
YML072C	YOR086C	SSD	20.84	18.36	1
YMR021C	YPR008W	SSD	14.18	8.79	0
YMR042W	YMR043W	SSD	18.97	17.53	1
YMR106C	YMR284W	SSD	17.62	11.74	0
YMR247C	YML097C	SSD	7.68	4.59	0
YMR300C	YKL104C	SSD	17.13	13	1
YMR313C	YOR081C	SSD	18.77	14.69	1
YNL040W	YOR335C	SSD	11.33	8.36	0
YNL113W	YOL005C	SSD	17.33	16.34	1
YNL119W	YNL279W	SSD	14.78	9.13	0
YNL155W	YOR052C	SSD	10.95	5.34	0
YNL238W	YOR003W	SSD	13.52	10.25	0
YNL247W	YPL160W	SSD	13.63	10.91	0
YNL304W	YER031C	SSD	15.74	14.35	0
YOR032C	YOR344C	SSD	16.37	11.25	0
YOR059C	YGL144C	SSD	15.88	11.2	1
YOR070C	YPL249C	SSD	14	6.33	0
YOR158W	YDR228C	SSD	13.49	9.25	0
YOR224C	YNL172W	SSD	2.97	1.95	0
YOR241W	YMR113W	SSD	19.09	17.96	1
YOR275C	YPL084W	SSD	17.54	13.34	1
YPL015C	YDL042C	SSD	17.45	15.02	1
YPL059W	YDR098C	SSD	17.28	14.57	1
YPL138C	YKR029C	SSD	10.75	5.54	0
YPL236C	YNL020C	SSD	12.5	11.88	1
YPL237W	YPR041W	SSD	12.2	8.49	1
YPR022C	YMR182C	SSD	7.5	3.97	0
YPR108W	YNL225C	SSD	13.81	10.14	0
YPR189W	YHR117W	SSD	11.51	7.24	0
YEL007W	YHR177W	SSD	21.93	16.89	1
YKL197C	YNL329C	SSD	21.94	16.17	1
YGR130C	YLR200W	SSD	4.53	2.82	0
YDL204W	YDR233C	WGD	22.47	19.49	1
YPL112C	YOR193W	WGD	18.26	14.96	1
YDR273W	YOR042W	WGD	19.35	17.3	0
YML007W	YDR423C	WGD	19.79	15.16	0
YLR273C	YOR178C	WGD	23.27	17.16	1
YDR028C	YBR050C	WGD	10.36	7.4	0
YIR018W	YOL028C	WGD	19.14	16.87	1
YLL021W	YLR313C	WGD	12.58	9.47	0
YLR457C	YPR174C	WGD	20.55	16.98	1
YER045C	YIL036W	WGD	22.33	19.63	1
YIR021W	YKL011C	WGD	20.48	19.63	1
YHR206W	YJR147W	WGD	14.46	13.16	0
YLR266C	YOR162C	WGD	22.2	18.9	1
YCR067C	YNR026C	WGD	18.92	17.8	1
YKL043W	YMR016C	WGD	19.08	13.72	1
YKR091W	YOR083W	WGD	21.94	17.38	0
YDR223W	YLR223C	WGD	13.08	11.71	0
YKL032C	YMR072W	WGD	12.06	10.39	0
YBR278W	YJL065C	WGD	23.15	18.02	0
YMR198W	YPL253C	WGD	21.8	19.33	1
YMR264W	YML101C	WGD	14.62	13.89	0
YOL091W	YBR148W	WGD	17.85	13.56	0
YGR188C	YJL013C	WGD	14.7	11.52	1
YER129W	YGL179C	WGD	22.15	15.03	0
YDL239C	YNL225C	WGD	17.48	11.47	1
YLR437C	YML058W	WGD	21.15	17.2	0
YCR089W	YNR044W	WGD	15.47	14.46	0
YKL105C	YMR086W	WGD	20.8	19.83	0
YJL076W	YKR010C	WGD	17.87	14.31	0
YDR206W	YLR233C	WGD	21.64	19.12	1
YKR078W	YOR069W	WGD	18.57	16.93	1
YPR162C	YLR453C	WGD	14.12	8.79	0
YGL075C	YPL200W	WGD	8.18	5.68	0
YBR182C	YPL089C	WGD	22.03	19.38	0
YMR180C	YPL228W	WGD	15.05	12.99	1
YDR480W	YPL049C	WGD	19.04	16.59	0
YLR031W	YMR124W	WGD	6.04	5.09	1
