orf	med	prey	homo	ppi	interaction	D	M	R	type_para	remove_MatA	comp_list	n.study	n.HM	HM.Kim	HM.bg.kim	HM.bg.kim.S	HM.PCA	HM.bg.kim.S.PCA
YAL037W	6.82642248650099	YAL037W	0	0	0	2.87562477827	3.3399483165301	0.464323538260095	wgd	NA	NA	NA	NA	0	0	0	NA	0
YAL039C	12.129474771907	YAL039C	1	0	0	6.16410643616891	6.76128527336162	0.597178837192714	ssd	NA	Two-hybrid(22257001)	1	1	0	1	1	NA	1
YAL040C	11.7985766312191	YAL040C	0	0	0	5.16453288337933	6.0420708221837	0.877537938804366	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YAL041W	11.9507826385085	YAL041W	1	0	0	4.20420333239365	3.30601136515964	-0.898191967234007	ssd-successiv	NA	Affinity Capture-Western(18378681);Two-hybrid(11489916)	2	1	0	1	1	NA	1
YAL042W	6.95414939500066	YAL042W	0	0	0	4.88450512448582	4.80946589463946	-0.0750392298463636	ssd	NA	NA	NA	NA	0	0	0	1	1
YAL043C	6.65665410771607	YAL043C	1	0	0	6.41256645969622	6.86263735755879	0.450070897862572	S	NA	Affinity Capture-MS(14759368);Affinity Capture-MS(16554755)	2	1	NA	1	1	NA	1
YAL044C	11.7976645424661	YAL044C	0	0	0	9.01582201619154	9.02559362131079	0.00977160511925312	S	NA	NA	NA	NA	0	0	0	NA	0
YAL046C	11.6760609896657	YAL046C	0	0	0	6.36081724257437	5.84059163556743	-0.52022560700694	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YAL047C	13.7554515319017	YAL047C	4	1	1	3.99842118872913	3.86001922694698	-0.138401961782156	ssd-successiv	NA	FRET(18850724);PCA(22875988);Reconstituted Complex(18850724);Two-hybrid(22875988);Two-hybrid(9606209)	5	5	0	1	1	NA	1
YAL048C	6.95250543119515	YAL048C	0	0	0	2.83000376373142	0.991179141210652	-1.83882462252077	ssd-successiv	NA	NA	NA	NA	1	1	1	NA	1
YAL051W	7.15761016818795	YAL051W	2	0	0	4.9797418532182	4.89935450584039	-0.0803873473778101	wgd	NA	Affinity Capture-MS(16554755);Reconstituted Complex(18671944)	2	1	NA	1	1	NA	1
YAL054C	11.9517912687952	YAL054C	0	0	0	2.83000376373142	2.82452144381635	-0.00548231991506487	ssd-successiv	NA	NA	NA	NA	1	1	1	NA	1
YAL055W	11.8475223671456	YAL055W	0	0	0	4.53525671090384	4.38059786029366	-0.154658850610178	S	NA	NA	NA	NA	0	0	0	NA	0
YAL056W	11.2839564586606	YAL056W	0	0	0	5.25170015947594	5.63431155531674	0.382611395840796	wgd	NA	NA	NA	NA	0	0	0	0	0
YAL061W	6.98271178290506	YAL061W	0	0	0	5.42940171979661	3.18772341420822	-2.24167830558839	ssd	NA	NA	NA	NA	0	0	0	NA	0
YAL063C	11.7949982343337	YAL063C	0	0	0	2.52466801633163	4.2668914601554	1.74222344382377	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YAL063C-A	11.4393413001469	YAL063C-A	0	0	0	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	0	NA	0
YAL064C-A	9.47677710865596	YAL064C-A	0	0	0	0	0.991179141210652	0.991179141210652	ssd-successiv	NA	NA	NA	NA	NA	NA	0	NA	0
YAL064W	11.4844615133244	YAL064W	0	0	0	NA	NA	NA	S	NA	NA	NA	NA	0	0	0	NA	0
YAL064W-B	9.14020415562927	YAL064W-B	0	0	0	0	0	0	S	NA	NA	NA	NA	0	0	0	NA	0
YAL065C	6.91277755043541	YAL065C	0	0	0	0	0	0	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YAL067W-A	11.7046050116631	YAL067W-A	0	0	0	NA	NA	NA	ssd-successiv	NA	NA	NA	NA	NA	NA	0	NA	0
YAL068C	6.99929521487266	YAL068C	0	0	0	NA	NA	NA	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YAR002W	12.5412671561378	YAR002W	0	0	1	5.64757067167755	5.68308725016804	0.0355165784904985	ssd-successiv	NA	Affinity Capture-MS(15741174);Affinity Capture-MS(16554755)	2	0	1	1	1	NA	1
YAR003W	11.5099582223108	YAR003W	0	0	0	4.85473875300095	5.68308725016804	0.828348497167098	ssd-successiv	NA	Affinity Capture-MS(16554755);Affinity Capture-Western(29444071)	2	0	0	0	0	NA	0
YAR007C	6.77441095422938	YAR007C	2	0	0	5.85156916172992	5.74755389617402	-0.104015265555898	S	NA	Affinity Capture-MS(11805837);Affinity Capture-MS(16554755);Affinity Capture-MS(20190278);Affinity Capture-Western(18342608);Affinity Capture-Western(23122649);Two-hybrid(18342608);Two-hybrid(25719602);Two-hybrid(9632824)	8	2	0	1	1	NA	1
YAR014C	7.09664716915792	YAR014C	0	0	0	4.80434789326392	4.93707598070345	0.132728087439532	S	NA	NA	NA	NA	0	0	0	NA	0
YAR018C	12.5682394782171	YAR018C	1	0	1	6.65596141021541	8.67101024127845	2.01504883106304	ssd-successiv	NA	Two-hybrid(22875988)	1	1	0	1	1	NA	1
YAR020C	11.7644938541783	YAR020C	0	0	0	0	0	0	S	NA	NA	NA	NA	0	0	0	NA	0
YAR028W	6.57693432761162	YAR028W	2	0	0	2.16731296325649	0	-2.16731296325649	ssd-successiv	NA	PCA(16093310);Two-hybrid(18719252)	2	2	0	1	1	NA	1
YAR029W	6.76080021986186	YAR029W	0	0	0	0	0.927036267683973	0.927036267683973	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YAR031W	11.4587877467003	YAR031W	0	0	0	1.45729484837647	4.50034317247624	3.04304832409977	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YAR035C-A	11.5776240623451	YAR035C-A	0	0	0	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	0	NA	0
YAR035W	10.3248789419081	YAR035W	0	0	0	2.87562477827	4.73784897437117	1.86222419610117	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YAR042W	15.1340680647048	YAR042W	2	1	1	4.72010879081651	5.02723811187913	0.307129321062617	wgd	NA	Affinity Capture-MS(16554755);PCA(18467557)	2	2	0	1	1	1	1
YAR042W	15.1340680647048	YAR042W	2	1	1	4.72010879081651	5.02723811187913	0.307129321062617	wgd	NA	Affinity Capture-MS(16554755);PCA(18467557)	2	2	0	1	1	NA	1
YAR064W	11.7599873787307	YAR064W	0	0	0	NA	NA	NA	ssd	NA	NA	NA	NA	0	0	0	0	0
YAR066W	11.6750295855589	YAR066W	0	0	0	NA	NA	NA	ssd	NA	NA	NA	NA	0	0	0	0	0
YAR068W	7.12411204483424	YAR068W	0	0	0	1.37005265571591	2.67991917497906	1.30986651926315	S	NA	NA	NA	NA	NA	NA	0	NA	0
YAR073W	10.6028775371387	YAR073W	0	0	0	NA	NA	NA	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YBL004W	11.8418648443673	YBL004W	1	0	0	5.55333899792529	5.69204493593254	0.138705938007251	S	NA	Affinity Capture-MS(21724601)	1	1	0	1	1	NA	1
YBL006C	6.65814076587311	YBL006C	0	0	0	4.27294138278313	4.30512420290556	0.032182820122439	S	NA	NA	NA	NA	0	0	0	NA	0
YBL007C	14.2369084354025	YBL007C	3	1	1	6.40607231815215	6.04865906074511	-0.357413257407046	ssd-successiv	NA	PCA(18467557);Reconstituted Complex(19345193);Reconstituted Complex(20150898);Two-hybrid(11743162);Two-hybrid(19841731)	5	3	NA	1	1	NA	1
YBL008W	11.1293009871532	YBL008W	2	0	0	4.61729260483408	5.06389980142422	0.446607196590135	ssd-successiv	NA	Affinity Capture-MS(16554755);Affinity Capture-Western(9001207);Affinity Capture-Western(9504914)	3	2	0	1	1	NA	1
YBL008W-A	11.3475697450581	YBL008W-A	0	0	0	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	0	NA	0
YBL009W	11.8630857919865	YBL009W	0	0	0	4.06293334499368	3.03754563618114	-1.02538770881254	wgd	NA	NA	NA	NA	0	0	0	NA	0
YBL010C	11.0296035656095	YBL010C	0	0	0	2.64103498409098	0.927036267683973	-1.71399871640701	S	NA	NA	NA	NA	0	0	0	NA	0
YBL011W	6.85663955181235	YBL011W	0	0	0	4.20420333239365	4.44170921501153	0.237505882617879	ssd	NA	NA	NA	NA	0	0	0	NA	0
YBL013W	6.85141100588852	YBL013W	0	0	0	2.16731296325649	0	-2.16731296325649	S	NA	NA	NA	NA	0	0	0	NA	0
YBL014C	6.70097306198827	YBL014C	1	0	0	3.28238939134922	4.66307131265128	1.38068192130207	S	NA	Two-hybrid(8887672)	1	1	NA	1	1	NA	1
YBL015W	11.5234787233562	YBL015W	0	0	0	4.85473875300095	6.82718389581953	1.97244514281858	S	NA	NA	NA	NA	0	0	0	NA	0
YBL016W	11.0140201329705	YBL016W	3	0	0	2.42353245578277	4.18882816241232	1.76529570662954	ssd-successiv	NA	Biochemical Activity(23953117);Biochemical Activity(8049522);FRET(18077328);PCA(21118957);Two-hybrid(7851759)	5	3	0	1	1	NA	1
YBL017C	15.139602788023	YBL017C	2	1	1	4.53525671090384	4.89935450584039	0.364097794936551	ssd-successiv	NA	Affinity Capture-MS(14759368);PCA(18467557)	2	2	0	1	1	NA	1
YBL018C	11.9619496158031	YBL018C	0	0	0	4.89762283431222	5.56763670836054	0.670013874048314	S	NA	Affinity Capture-Western(17881380)	1	0	0	0	0	NA	0
YBL019W	11.5754348477227	YBL019W	0	0	0	3.14534649396722	3.98341320676268	0.838066712795464	S	NA	Affinity Capture-MS(16554755)	1	0	0	0	0	NA	0
YBL020W	12.4138432741464	YBL020W	0	0	0	4.56663861090493	4.50034317247624	-0.0662954384286989	S	NA	NA	NA	NA	0	0	0	NA	0
YBL021C	11.9460559862107	YBL021C	0	0	0	3.36104823560291	4.3167756974515	0.955727461848593	ssd-successiv	NA	Affinity Capture-MS(16554755)	1	0	0	0	0	NA	0
YBL022C	10.1379445968618	YBL022C	1	0	0	6.46212104809364	6.8011845291587	0.339063481065063	S	NA	Affinity Capture-MS(22940862)	1	1	1	1	1	NA	1
YBL023C	11.3066922950698	YBL023C	3	0	0	5.50846668441301	5.31320230902662	-0.195264375386385	ssd-successiv	NA	Affinity Capture-Western(26686640);Affinity Capture-Western(8756666);Two-hybrid(8756666)	3	3	0	1	1	NA	1
YBL024W	11.3896204164856	YBL024W	0	0	0	8.3183123216066	7.81659970653491	-0.501712615071686	ssd-successiv	NA	NA	NA	NA	1	1	1	NA	1
YBL025W	6.98162867831652	YBL025W	0	0	0	0.776904935324964	1.010042193189	0.233137257864033	S	NA	Affinity Capture-Western(29357286);Two-hybrid(10688190)	2	0	0	0	0	NA	0
YBL026W	11.6302966993171	YBL026W	0	0	0	3.36104823560291	2.67991917497906	-0.681129060623844	ssd-successiv	NA	Affinity Capture-MS(11805837);Affinity Capture-MS(16554755);Two-hybrid(10428970);Two-hybrid(10688190);Two-hybrid(10900456)	5	0	NA	0	0	NA	0
YBL028C	11.7088612430597	YBL028C	0	0	0	4.9525665409428	4.56800777581335	-0.384558765129456	S	NA	NA	NA	NA	0	0	0	NA	0
YBL031W	10.4797516102589	YBL031W	0	0	0	1.94628544583841	0.991179141210652	-0.955106304627763	ssd	NA	NA	NA	NA	0	0	0	NA	0
YBL033C	14.9551493949643	YBL033C	3	1	1	5.93627515864085	6.34168871212616	0.405413553485315	S	NA	PCA(18467557);PCA(22615397);Two-hybrid(18719252)	3	3	NA	1	1	NA	1
YBL035C	6.74555074845827	YBL035C	0	0	0	5.5441422293208	5.60799306137445	0.0638508320536442	S	NA	Affinity Capture-MS(16554755)	1	0	0	0	0	NA	0
YBL036C	11.0163407001603	YBL036C	0	0	0	4.32319710823933	4.18882816241232	-0.13436894582701	S	NA	Affinity Capture-MS(16554755)	1	0	0	0	0	NA	0
YBL037W	6.59614640723538	YBL037W	1	0	0	5.93599005291727	5.99697393165945	0.0609838787421788	ssd-successiv	NA	Affinity Capture-MS(16554755);Affinity Capture-MS(22940862);Two-hybrid(18719252)	3	1	0	1	1	NA	1
YBL039W-B	15.2024232700374	YBL039W-B	0	1	1	6.14643731896414	7.34181678266395	1.19537946369981	S	NA	NA	NA	NA	NA	NA	1	NA	1
YBL042C	11.2462291741413	YBL042C	0	0	0	5.84204102661434	7.48750242779675	1.64546140118241	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YBL043W	11.7587814746182	YBL043W	0	0	0	2.42353245578277	4.38059786029366	1.95706540451089	wgd	NA	NA	NA	NA	NA	NA	0	NA	0
YBL044W	6.73469372048217	YBL044W	0	0	0	NA	NA	NA	S	NA	NA	NA	NA	0	0	0	NA	0
YBL045C	11.6513750955232	YBL045C	1	0	0	7.98462922214758	7.77028727310468	-0.214341949042896	ssd-successiv	NA	Affinity Capture-Western(20826334);Two-hybrid(11283351)	2	1	0	1	1	NA	1
YBL046W	11.6947291518483	YBL046W	0	0	0	2.74579880884521	3.32389747153499	0.578098662689782	S	NA	Affinity Capture-MS(16554755)	1	0	0	0	0	NA	0
YBL049W	10.6388732738111	YBL049W	0	0	0	1.45729484837647	3.76755946281604	2.31026461443957	S	NA	Affinity Capture-MS(11805837)	1	0	0	0	0	NA	0
YBL050W	6.60988677544644	YBL050W	0	0	0	7.63391067274139	7.5598282804432	-0.0740823922981875	S	NA	NA	NA	NA	NA	NA	0	NA	0
YBL055C	11.3433008080228	YBL055C	0	0	0	3.62627558304979	4.07081005259229	0.444534469542499	S	NA	NA	NA	NA	0	0	0	NA	0
YBL057C	7.2029695966712	YBL057C	0	0	0	5.34412188620352	4.88978988833676	-0.454331997866759	S	NA	NA	NA	NA	0	0	0	NA	0
YBL058W	10.129029373619	YBL058W	0	0	0	6.2820876139513	5.55365847388024	-0.728429140071056	ssd-successiv	NA	Affinity Capture-MS(16554755)	1	0	NA	0	0	NA	0
YBL059C-A	11.5599103610893	YBL059C-A	0	0	0	4.1217945774892	4.85511265478514	0.733318077295943	S	NA	NA	NA	NA	0	0	0	NA	0
YBL059W	6.85792738526389	YBL059W	0	0	0	4.43311969782023	5.73752182619975	1.30440212837952	wgd	NA	NA	NA	NA	0	0	0	NA	0
YBL060W	12.2932686729527	YBL060W	0	0	0	5.09477233512521	6.87726572581353	1.78249339068833	ssd-successiv	NA	NA	NA	NA	NA	NA	0	NA	0
YBL061C	10.1634303229398	YBL061C	0	0	0	4.20420333239365	4.01876768490101	-0.185435647492642	wgd	NA	Two-hybrid(11489916);Two-hybrid(9314530)	2	0	0	0	0	NA	0
YBL063W	6.97709815519344	YBL063W	0	0	0	4.95936677469595	5.37504638407736	0.415679609381401	ssd-successiv	NA	Two-hybrid(22875988)	1	0	0	0	0	NA	0
YBL064C	12.350219329893	YBL064C	2	0	0	8.72626925742519	10.0430136086952	1.31674435127004	ssd	NA	Reconstituted Complex(18552404);Reconstituted Complex(26159064)	2	2	0	1	1	NA	1
YBL066C	6.9594316186373	YBL066C	0	0	0	4.85473875300095	3.60331181060005	-1.2514269424009	ssd	NA	NA	NA	NA	0	0	0	NA	0
YBL068W	13.5905994880684	YBL068W	0	1	1	5.87321523186372	5.46811407158363	-0.405101160280084	wgd	NA	NA	NA	NA	0	0	1	NA	1
YBL071C-B	11.5569531730611	YBL071C-B	0	0	0	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	0	NA	0
YBL071W-A	11.4844125715544	YBL071W-A	0	0	0	3.02405544462416	2.33795651491887	-0.686098929705298	S	NA	NA	NA	NA	0	0	0	NA	0
YBL074C	11.5723735365432	YBL074C	1	0	0	1.37005265571591	3.44335336200626	2.07330070629034	S	NA	Affinity Capture-MS(14759368)	1	1	0	1	1	NA	1
YBL075C	11.3438245304654	YBL075C	0	0	0	4.17973396605741	4.62687129638928	0.447137330331874	wgd	NA	NA	NA	NA	0	0	0	1	1
YBL078C	10.9852383376395	YBL078C	0	0	0	4.13638007950834	4.92623668441333	0.789856604904987	S	NA	Two-hybrid(11283351);Two-hybrid(18719252);Two-hybrid(27477278)	3	0	1	1	1	NA	1
YBL081W	6.7991425870733	YBL081W	1	0	0	5.58759901981814	5.02723811187913	-0.560360907939008	ssd-successiv	NA	Reconstituted Complex(19345193)	1	1	0	1	1	NA	1
YBL082C	6.64031289875459	YBL082C	0	0	0	5.69247462501686	7.66889207365935	1.97641744864249	S	NA	NA	NA	NA	0	0	0	NA	0
YBL085W	12.4212609436102	YBL085W	0	0	0	4.63064426993776	4.47853828444368	-0.152105985494087	wgd	NA	PCA(28751498);Two-hybrid(11489916);Two-hybrid(19841731)	3	1	0	1	1	NA	1
YBL086C	14.3277221601188	YBL086C	0	1	1	4.43311969782023	4.54270379224349	0.109584094423261	ssd	NA	Affinity Capture-MS(16554755)	1	0	0	0	1	NA	1
YBL088C	10.3776711909418	YBL088C	0	0	0	5.40531849095817	6.42916567936129	1.02384718840313	ssd-successiv	NA	NA	NA	NA	NA	NA	0	NA	0
YBL089W	10.8347332101459	YBL089W	0	0	0	5.22691307505884	5.50625282807353	0.279339753014686	ssd_wgd	NA	NA	NA	NA	NA	NA	0	0	0
YBL089W	10.8347332101459	YBL089W	0	0	0	5.22691307505884	5.50625282807353	0.279339753014686	ssd_wgd	NA	NA	NA	NA	NA	NA	0	0	0
YBL093C	11.1293807694718	YBL093C	0	0	0	4.07450543636363	4.68342697637019	0.608921540006564	S	NA	Affinity Capture-MS(16554755)	1	0	0	0	0	NA	0
YBL095W	11.3773475362965	YBL095W	0	0	0	4.73791926099064	5.58108305211095	0.843163791120309	S	NA	NA	NA	NA	0	0	0	NA	0
YBL097W	7.15973022120686	YBL097W	0	0	0	3.93198555641425	2.60165611094695	-1.3303294454673	ssd	NA	Affinity Capture-MS(16554755)	1	0	0	0	0	NA	0
YBL098W	13.0192443050627	YBL098W	0	1	1	3.40634890627492	6.34168871212616	2.93533980585124	S	NA	NA	NA	NA	NA	NA	1	NA	1
YBL100W-C	9.7172265623773	YBL100W-C	0	0	0	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	0	NA	0
YBL101C	9.73046788812458	YBL101C	0	0	0	4.63064426993776	5.1527229088374	0.522078638899633	ssd_wgd	NA	NA	NA	NA	0	0	0	NA	0
YBL102W	14.5413116172251	YBL102W	1	1	1	6.0111646254419	4.93707598070345	-1.07408864473845	S	NA	PCA(18467557)	1	1	0	1	1	NA	1
YBL103C	10.332710466707	YBL103C	0	0	0	1.37005265571591	1.57319029959131	0.203137643875398	ssd-successiv	NA	Two-hybrid(22875988)	1	0	0	0	0	NA	0
YBL104C	7.16166814464009	YBL104C	0	0	0	6.35085080548338	6.65490377933563	0.304052973852253	S	NA	NA	NA	NA	0	0	0	NA	0
YBL106C	11.4423565487468	YBL106C	0	0	0	2.74579880884521	3.79092839084601	1.04512958200081	wgd	NA	NA	NA	NA	0	0	0	NA	0
YBL107C	11.237586665643	YBL107C	0	0	0	3.77382757898069	3.30601136515964	-0.467816213821051	S	NA	NA	NA	NA	0	0	0	NA	0
YBL108C-A	7.11132199272585	YBL108C-A	0	0	0	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	0	NA	0
YBL111C	11.5399116462178	YBL111C	0	0	0	NA	NA	NA	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YBL113C	11.3596534631571	YBL113C	0	0	0	NA	NA	NA	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YBR002C	6.68404858348203	YBR002C	0	0	0	5.60122405751465	5.11209540839529	-0.489128649119355	ssd	NA	PCA(18467557)	1	0	0	0	0	NA	0
YBR003W	10.4427666426499	YBR003W	0	0	0	5.04899029897778	4.37547043728435	-0.673519861693428	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YBR004C	6.83283450667978	YBR004C	0	0	0	4.2890745637073	5.30490159716321	1.01582703345591	S	NA	NA	NA	NA	NA	NA	0	NA	0
YBR005W	11.1315669615143	YBR005W	0	0	0	2.83000376373142	2.98452737602896	0.154523612297542	wgd	NA	NA	NA	NA	0	0	0	NA	0
YBR006W	15.1281671429005	YBR006W	3	1	1	4.93926419640439	5.78350903885003	0.844244842445637	ssd-successiv	NA	PCA(18467557);PCA(22615397);Two-hybrid(18719252)	3	3	0	1	1	NA	1
YBR007C	11.4911259382267	YBR007C	0	0	0	4.06142195950972	5.62651506601713	1.56509310650742	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YBR008C	11.5116016240101	YBR008C	0	0	0	6.37585441071982	7.77564978356268	1.39979537284285	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YBR014C	7.07097372915781	YBR014C	1	0	0	4.61883182435018	4.30512420290556	-0.313707621444615	wgd	NA	Reconstituted Complex(18171082)	1	1	NA	1	1	NA	1
YBR015C	11.0292984563928	YBR015C	1	0	0	4.51248606786198	4.10639857507574	-0.406087492786233	ssd	NA	Affinity Capture-MS(22940862)	1	1	0	1	1	NA	1
YBR016W	9.32388027451796	YBR016W	1	0	0	7.10086204252897	7.32680696540903	0.225944922880059	wgd	NA	Reconstituted Complex(19345193)	1	1	0	1	1	NA	1
YBR018C	11.6935370651192	YBR018C	0	0	0	1.65092536011202	0	-1.65092536011202	S	NA	NA	NA	NA	0	0	0	NA	0
YBR019C	11.2642292016109	YBR019C	1	0	0	2.42353245578277	1.59833185333547	-0.825200602447302	ssd-successiv	NA	Two-hybrid(18719252)	1	1	0	1	1	NA	1
YBR020W	11.8718172687467	YBR020W	0	0	0	1.94628544583841	3.79092839084601	1.8446429450076	wgd	NA	NA	NA	NA	0	0	0	NA	0
YBR022W	11.8454679452757	YBR022W	0	0	0	3.36104823560291	2.86978456555895	-0.491263670043952	S	NA	NA	NA	NA	0	0	0	NA	0
YBR023C	11.848609204229	YBR023C	4	0	0	4.89762283431222	4.66307131265128	-0.234551521660941	ssd-successiv	NA	Affinity Capture-Western(23926947);PCA(18467557);PCA(28346351);Reconstituted Complex(23926947);Two-hybrid(23926947);Two-hybrid(9314530)	6	5	0	1	1	NA	1
YBR025C	14.6719532295584	YBR025C	1	1	1	7.95749676929931	7.01985756056669	-0.937639208732612	ssd-successiv	NA	Affinity Capture-MS(14759368)	1	1	NA	1	1	NA	1
YBR026C	10.9327216555198	YBR026C	0	0	0	3.15769374687077	3.94690861316987	0.7892148662991	S	NA	NA	NA	NA	0	0	0	NA	0
YBR033W	11.6736551688071	YBR033W	0	0	0	4.88393844790833	5.26741219740469	0.383473749496362	wgd	NA	NA	NA	NA	0	0	0	NA	0
YBR035C	10.4821471637001	YBR035C	1	0	0	8.01902354599809	7.5598282804432	-0.459195265554885	S	NA	Reconstituted Complex(26327315)	1	1	NA	1	1	NA	1
YBR036C	14.1229524486663	YBR036C	1	1	1	4.77598288085166	5.01938612357051	0.243403242718856	S	NA	PCA(16093310)	1	1	0	1	1	NA	1
YBR037C	6.97891378041687	YBR037C	1	0	0	5.5627675001856	4.01876768490101	-1.54399981528459	wgd	NA	Reconstituted Complex(11086158)	1	1	0	1	1	NA	1
YBR039W	11.0859240451788	YBR039W	0	0	0	8.52559519308187	8.72381109291049	0.198215899828622	S	NA	NA	NA	NA	1	1	1	NA	1
YBR040W	11.9071998962664	YBR040W	0	0	0	0.776904935324964	0	-0.776904935324964	ssd	NA	NA	NA	NA	0	0	0	NA	0
YBR041W	14.7514203320842	YBR041W	1	1	1	5.13116553572124	3.76755946281604	-1.3636060729052	ssd-successiv	NA	PCA(18467557)	1	1	0	1	1	NA	1
