"yORF"	"GFP tagged?"	"GFP visualized?"	"TAP visualized?"	"abundance"	"error"	"localization summary"	"ambiguous"	"mitochondrion"	"vacuole"	"spindle pole"	"cell periphery"	"punctate composite"	"vacuolar membrane"	"ER"	"nuclear periphery"	"endosome"	"bud neck"	"microtubule"	"Golgi"	"late Golgi"	"peroxisome"	"actin"	"nucleolus"	"cytoplasm"	"ER to Golgi"	"early Golgi"	"lipid particle"	"nucleus"	"bud"
"YAL034W-A"	"tagged"	"visualized"	"TAP visualized"	2610	"NA"	"spindle pole"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAL035W"	"tagged"	"visualized"	"TAP visualized"	13400	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YAL036C"	"tagged"	"visualized"	"TAP visualized"	11700	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YAL038W"	"tagged"	"visualized"	"TAP visualized"	291000	"24100.0"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YAL039C"	"tagged"	"visualized"	"TAP visualized"	3870	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAL041W"	"tagged"	"visualized"	"TAP visualized"	1010	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YAL043C"	"tagged"	"visualized"	"TAP visualized"	3730	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YAL044C"	"tagged"	"visualized"	"TAP visualized"	3510	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAL047C"	"tagged"	"visualized"	"TAP visualized"	639	"NA"	"spindle pole"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAL049C"	"tagged"	"visualized"	"TAP visualized"	1800	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YAL053W"	"tagged"	"visualized"	"TAP visualized"	414	"NA"	"ambiguous,bud neck,cell periphery,punctate composite,late Golgi,bud"	"T"	"F"	"F"	"F"	"T"	"T"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"
"YAL054C"	"tagged"	"visualized"	"TAP visualized"	2890	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YAL055W"	"tagged"	"visualized"	"TAP visualized"	259	"NA"	"punctate composite"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAL056W"	"tagged"	"visualized"	"TAP visualized"	"low signal"	"NA"	"cytoplasm,mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YAL058W"	"tagged"	"visualized"	"TAP visualized"	4760	"NA"	"ER"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAL059W"	"tagged"	"visualized"	"TAP visualized"	2840	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YAL060W"	"tagged"	"visualized"	"TAP visualized"	8730	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YAL061W"	"tagged"	"visualized"	"TAP visualized"	3090	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YAR002C-A"	"tagged"	"visualized"	"TAP visualized"	20700	"NA"	"vacuolar membrane"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAR002W"	"tagged"	"visualized"	"TAP visualized"	4590	"NA"	"nuclear periphery"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAR003W"	"tagged"	"visualized"	"TAP visualized"	907	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YAR007C"	"tagged"	"visualized"	"TAP visualized"	4100	"486.0"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YAR009C"	"tagged"	"visualized"	"TAP visualized"	2220	"NA"	"punctate composite"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAR014C"	"tagged"	"visualized"	"TAP visualized"	538	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YAR015W"	"tagged"	"visualized"	"TAP visualized"	4280	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YAR019C"	"tagged"	"visualized"	"TAP visualized"	238	"NA"	"ambiguous,spindle pole"	"T"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAR027W"	"tagged"	"visualized"	"TAP visualized"	1690	"NA"	"ambiguous"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAR028W"	"tagged"	"visualized"	"TAP visualized"	1840	"NA"	"ambiguous"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAR044W"	"tagged"	"visualized"	"TAP visualized"	846	"NA"	"punctate composite"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAR071W"	"tagged"	"visualized"	"TAP visualized"	1460	"NA"	"vacuole"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YBL001C"	"tagged"	"visualized"	"TAP visualized"	1900	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YBL002W"	"tagged"	"visualized"	"TAP visualized"	443000	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YBL003C"	"tagged"	"visualized"	"TAP visualized"	32100	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YBL004W"	"tagged"	"visualized"	"not TAP visualized"	"not visualized"	"NA"	"cytoplasm,nucleolus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"T"	"F"	"F"	"F"	"F"	"F"
"YBL005W"	"tagged"	"visualized"	"TAP visualized"	166	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YBL007C"	"tagged"	"visualized"	"TAP visualized"	952	"NA"	"cytoplasm,actin"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YBL008W"	"tagged"	"visualized"	"TAP visualized"	846	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YBL010C"	"tagged"	"visualized"	"TAP visualized"	1320	"NA"	"late Golgi"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YBL011W"	"tagged"	"visualized"	"TAP visualized"	1050	"NA"	"ER"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YBL013W"	"tagged"	"visualized"	"TAP visualized"	1070	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YBL014C"	"tagged"	"visualized"	"TAP visualized"	237	"36.3"	"cytoplasm,nucleolus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"T"	"F"	"F"	"F"	"F"	"F"
"YBL015W"	"tagged"	"visualized"	"TAP visualized"	4890	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YBL016W"	"tagged"	"visualized"	"TAP visualized"	8480	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YBL017C"	"tagged"	"visualized"	"TAP visualized"	7210	"NA"	"punctate composite,endosome"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YBL018C"	"tagged"	"visualized"	"TAP visualized"	4870	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YBL019W"	"tagged"	"visualized"	"TAP visualized"	414	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YBL021C"	"tagged"	"visualized"	"TAP visualized"	2510	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YBL022C"	"tagged"	"visualized"	"TAP visualized"	14500	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YBL023C"	"tagged"	"visualized"	"TAP visualized"	1690	"261.0"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YBL024W"	"tagged"	"visualized"	"TAP visualized"	16100	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YBL025W"	"tagged"	"visualized"	"TAP visualized"	"low signal"	"NA"	"nucleolus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"
"YBL026W"	"tagged"	"visualized"	"TAP visualized"	2210	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YBL027W"	"tagged"	"visualized"	"TAP visualized"	225000	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YBL028C"	"tagged"	"visualized"	"TAP visualized"	6210	"NA"	"nucleolus,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"T"	"F"
"YBL029C-A"	"tagged"	"visualized"	"TAP visualized"	996	"NA"	"cell periphery"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YBL029W"	"tagged"	"visualized"	"TAP visualized"	"low signal"	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YBL031W"	"tagged"	"visualized"	"TAP visualized"	264	"NA"	"microtubule"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YBL032W"	"tagged"	"visualized"	"TAP visualized"	15600	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YBL033C"	"tagged"	"visualized"	"TAP visualized"	9520	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YBL034C"	"tagged"	"visualized"	"TAP visualized"	521	"NA"	"ambiguous,spindle pole"	"T"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YBL035C"	"tagged"	"visualized"	"TAP visualized"	11200	"1700.0"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YBL036C"	"tagged"	"visualized"	"TAP visualized"	4890	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YBL037W"	"tagged"	"visualized"	"TAP visualized"	1590	"NA"	"bud neck,cell periphery"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YBL038W"	"tagged"	"visualized"	"TAP visualized"	2880	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YBL039C"	"tagged"	"visualized"	"TAP visualized"	57600	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YBL040C"	"tagged"	"visualized"	"TAP visualized"	"low signal"	"NA"	"ER"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YBL042C"	"tagged"	"visualized"	"TAP visualized"	"low signal"	"NA"	"cell periphery,bud"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"
"YBL045C"	"tagged"	"visualized"	"TAP visualized"	19300	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YBL046W"	"tagged"	"visualized"	"TAP visualized"	1010	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YBL047C"	"tagged"	"visualized"	"TAP visualized"	1380	"NA"	"punctate composite"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YBL051C"	"tagged"	"visualized"	"TAP visualized"	4630	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YBL052C"	"tagged"	"visualized"	"TAP visualized"	"low signal"	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YBL054W"	"tagged"	"visualized"	"TAP visualized"	830	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
