YAL001C	YMR192W
YCR004C	YDR032C
YCR007C	YAR027W
YCR008W	YJL165C
YCR009C	YDR388W
YCR011C	YDR406W
YCR018C	YPL021W
YCR021C	YDR033W
YCR023C	YBR241C
YCR024C	YHR019C
YCR027C	YIL118W
YCR028C	YAL067C
YCR033W	YLR263W
YCR036W	YJR105W
YCR039C	YCL067C
YCR040W	YCL066W
YCR045C	YEL060C
YCR051W	YPL239W
YCR057C	YLR129W
YCR059C	YDL177C
YCR060W	YDR320C
YCR061W	YNL237W
YCR065W	YNL068C
YCR066W	YDR143C
YCR072C	YMR092C
YCR077C	YDR356W
YCR079W	YDL006W
YCR083W	YLR043C
YCR084C	YCR072C
YCR086W	YDL058W
YCR088W	YHL002W
YCR089W	YKR102W
YCR092C	YHR120W
YCR095C	YNL099C
YCR096C	YCR039C
YCR097W	YGL096W
YCR098C	YOL103W
YCR099C	YJL222W
YCR100C	YJL222W
YCR101C	YNR066C
YCR102C	YLR460C
YCR105W	YMR318C
YCR106W	YLL054C
YCR107W	YNL331C
YDL001W	YFR048W
YDL002C	YMR072W
YDL003W	YLR309C
YDL006W	YBR125C
YDL007W	YDR394W
YDL008W	YNL116W
YDL017W	YLL019C
YDL018C	YAL007C
YDL020C	YDR096W
YDL024C	YBR093C
YDL025C	YNL183C
YDL028C	YBR028C
YDL029W	YFL039C
YDL030W	YLR074C
YDL031W	YJL033W
YDL037C	YIR019C
YDL038C	YHL028W
YDL039C	YNR044W
YDL044C	YDR285W
YDL047W	YDL134C
YDL049C	YJL174W
YDL051W	YEL032W
YDL054C	YKL221W
YDL055C	YDR211W
YDL056W	YER111C
YDL058W	YKR095W
YDL059C	YML032C
YDL060W	YPL217C
YDL063C	YBL101C
YDL064W	YGL058W
YDL065C	YNL136W
YDL066W	YLR174W
YDL072C	YKL065C
YDL074C	YDL058W
YDL078C	YKL085W
YDL080C	YLR044C
YDL081C	YDL130W
YDL084W	YDL160C
YDL090C	YPR176C
YDL091C	YML013W
YDL093W	YDL095W
YDL098C	YNL227C
YDL099W	YPL190C
YDL101C	YPL153C
YDL102W	YPL167C
YDL104C	YKR038C
YDL106C	YDR451C
YDL108W	YPR161C
YDL113C	YDR425W
YDL114W	YLR426W
YDL115C	YNL061W
YDL117W	YKR092C
YDL119C	YBR291C
YDL122W	YNL186W
YDL124W	YBR149W
YDL125C	YDR305C
YDL126C	YLR397C
YDL128W	YNL321W
YDL132W	YGR003W
YDL140C	YOR116C
YDL142C	YPR113W
YDL143W	YJR064W
YDL145C	YGL137W
YDL147W	YKR095W
YDL148C	YDL074C
YDL154W	YOL090W
YDL156W	YGL100W
YDL159W	YJL128C
YDL160C	YKR059W
YDL164C	YOR005C
YDL165W	YPR072W
YDL168W	YLR070C
YDL170W	YDR213W
YDL171C	YDR376W
YDL174C	YEL071W
YDL178W	YEL071W
YDL185W	YDL227C
YDL195W	YLR337C
YDL197C	YDR285W
YDL198C	YJR095W
YDL199C	YNL318C
YDL203C	YBL061C
YDL206W	YJR106W
YDL208W	YEL026W
YDL209C	YBR212W
YDL210W	YGL077C
YDL216C	YFR004W
YDL217C	YNR017W
YDL218W	YNR061C
YDL223C	YGR014W
YDL225W	YJR076C
YDL230W	YOR208W
YDL234C	YGR100W
YDL239C	YOR195W
YDL240W	YDR379W
YDL243C	YNL331C
YDL244W	YFL058W
YDL245C	YJR158W
YDL246C	YJR159W
YDL247W	YJR160C
YDL248W	YJR161C
YDR002W	YIL063C
YDR004W	YER179W
YDR011W	YNR070W
YDR014W	YOR195W
YDR017C	YDR173C
YDR020C	YNR012W
YDR021W	YKR059W
YDR022C	YER089C
YDR023W	YHR011W
YDR027C	YDL058W
YDR028C	YIL119C
YDR030C	YBR195C
YDR034C	YOR337W
YDR034C-C	YLR410W-A
YDR034C-D	YLR410W-B
YDR037W	YNL073W
YDR038C	YDR039C
YDR039C	YDR040C
YDR045C	YGL070C
YDR049W	YBR267W
YDR054C	YMR022W
YDR060W	YPR144C
YDR061W	YER036C
YDR062W	YDR232W
YDR067C	YNL032W
YDR072C	YKL004W
YDR074W	YMR261C
YDR075W	YDL047W
YDR081C	YNR044W
YDR082W	YLR098C
YDR088C	YNL272C
YDR089W	YPL019C
YDR090C	YBR147W
YDR091C	YER036C
YDR092W	YDR059C
YDR097C	YCR092C
YDR098C-A	YMR051C
YDR098C-B	YGR038C-B
YDR103W	YJL157C
YDR109C	YNL249C
YDR110W	YGL093W
YDR119W	YBR293W
YDR120C	YIL031W
YDR126W	YLR246W
YDR128W	YPL247C
YDR131C	YJL149W
YDR135C	YLL015W
YDR138W	YMR294W
YDR139C	YLL039C
YDR142C	YLL011W
YDR143C	YLR247C
YDR145W	YNL283C
YDR148C	YNL071W
YDR150W	YKR095W
YDR153C	YJR125C
YDR155C	YML078W
YDR160W	YPL265W
YDR162C	YBR200W
YDR163W	YAL035W
YDR164C	YDR189W
YDR165W	YLR222C
YDR166C	YPR141C
YDR168W	YDL058W
YDR169C	YBR270C
YDR170C	YJR031C
YDR170W-A	YBL005W-A
YDR172W	YPR080W
YDR174W	YKL032C
YDR176W	YGR159C
YDR177W	YDR059C
YDR180W	YFR019W
YDR181C	YLR309C
YDR182W	YIL039W
YDR182W-A	YMR034C
YDR183W	YGR209C
YDR188W	YJR064W
YDR189W	YGL095C
YDR190C	YPL235W
YDR191W	YOR025W
YDR192C	YKL068W
YDR194C	YMR290C
YDR197W	YHR063C
YDR198C	YPL208W
YDR201W	YHR023W
YDR205W	YMR243C
YDR207C	YLR256W
YDR208W	YFR019W
YDR210C-C	YMR051C
YDR210C-D	YDR098C-B
YDR210W-A	YOR343W-A
YDR210W-B	YOR343W-B
YDR212W	YIL142W
YDR214W	YNL281W
YDR216W	YDR146C
YDR217C	YMR219W
YDR218C	YJR076C
YDR221W	YLR309C
YDR226W	YER170W
YDR227W	YDL058W
YDR234W	YGL009C
YDR235W	YML046W
YDR237W	YJR005W
YDR238C	YPL195W
YDR242W	YBR208C
YDR243C	YPL119C
YDR244W	YMR018W
YDR245W	YJL183W
YDR255C	YPL016W
YDR256C	YGR088W
YDR257C	YKL082C
YDR258C	YLL026W
YDR260C	YBL047C
YDR261C	YOR190W
YDR261C-C	YPL257W-A
YDR261C-D	YDR365W-B
YDR261W-A	YGR161W-A
YDR261W-B	YDR210W-B
YDR265W	YLR427W
YDR267C	YKR036C
YDR268W	YOL097C
YDR276C	YDL123W
YDR282C	YDL001W
YDR283C	YPR033C
YDR284C	YDR503C
YDR285W	YDL058W
YDR287W	YHR046C
YDR289C	YDR532C
YDR291W	YGL251C
YDR292C	YPR088C
YDR293C	YOL021C
YDR294C	YMR250W
YDR295C	YOR195W
YDR297W	YGR060W
YDR299W	YDR356W
YDR307W	YDL093W
YDR310C	YIR019C
YDR313C	YFR019W
YDR314C	YER162C
YDR316W-B	YPR158W-B
YDR318W	YPL255W
YDR319C	YGL126W
YDR320C	YNL088W
YDR321W	YLR160C
YDR322W	YLR178C
YDR323C	YKR095W
YDR324C	YLR129W
YDR325W	YNL054W
YDR332W	YDR194C
YDR334W	YGL150C
YDR336W	YER006W
YDR337W	YDL058W
YDR338C	YHR032W
YDR339C	YOR004W
YDR342C	YDR343C
YDR345C	YHR094C
YDR346C	YDR222W
YDR347W	YJR101W
YDR349C	YDR144C
YDR352W	YOL092W
YDR356W	YKR095W
YDR359C	YJL176C
YDR364C	YKR036C
YDR365C	YPL263C
YDR365W-B	YPL257W-B
YDR369C	YDR285W
YDR373W	YKL190W
YDR375C	YGR270W
YDR378C	YER112W
YDR380W	YLR044C
YDR381W	YKL214C
YDR382W	YOL039W
YDR384C	YNR002C
YDR387C	YOL103W
YDR390C	YKL210W
YDR391C	YOR012W
YDR393W	YOR195W
YDR395W	YJR132W
YDR397C	YDR121W
YDR398W	YCR057C
YDR399W	YJR133W
YDR402C	YHR007C
YDR404C	YKL144C
YDR414C	YIL047C
YDR415C	YBR286W
YDR420W	YGR014W
YDR421W	YML076C
YDR422C	YER027C
YDR429C	YPL043W
YDR430C	YOL098C
YDR432W	YCL011C
YDR435C	YOL141W
YDR439W	YKL042W
YDR440W	YDR270W
YDR444W	YDL109C
YDR446W	YDL058W
YDR448W	YFR037C
YDR449C	YLR117C
YDR454C	YDR061W
YDR457W	YER125W
YDR459C	YNL326C
YDR461W	YNL145W
YDR464W	YDL058W
YDR466W	YDR490C
YDR468C	YKL041W
YDR477W	YDR507C
YDR479C	YHR150W
YDR483W	YOR099W
YDR484W	YER155C
YDR485C	YMR124W
YDR486C	YOR195W
YDR492W	YOL002C
YDR495C	YDL099W
YDR496C	YLL013C
YDR498C	YOL069W
YDR506C	YFL041W
YDR519W	YNL135C
YDR520C	YOL089C
YDR523C	YHR102W
YDR524C	YIL044C
YDR525W-A	YJL151C
YDR532C	YDL058W
YDR533C	YPL280W
YDR534C	YOR383C
YDR536W	YEL069C
YDR541C	YOL151W
YDR542W	YGL261C
YEL009C	YHL009C
YEL011W	YGR292W
YEL012W	YDR092W
YEL013W	YNL189W
YEL015W	YOR329C
YEL018W	YNL250W
YEL019C	YOR156C
YEL020C	YLR044C
YEL020W-A	YHR005C-A
YEL025C	YBL067C
YEL027W	YPL234C
YEL029C	YNR027W
YEL031W	YOR291W
YEL032W	YBL023C
YEL036C	YML115C
YEL037C	YMR276W
YEL040W	YLR213C
YEL042W	YER005W
YEL043W	YNL250W
YEL049W	YGR294W
YEL050C	YIL018W
YEL051W	YDR356W
YEL058W	YMR278W
YEL064C	YER119C
YEL065W	YHL040C
YEL066W	YPR193C
YEL069C	YNR072W
YEL073C	YJR108W
YEL075C	YER189W
YEL076C	YLR467W
YEL077C	YIL177C
YER006W	YNR053C
YER007W	YKL193C
YER008C	YOR195W
YER011W	YOR010C
YER012W	YBL041W
YER013W	YGL120C
YER015W	YMR246W
YER017C	YMR089C
YER019C-A	YER087C-B
YER020W	YHR005C
YER021W	YDL147W
YER022W	YHR077C
YER025W	YOR187W
YER029C	YNL147W
YER036C	YFR009W
YER038C	YGL066W
YER039C-A	YGL225W
YER040W	YFL021W
YER041W	YOR033C
YER047C	YPL074W
YER048C	YIR004W
YER053C	YJR077C
YER056C	YER060W-A
YER060W	YER056C
YER061C	YPL231W
YER065C	YPR006C
YER066W	YFL009W
YER072W	YJL012C
YER073W	YOR374W
YER075C	YOR208W
YER078C	YFR006W
YER079W	YDR443C
YER080W	YGR130C
YER082C	YPL195W
YER086W	YKL218C
YER087W	YKL194C
YER090W	YNR033W
YER092W	YGR198W
YER093C	YDR356W
YER095W	YER179W
YER100W	YGL058W
YER106W	YJL074C
YER107C	YOR026W
YER109C	YDR096W
YER110C	YMR308C
YER112W	YNL147W
YER113C	YLR083C
YER116C	YKL195W
YER118C	YLR191W
YER122C	YDL226C
YER123W	YNL154C
YER130C	YMR037C
YER133W	YML016C
YER136W	YOR370C
YER138C	YML039W
YER138W-A	YIL060W
YER143W	YOR138C
YER146W	YFL017W-A
YER151C	YFR010W
YER152C	YHR137W
YER155C	YDR379W
YER159C	YOR358W
YER160C	YHR214C-B
YER164W	YOR304W
YER165W	YFR023W
YER167W	YOR359W
YER171W	YPL008W
YER172C	YGR271W
YER175C	YHR209W
YER176W	YKL017C
YER184C	YBL005W
YER185W	YGR213C
YER186C	YOR385W
YER187W	YGL262W
YER188C-A	YOL166W-A
YER190W	YPL283C
YFL001W	YPL212C
YFL002C	YMR290C
YFL003C	YHR120W
YFL005W	YFL038C
YFL008W	YLR086W
YFL011W	YMR011W
YFL013C	YDR208W
YFL016C	YNL064C
YFL017W-A	YNL147W
YFL020C	YGR294W
YFL022C	YNL073W
YFL023W	YNL308C
YFL029C	YPL031C
YFL033C	YNL161W
YFL034C-B	YIL106W
YFL037W	YML085C
YFL040W	YHR092C
YFL041W	YMR058W
YFL047W	YBR260C
YFL049W	YMR091C
YFL050C	YOL130W
YFL051C	YKR102W
YFL052W	YBR297W
YFL053W	YML070W
YFL054C	YLL043W
YFL055W	YEL063C
YFL056C	YNL331C
YFL057C	YDL243C
YFL058W	YNL332W
YFL062W	YNL336W
YFL064C	YPR202W
YFL065C	YPR203W
YFL066C	YPR204W
YFL067W	YMR307W
YFR002W	YLR319C
YFR008W	YKL179C
YFR010W	YMR304W
YFR016C	YDL058W
YFR019W	YDR188W
YFR021W	YPL100W
YFR028C	YGR189C
YFR030W	YHR042W
YFR031C	YFL008W
YFR037C	YJL176C
YFR038W	YOR304W
YFR041C	YNL064C
YFR045W	YBR291C
YFR050C	YER094C
YFR051C	YPL259C
YFR055W	YLR303W
YFR057W	YOR337W
YGL001C	YOL151W
YGL003C	YGL116W
YGL004C	YFL009W
YGL005C	YBR130C
YGL006W	YGL167C
YGL008C	YPL036W
YGL009C	YLR304C
YGL011C	YML092C
YGL012W	YNL280C
YGL014W	YGL178W
YGL018C	YNL007C
YGL019W	YOR039W
YGL023C	YNR006W
YGL026C	YCL064C
YGL028C	YMR305C
YGL029W	YPL105C
YGL035C	YGL209W
YGL038C	YJR075W
YGL039W	YGL157W
YGL043W	YJR063W
YGL044C	YIL061C
YGL048C	YOR259C
YGL055W	YNL111C
YGL058W	YMR022W
YGL059W	YIL042C
YGL064C	YNR038W
YGL065C	YNL048W
YGL073W	YHR206W
YGL075C	YDL058W
YGL077C	YNR056C
YGL078C	YNL112W
YGL079W	YLR233C
YGL080W	YHR162W
YGL083W	YDR180W
YGL086W	YIL149C
YGL087C	YDR059C
YGL091C	YIL003W
YGL092W	YMR047C
YGL093W	YDL058W
YGL094C	YOL080C
YGL099W	YNR053C
YGL100W	YLR208W
YGL106W	YBR109C
YGL110C	YGR196C
YGL119W	YLR253W
YGL122C	YPR107C
YGL125W	YPL023C
YGL128C	YNL064C
YGL131C	YPR031W
YGL136C	YCL054W
YGL141W	YDR457W
YGL142C	YOR149C
YGL143C	YLR281C
YGL147C	YNL067W
YGL150C	YOR304W
YGL153W	YDL058W
YGL155W	YPR176C
YGL160W	YLR047C
YGL161C	YHL019C
YGL164C	YLR086W
YGL171W	YGL078C
YGL172W	YGR119C
YGL173C	YOR048C
YGL178W	YPR042C
YGL180W	YPL141C
YGL181W	YDR524C
YGL185C	YPL113C
YGL186C	YER060W
YGL190C	YLL011W
YGL194C	YNL330C
YGL200C	YAR002C-A
YGL201C	YPR019W
YGL202W	YHR137W
YGL203C	YBR139W
YGL212W	YDR468C
YGL213C	YLR129W
YGL215W	YNL289W
YGL216W	YBL063W
YGL220W	YAL046C
YGL226W	YIL111W
YGL233W	YJL074C
YGL238W	YJR132W
YGL241W	YGL238W
YGL242C	YCR051W
YGL244W	YMR039C
YGL245W	YOR168W
YGL247W	YHR036W
YGL251C	YER172C
YGL254W	YPR186C
YGL255W	YLR130C
YGL257C	YNR059W
YGL258W	YOR387C
YGL258W-A	YIR039C
YGL259W	YIR039C
YGL261C	YAL068C
YGL263W	YNL336W
YGR002C	YFR034C
YGR007W	YGR202C
YGR009C	YMR017W
YGR012W	YGR155W
YGR015C	YGR031W
YGR019W	YOL140W
YGR020C	YHR167W
YGR027W-A	YPR137C-A
YGR027W-B	YJR029W
YGR028W	YPL074W
YGR029W	YPR037C
YGR036C	YKR053C
YGR038C-A	YDR098C-A
YGR042W	YDR096W
YGR047C	YBR112C
YGR052W	YOL100W
YGR054W	YOR361C
YGR055W	YHL036W
YGR059W	YHR107C
YGR067C	YOR113W
YGR068C	YOR018W
YGR074W	YER112W
YGR080W	YLL050C
YGR083C	YKR026C
YGR086C	YPL004C
YGR087C	YLR044C
YGR089W	YDL058W
YGR091W	YLR197W
YGR095C	YGR195W
YGR096W	YPR011C
YGR098C	YOR380W
YGR100W	YOL112W
YGR104C	YBL081W
YGR109W-A	YGR109W-B
YGR109W-B	YIL082W-A
YGR110W	YLR099C
YGR113W	YNL076W
YGR119C	YMR047C
YGR120C	YBL063W
YGR123C	YML016C
YGR125W	YPR003C
YGR126W	YDR464W
YGR129W	YDR356W
YGR130C	YOR195W
YGR132C	YGR231C
YGR133W	YDR059C
YGR135W	YGR253C
YGR144W	YER014W
YGR145W	YBR195C
YGR152C	YOR101W
YGR154C	YKR076W
YGR159C	YHR086W
YGR161W-A	YFL002W-B
YGR161W-B	YFL002W-A
YGR163W	YML121W
YGR165W	YJR083C
YGR167W	YDR170C
YGR169C	YOL066C
YGR170W	YNL169C
YGR171C	YGR264C
YGR177C	YOR377W
YGR179C	YCL029C
YGR181W	YHR005C-A
YGR184C	YLR024C
YGR185C	YOL097C
YGR186W	YDR153C
YGR189C	YLR213C
YGR191W	YKR039W
YGR193C	YNL071W
YGR196C	YGR159C
YGR199W	YAL023C
YGR200C	YLR222C
YGR201C	YPL048W
YGR203W	YPR200C
YGR210C	YHL014C
YGR218W	YGL241W
YGR223C	YFR021W
YGR224W	YKR105C
YGR225W	YGL003C
YGR229C	YHR077C
YGR232W	YOR034C
YGR233C	YPL110C
YGR234W	YIL043C
YGR237C	YDR475C
YGR240C	YMR205C
YGR245C	YNL091W
YGR246C	YPR086W
YGR249W	YOR140W
YGR250C	YER165W
YGR252W	YLR399C
YGR253C	YOL038W
YGR257C	YBR192W
YGR258C	YKL113C
YGR260W	YLR004C
YGR261C	YKL135C
YGR270W	YLL034C
YGR272C	YDR356W
YGR274C	YLR309C
YGR276C	YLR107W
YGR281W	YLL015W
YGR282C	YMR305C
YGR285C	YNL227C
YGR287C	YOL157C
YGR288W	YBR297W
YGR289C	YBR298C
YGR295C	YNL336W
YHL002W	YDR358W
YHL004W	YGR214W
YHL007C	YNL298W
YHL008C	YJL165C
YHL009C	YML007W
YHL009W-A	YJL114W
YHL009W-B	YJL113W
YHL010C	YNL079C
YHL011C	YBL068W
YHL013C	YDL058W
YHL019C	YPL259C
YHL024W	YNL016W
YHL027W	YOR113W
YHL028W	YOR008C
YHL039W	YPL208W
YHL040C	YHL047C
YHL042W	YKL219W
YHL043W	YGL263W
YHL044W	YAR027W
YHL046C	YGL261C
YHL048W	YGR295C
YHL049C	YML133C
YHL050C	YLL066C
YHR002W	YPR011C
YHR004C	YLL010C
YHR007C	YMR015C
YHR012W	YDR176W
YHR013C	YPR051W
YHR018C	YPL262W
YHR022C	YNL180C
YHR023W	YAL029C
YHR024C	YLR163C
YHR026W	YEL027W
YHR027C	YIL075C
YHR028C	YOR219C
YHR031C	YML061C
YHR035W	YPR181C
YHR037W	YMR169C
YHR039C	YER073W
YHR040W	YJR055W
YHR042W	YPR048W
YHR043C	YHR044C
YHR048W	YOR273C
YHR049W	YOR280C
YHR050W	YOL122C
YHR052W	YKR060W
YHR055C	YHR053C
YHR056C	YHR054C
YHR064C	YDL229W
YHR065C	YHR169W
YHR071W	YNL289W
YHR073W	YAR042W
YHR079C	YNR047W
YHR079C-A	YBL047C
YHR082C	YER129W
YHR088W	YNL075W
YHR090C	YOR064C
YHR092C	YDR343C
YHR096C	YHR094C
YHR098C	YIL109C
YHR099W	YKL203C
YHR104W	YJR096W
YHR105W	YMR004W
YHR110W	YGL002W
YHR111W	YHR171W
YHR112C	YAL012W
YHR113W	YKL103C
YHR114W	YDR356W
YHR119W	YJL168C
YHR120W	YDR097C
YHR126C	YOR010C
YHR128W	YNR012W
YHR129C	YFL039C
YHR138C	YNL015W
YHR147C	YNL067W
YHR148W	YPL081W
YHR154W	YDL058W
YHR156C	YLR309C
YHR159W	YER151C
YHR164C	YER176W
YHR166C	YBL084C
YHR167W	YDL058W
YHR168W	YPL051W
YHR175W	YLR411W
YHR178W	YOR337W
YHR179W	YPL171C
YHR182W	YDL058W
YHR184W	YNL250W
YHR186C	YJL112W
YHR192W	YOL054W
YHR194W	YOR147W
YHR195W	YPL190C
YHR196W	YER002W
YHR198C	YHR199C
YHR204W	YJR131W
YHR205W	YMR104C
YHR207C	YPL165C
YHR210C	YNR071C
YHR211W	YAL063C
YHR212W-A	YAR050W
YHR213W	YHR211W
YHR214C-C	YHR214C-B
YHR214W	YAR066W
YHR216W	YLR432W
YHR218W	YBL111C
YIL001W	YIL112W
YIL002C	YOR109W
YIL005W	YCL043C
YIL009W	YMR246W
YIL011W	YOR010C
YIL013C	YOR011W
YIL014C-A	YIL102C
YIL015W	YDR144C
YIL021W	YPR110C
YIL029C	YPR071W
YIL031W	YPL020C
YIL035C	YOR061W
YIL038C	YPR072W
YIL041W	YPR148C
YIL043C	YML125C
YIL046W	YFL009W
YIL047C	YJL198W
YIL048W	YAL026C
YIL060W	YOR192C-C
YIL061C	YHR015W
YIL063C	YLR335W
YIL077C	YKR092C
YIL078W	YKL194C
YIL083C	YLR454W
YIL088C	YBL089W
YIL089W	YLR036C
YIL094C	YNL037C
YIL103W	YKL191W
YIL107C	YJL155C
YIL112W	YMR068W
YIL115C	YJL041W
YIL116W	YDR111C
YIL118W	YPR165W
YIL120W	YIL121W
YIL124W	YMR226C
YIL126W	YOR290C
YIL130W	YJL206C
YIL134W	YIL006W
YIL136W	YLR309C
YIL137C	YHR047C
YIL140W	YKR100C
YIL142W	YJR064W
YIL144W	YJR134C
YIL147C	YLR006C
YIL153W	YPL152W
YIL159W	YNL271C
YIL160C	YPL028W
YIL162W	YPL109C
YIL166C	YAL067C
YIL169C	YOL155C
YIL173W	YJL222W
YIL177C	YJL225C
YIR001C	YGR159C
YIR002C	YGL078C
YIR003W	YLR330W
YIR005W	YFR023W
YIR006C	YBL047C
YIR009W	YDR429C
YIR012W	YGL137W
YIR013C	YLR013W
YIR017C	YDL058W
YIR023W	YIL130W
YIR026C	YFR028C
YIR031C	YNL117W
YIR035C	YIR036C
YIR039C	YLR120C
YIR041W	YPL282C
YJL001W	YOR157C
YJL003W	YDL218W
YJL005W	YOR373W
YJL008C	YJL014W
YJL012C	YFL004W
YJL014W	YDR212W
YJL016W	YNL278W
YJL024C	YJR058C
YJL031C	YKL019W
YJL033W	YMR290C
YJL034W	YLL024C
YJL035C	YPR062W
YJL036W	YMR004W
YJL037W	YJL038C
YJL041W	YOR098C
YJL042W	YOR227W
YJL043W	YKR015C
YJL047C	YDL132W
YJL049W	YDR285W
YJL050W	YLR398C
YJL051W	YLR278C
YJL052W	YJR009C
YJL056C	YPR186C
YJL057C	YOL016C
YJL060W	YGL202W
YJL061W	YDL058W
YJL062W	YLL031C
