	complex name: list	gene id: list	data source: list	gene name: list
61	wodaklab complex#0	YAL035W,YBL027W,YBL072C,YBL092W,YBR031W,YBR048W,YBR084C-A,YBR084W,YBR142W,YBR181C,YBR189W,YBR191W,YCR031C,YDL014W,YDL075W,YDL082W,YDL083C,YDL136W,YDR012W,YDR025W,YDR064W,YDR174W,YDR382W,YDR418W,YDR447C,YDR450W,YDR471W,YDR496C,YEL026W,YEL054C,YER074W,YER102W,YFR031C-A,YFR032C-A,YGL014W,YGL030W,YGL031C,YGL076C,YGL103W,YGL123W,YGL135W,YGL147C,YGR027C,YGR034W,YGR085C,YGR103W,YGR105W,YGR118W,YGR281W,YHL001W,YHL015W,YHL033C,YHR010W,YHR029C,YHR141C,YHR203C,YIL009W,YIL018W,YIL069C,YIL133C,YJL177W,YJL190C,YJL191W,YJR094W-A,YJR123W,YJR145C,YKL077W,YKL180W,YKR081C,YLL045C,YLR029C,YLR075W,YLR093C,YLR150W,YLR287C,YLR287C-A,YLR325C,YLR340W,YLR344W,YLR367W,YLR406C,YLR432W,YLR441C,YLR448W,YML024W,YML026C,YML056C,YML063W,YML073C,YML099C,YMR116C,YMR142C,YMR143W,YMR194W,YMR242C,YMR290C,YNL061W,YNL067W,YNL069C,YNL096C,YNL112W,YNL132W,YNL178W,YNL301C,YNL302C,YOL039W,YOL040C,YOL041C,YOL047C,YOL077C,YOL120C,YOL127W,YOR063W,YOR096W,YOR204W,YOR234C,YOR252W,YOR293W,YOR312C,YPL012W,YPL087W,YPL090C,YPL093W,YPL131W,YPL143W,YPL198W,YPL220W,YPL249C-A,YPR067W,YPR102C	wodaklab	ARG81,ASC1,BRX1,DBP2,DED1,FAA3,FUN12,HAS1,HMO1,IMD3,IMD4,ISA2,KRE33,MAK5,MIS1,NOG1,NOP1,NOP12,NOP2,NOP7,NYV1,PUF4,PUF6,RPF2,RPL10,RPL11A,RPL11B,RPL12A,RPL12B,RPL13A,RPL13B,RPL14B,RPL15A,RPL16A,RPL16B,RPL17A,RPL17B,RPL18A,RPL18B,RPL19A,RPL19B,RPL1A,RPL1B,RPL20A,RPL20B,RPL21A,RPL24A,RPL25,RPL26A,RPL26B,RPL27A,RPL27B,RPL28,RPL29,RPL2A,RPL2B,RPL3,RPL30,RPL31A,RPL31B,RPL32,RPL33A,RPL33B,RPL35B,RPL36A,RPL36B,RPL38,RPL42B,RPL43B,RPL4A,RPL4B,RPL5,RPL6A,RPL6B,RPL7A,RPL7B,RPL8A,RPL8B,RPL9A,RPL9B,RPP0,RPP2A,RPP2B,RPS10A,RPS11A,RPS11B,RPS13,RPS14A,RPS14B,RPS15,RPS16A,RPS16B,RPS17A,RPS17B,RPS18A,RPS18B,RPS19B,RPS1A,RPS1B,RPS2,RPS20,RPS22A,RPS22B,RPS23A,RPS24A,RPS24B,RPS25A,RPS3,RPS30A,RPS4A,RPS4B,RPS5,RPS6A,RPS6B,RPS7A,RPS7B,RPS8A,RPS8B,RPS9B,RRP12,SNU13,STM1,TMA16,VMA21,YDC1,YHI9,YKL077W,YLR287C,YOL047C,YOR1
62	wodaklab complex#34	YAL035W,YBL072C,YBR079C,YDR025W,YDR091C,YDR429C,YER025W,YER102W,YLR192C,YMR146C,YMR309C,YNL244C,YOR204W,YOR361C,YPR041W	wodaklab	DED1,FUN12,GCD11,HCR1,NIP1,PRT1,RLI1,RPG1,RPS11A,RPS8A,RPS8B,SUI1,TIF34,TIF35,TIF5
63	eukaryotic translation initiation factor 3 complex	YAL035W,YBR079C,YDR091C,YDR429C,YLR192C,YMR146C,YMR309C,YNL244C,YOR361C,YPR041W	benchshop	FUN12,HCR1,NIP1,PRT1,RLI1,RPG1,SUI1,TIF34,TIF35,TIF5
64	wodaklab complex#169	YAL036C,YJR019C,YNL054W,YOR091W	wodaklab	RBG1,TES1,TMA46,VAC7
65	putative Cdc19-Pyk2 isozyme complex	YAL038W,YOR347C	benchshop	CDC19,PYK2
66	putative Cyc3-Yat1 complex	YAL039C,YAR035W	benchshop	CYC3,YAT1
67	CLN3-CDC28 kinase complex	YAL040C,YBR135W,YBR160W	complex portal	CDC28,CKS1,CLN3
68	wodaklab complex#653	YAL040C,YLR237W	wodaklab	CLN3,THI7
69	CLA4-BEM1-CDC24 polarity complex	YAL041W,YBR200W,YNL298W	complex portal	BEM1,CDC24,CLA4
70	putative Boi2-Cdc24 complex,wodaklab complex#672	YAL041W,YER114C	benchshop,wodaklab	BOI2,CDC24
71	CDC24-FAR1-Gbetagamma complex	YAL041W,YJL157C,YJR086W,YOR212W	complex portal	CDC24,FAR1,STE18,STE4
72	wodaklab complex#258	YAL042W,YER004W,YML067C	wodaklab	ERV41,ERV46,FMP52
73	ERV41-ERV46 retrograde receptor complex	YAL042W,YML067C	complex portal	ERV41,ERV46
74	putative Erv46-Erv41-Ero1 complex	YAL042W,YML067C,YML130C	benchshop	ERO1,ERV41,ERV46
75	wodaklab complex#15	YAL043C,YAR014C,YBL102W,YDR195W,YDR301W,YER133W,YER158C,YFR028C,YGL142C,YGR156W,YJR093C,YKL018W,YKL059C,YKR002W,YLR115W,YLR277C,YMR061W,YNL222W,YNL317W,YOR179C,YPR107C	wodaklab	BUD14,CDC14,CFT1,CFT2,FIP1,GLC7,GPI10,MPE1,PAP1,PFS2,PTA1,PTI1,REF2,RNA14,SFT2,SSU72,SWD2,SYC1,YER158C,YSH1,YTH1
76	CPF complex	YAL043C,YDR195W,YDR301W,YER133W,YGR156W,YJR093C,YKL018W,YKL059C,YKR002W,YLR115W,YLR277C,YMR061W,YNL222W,YNL317W,YOR179C,YPR107C	benchshop	CFT1,CFT2,FIP1,GLC7,MPE1,PAP1,PFS2,PTA1,PTI1,REF2,RNA14,SSU72,SWD2,SYC1,YSH1,YTH1
77	Cleavage and polyadenylation specificity factor complex	YAL043C,YDR195W,YDR301W,YER133W,YGR156W,YJR093C,YKL018W,YKL059C,YKR002W,YLR115W,YLR277C,YNL222W,YNL317W,YOR179C,YPR107C	complex portal	CFT1,CFT2,FIP1,GLC7,MPE1,PAP1,PFS2,PTA1,PTI1,REF2,SSU72,SWD2,SYC1,YSH1,YTH1
78	Glycine decarboxylase multienzyme complex ,glycine cleavage complex (GO)	YAL044C,YDR019C,YFL018C,YMR189W	complex portal,benchshop	GCV1,GCV2,GCV3,LPD1
79	gamma-tubulin small complex, spindle pole body,wodaklab complex#131	YAL047C,YHR172W,YLR212C,YNL126W	benchshop,wodaklab	SPC72,SPC97,SPC98,TUB4
80	wodaklab complex#590	YAL048C,YOL078W	wodaklab	AVO1,GEM1
81	Pip2-Oaf1 transcription factor complex	YAL051W,YOR363C	complex portal	OAF1,PIP2
82	putative Flc2-Tcb3 complex	YAL053W,YML072C	benchshop	FLC2,TCB3
83	putative Flc2-Pdr5 complex,wodaklab complex#552	YAL053W,YOR153W	benchshop,wodaklab	FLC2,PDR5
84	putative Bdh1-Bdh2 complex,wodaklab complex#336	YAL060W,YAL061W	benchshop,wodaklab	BDH1,BDH2
85	putative Gdh1-Gdh3 isozyme complex,wodaklab complex#412	YAL062W,YOR375C	benchshop,wodaklab	GDH1,GDH3
86	Nuclear pore complex	YAR002W,YBL079W,YDL088C,YDL116W,YDL207W,YDR164C,YDR192C,YER105C,YER107C,YFR002W,YGL092W,YGL100W,YGL172W,YGR119C,YIL115C,YJL039C,YJL041W,YJL061W,YJR042W,YKL057C,YKL068W,YKR082W,YLR018C,YLR335W,YML031W,YML103C,YMR047C,YMR129W,YMR153W,YOR098C,YOR257W	complex portal	ASM4,CDC31,GLE1,GLE2,NDC1,NIC96,NSP1,NUP1,NUP100,NUP116,NUP120,NUP133,NUP145,NUP157,NUP159,NUP170,NUP188,NUP192,NUP2,NUP42,NUP49,NUP53,NUP57,NUP60,NUP82,NUP84,NUP85,POM152,POM34,SEC1,SEH1
87	wodaklab complex#69	YAR002W,YER110C,YLR335W,YLR347C,YNL189W,YOR098C,YPL020C	wodaklab	KAP123,KAP95,NUP1,NUP2,NUP60,SRP1,ULP1
88	Nup60-Nup2 nuclear pore complex	YAR002W,YLR335W,YLR347C	benchshop	KAP95,NUP2,NUP60
89	wodaklab complex#50	YAR003W,YBR175W,YBR258C,YDR469W,YGR092W,YHR119W,YKL018W,YLR015W,YPL138C	wodaklab	BRE2,DBF2,SDC1,SET1,SHG1,SPP1,SWD1,SWD2,SWD3
90	COMPASS complex	YAR003W,YBR175W,YBR258C,YDR469W,YHR119W,YKL018W,YLR015W,YPL138C	complex portal,benchshop	BRE2,SDC1,SET1,SHG1,SPP1,SWD1,SWD2,SWD3
91	wodaklab complex#26	YAR007C,YBR114W,YBR136W,YCR028C-A,YCR092C,YDL156W,YER104W,YHR164C,YJL173C,YML032C,YNL312W,YPL125W	wodaklab	DNA2,KAP120,MEC1,MSH3,RAD16,RAD52,RFA1,RFA2,RFA3,RIM1,RTT105,YDL156W
92	DNA replication factor A complex	YAR007C,YHR164C,YJL173C,YNL312W	benchshop	DNA2,RFA1,RFA2,RFA3
93	Replication Protein A complex	YAR007C,YJL173C,YNL312W	complex portal	RFA1,RFA2,RFA3
94	tRNA-intron endonuclease complex,tRNA-intron endonuclease complex (GO)	YAR008W,YLR105C,YMR059W,YPL083C	complex portal,benchshop	SEN15,SEN2,SEN34,SEN54
95	BUD14-GLC7 phosphatase complex	YAR014C,YER133W	complex portal	BUD14,GLC7
96	Kelch-containing Formin Regulatory Complex	YAR014C,YGR238C,YHR158C	complex portal	BUD14,KEL1,KEL2
97	wodaklab complex#136	YAR015W,YIL157C,YKL042W	wodaklab	ADE1,COA1,SPC42
98	wodaklab complex#517	YAR031W,YKL094W	wodaklab	PRM9,YJU3
99	MST27-MST28 vesicle formation complex	YAR033W,YGL051W	complex portal	MST27,MST28
100	wodaklab complex#575	YAR033W,YOL138C	wodaklab	MST28,RTC1
101	putative Osh2-Swh1 complex	YAR042W,YDL019C	benchshop	OSH2,SWH1
102	wodaklab complex#178	YAR042W,YER120W,YGL101W	wodaklab	SCS2,SWH1,YGL101W
103	wodaklab complex#7	YAR071W,YBR080C,YBR286W,YCR014C,YDL007W,YDL097C,YDL147W,YDR108W,YDR268W,YDR326C,YDR363W-A,YDR394W,YDR427W,YDR531W,YEL021W,YER012W,YER021W,YER184C,YFR004W,YFR010W,YFR052W,YGL048C,YGR232W,YHL030W,YHR027C,YHR200W,YIL075C,YKL145W,YLR421C,YMR032W,YMR191W,YMR314W,YNL020C,YOR117W,YOR259C,YOR261C,YPL063W,YPR108W	wodaklab	APE3,ARK1,CAB1,ECM29,HOF1,MSW1,NAS6,PHO11,POL4,PRE1,PRE5,RPN1,RPN10,RPN11,RPN12,RPN13,RPN2,RPN3,RPN5,RPN6,RPN7,RPN8,RPN9,RPT1,RPT2,RPT3,RPT4,RPT5,RPT6,SEC18,SEM1,SPG5,TIM50,TRS85,UBP6,URA3,YER184C,YSP2
104	wodaklab complex#682	YBL002W,YBL003C,YBR009C,YBR010W,YBR245C,YDR224C,YDR303C,YML069W,YMR072W,YNL030W,YPL082C	wodaklab	ABF2,HHF1,HHF2,HHT1,HTA2,HTB1,HTB2,ISW1,MOT1,POB3,RSC3
105	Nucleosome, variant HTA2-HTB2 	YBL002W,YBL003C,YBR009C,YNL031C	complex portal	HHF1,HHT2,HTA2,HTB2
106	Kap114-Nap1 histone complex	YBL002W,YBL003C,YGL241W,YKR048C,YOL012C	benchshop	HTA2,HTB2,HTZ1,KAP114,NAP1
107	Nucleosome, variant HTA1-HTB2 	YBL002W,YBR009C,YDR225W,YNL031C	complex portal	HHF1,HHT2,HTA1,HTB2
108	Nucleosome, variant HTZ1-HTB2	YBL002W,YBR009C,YNL031C,YOL012C	complex portal	HHF1,HHT2,HTB2,HTZ1
109	wodaklab complex#61	YBL002W,YCL024W,YDR507C,YGL241W,YKR048C,YMR139W,YOL012C	wodaklab	GIN4,HTB2,HTZ1,KAP114,KCC4,NAP1,RIM11
110	Nucleosome, variant HTA2-HTB1 	YBL003C,YBR009C,YNL031C	complex portal	HHF1,HHT2,HTA2
111	wodaklab complex#2	YBL004W,YBL072C,YBR048W,YBR189W,YBR247C,YCL031C,YCL059C,YCR057C,YDL014W,YDL060W,YDL148C,YDL213C,YDL217C,YDR064W,YDR083W,YDR299W,YDR324C,YDR398W,YDR449C,YEL055C,YER082C,YER093C-A,YGL171W,YGR090W,YGR111W,YGR128C,YGR145W,YHR148W,YHR196W,YHR201C,YJL069C,YJL107C,YJL109C,YJR002W,YJR145C,YKL143W,YKR060W,YLL011W,YLR129W,YLR186W,YLR197W,YLR222C,YLR223C,YLR264W,YLR409C,YMR093W,YMR128W,YMR229C,YNL075W,YNL132W,YNL207W,YOL010W,YOR056C,YOR078W,YOR096W,YOR145C,YOR310C,YPL012W,YPL126W,YPL202C,YPL204W,YPL217C,YPL266W,YPR112C,YPR137W,YPR144C	wodaklab	AFT2,AIM11,BFR2,BMS1,BUD21,DIM1,DIP2,ECM16,EMG1,ENP1,ENP2,HRR25,IFH1,IMP3,IMP4,KRE33,KRR1,LTV1,MPP10,MRD1,NAN1,NOB1,NOC4,NOP1,NOP14,NOP56,NOP58,NOP6,PNO1,POL5,PPX1,PWP2,RCL1,RIO2,ROK1,RPS11B,RPS13,RPS28B,RPS4A,RPS7A,RPS8A,RPS9B,RRP12,RRP5,RRP7,RRP8,RRP9,SOF1,TIM22,TSR1,UTP10,UTP13,UTP15,UTP18,UTP20,UTP21,UTP22,UTP30,UTP4,UTP5,UTP6,UTP7,UTP8,UTP9,YGR111W,YJL107C
