P1	P2	Duplication	Sequence_identity	Same_phylome
YDR466W	YDR490C	SSD	15.5	0
YDR479C	YHR150W	SSD	13.66	1
YDR485C	YMR124W	SSD	9.52	0
YDR519W	YNL135C	SSD	38.57	1
YDR520C	YOL089C	SSD	13.16	0
YDR523C	YHR102W	SSD	13.0	1
YDR525W-A	YJL151C	SSD	23.31	0
YDR534C	YOR383C	SSD	24.02	0
YEL013W	YNL189W	SSD	15.93	1
YEL019C	YOR156C	SSD	5.49	0
YEL025C	YBL067C	SSD	11.74	0
YEL029C	YNR027W	SSD	31.91	1
YEL031W	YOR291W	SSD	18.17	1
YEL042W	YER005W	SSD	14.5	1
YEL050C	YIL018W	SSD	18.93	0
YEL064C	YER119C	SSD	16.67	1
YEL066W	YPR193C	SSD	42.46	1
YEL073C	YJR108W	SSD	16.94	0
YEL075C	YER189W	SSD	98.36	1
YER020W	YHR005C	SSD	24.51	0
YER038C	YGL066W	SSD	9.73	0
YER039C-A	YGL225W	SSD	16.02	1
YER040W	YFL021W	SSD	15.19	0
YER041W	YOR033C	SSD	12.23	0
YER053C	YJR077C	SSD	36.59	1
YER061C	YPL231W	SSD	2.46	0
YER065C	YPR006C	SSD	37.16	1
YER079W	YDR443C	SSD	4.23	0
YER092W	YGR198W	SSD	4.41	0
YER107C	YOR026W	SSD	20.0	1
YER113C	YLR083C	SSD	20.26	1
YER122C	YDL226C	SSD	14.66	0
YER130C	YMR037C	SSD	14.81	0
YER136W	YOR370C	SSD	16.02	1
YER143W	YOR138C	SSD	8.78	0
YER159C	YOR358W	SSD	10.24	1
YER167W	YOR359W	SSD	9.99	0
YER171W	YPL008W	SSD	15.21	1
YER184C	YBL005W	SSD	16.28	1
YER185W	YGR213C	SSD	36.5	1
YER187W	YGL262W	SSD	22.16	1
YER188C-A	YOL166W-A	SSD	43.43	1
YFL001W	YPL212C	SSD	13.3	0
YFL011W	YMR011W	SSD	74.96	1
YFL034C-B	YIL106W	SSD	20.56	1
YFL040W	YHR092C	SSD	17.66	0
YFL049W	YMR091C	SSD	12.8	0
YFL053W	YML070W	SSD	41.9	1
YFL054C	YLL043W	SSD	13.0	1
YGL006W	YGL167C	SSD	22.49	1
YGL008C	YPL036W	SSD	85.56	1
YGL012W	YNL280C	SSD	24.49	1
YGL019W	YOR039W	SSD	31.72	1
YGL035C	YGL209W	SSD	18.6	0
YGL038C	YJR075W	SSD	19.35	1
YGL043W	YJR063W	SSD	10.32	0
YGL059W	YIL042C	SSD	15.9	1
YGL065C	YNL048W	SSD	14.1	1
YGL079W	YLR233C	SSD	6.28	0
YGL080W	YHR162W	SSD	21.48	1
YGL091C	YIL003W	SSD	34.47	1
YGL094C	YOL080C	SSD	6.79	0
YGL122C	YPR107C	SSD	8.97	0
YGL125W	YPL023C	SSD	34.47	1
YGL143C	YLR281C	SSD	9.5	0
YGL160W	YLR047C	SSD	16.44	1
YGL185C	YPL113C	SSD	23.47	1
YGL200C	YAR002C-A	SSD	21.36	1
YGL226W	YIL111W	SSD	16.34	0
YGL244W	YMR039C	SSD	8.83	0
YGL247W	YHR036W	SSD	8.44	1
YGL255W	YLR130C	SSD	29.69	1
YGL257C	YNR059W	SSD	36.99	1
YGL258W	YOR387C	SSD	92.23	1
YGR002C	YFR034C	SSD	10.02	0
YGR007W	YGR202C	SSD	13.6	1
YGR009C	YMR017W	SSD	16.64	1
YGR012W	YGR155W	SSD	21.42	1
YGR015C	YGR031W	SSD	17.32	1
YGR027W-B	YJR029W	SSD	99.54	1
YGR029W	YPR037C	SSD	16.9	1
YGR036C	YKR053C	SSD	9.55	0
YGR052W	YOL100W	SSD	6.31	0
YGR054W	YOR361C	SSD	9.09	0
YGR055W	YHL036W	SSD	22.52	1
YGR068C	YOR018W	SSD	14.19	1
YGR080W	YLL050C	SSD	9.01	0
YGR086C	YPL004C	SSD	64.79	1
YGR095C	YGR195W	SSD	18.39	0
YGR104C	YBL081W	SSD	9.32	0
YGR110W	YLR099C	SSD	14.6	1
YGR113W	YNL076W	SSD	5.99	0
YGR132C	YGR231C	SSD	44.68	1
YGR144W	YER014W	SSD	10.04	0
YGR152C	YOR101W	SSD	31.61	1
YGR163W	YML121W	SSD	18.31	1
YGR165W	YJR083C	SSD	9.33	0
YGR170W	YNL169C	SSD	7.67	0
YGR171C	YGR264C	SSD	12.95	1
YGR177C	YOR377W	SSD	34.32	1
YGR184C	YLR024C	SSD	13.68	1
YGR199W	YAL023C	SSD	42.38	1
YGR203W	YPR200C	SSD	22.52	1
YGR237C	YDR475C	SSD	14.08	0
YGR240C	YMR205C	SSD	44.61	1
YGR246C	YPR086W	SSD	9.04	0
YGR252W	YLR399C	SSD	10.3	0
YGR258C	YKL113C	SSD	10.35	0
YGR276C	YLR107W	SSD	12.21	0
YHL004W	YGR214W	SSD	10.62	1
YHL009W-A	YJL114W	SSD	53.27	0
YHL009W-B	YJL113W	SSD	83.41	0
YHR027C	YIL075C	SSD	13.16	0
YHR028C	YOR219C	SSD	27.12	1
YHR031C	YML061C	SSD	23.48	1
YHR035W	YPR181C	SSD	17.7	1
YHR040W	YJR055W	SSD	9.19	0
YHR043C	YHR044C	SSD	91.87	1
YHR052W	YKR060W	SSD	13.32	0
YHR055C	YHR053C	SSD	100.0	1
YHR064C	YDL229W	SSD	22.26	0
YHR073W	YAR042W	SSD	14.56	0
YHR088W	YNL075W	SSD	24.25	1
YHR098C	YIL109C	SSD	18.1	1
YHR104W	YJR096W	SSD	30.63	0
YHR111W	YHR171W	SSD	8.28	0
YHR113W	YKL103C	SSD	28.25	1
YHR119W	YJL168C	SSD	8.39	0
YHR138C	YNL015W	SSD	21.93	0
YHR148W	YPL081W	SSD	18.32	1
YHR175W	YLR411W	SSD	12.01	0
YHR179W	YPL171C	SSD	81.5	1
YHR194W	YOR147W	SSD	17.35	0
YHR196W	YER002W	SSD	7.81	0
YHR198C	YHR199C	SSD	28.1	1
YHR207C	YPL165C	SSD	10.71	0
YHR214W	YAR066W	SSD	100.0	1
YIL014C-A	YIL102C	SSD	35.88	1
YIL021W	YPR110C	SSD	17.3	1
YIL035C	YOR061W	SSD	51.04	1
YIL041W	YPR148C	SSD	14.81	0
YIL088C	YBL089W	SSD	28.85	1
YIL089W	YLR036C	SSD	29.81	1
YIL103W	YKL191W	SSD	13.57	1
YIL116W	YDR111C	SSD	11.9	0
YIL126W	YOR290C	SSD	30.48	1
YIL134W	YIL006W	SSD	22.94	1
YIL137C	YHR047C	SSD	18.65	1
YIL153W	YPL152W	SSD	24.45	1
YIL160C	YPL028W	SSD	30.28	0
YIL169C	YOL155C	SSD	61.62	1
YIR031C	YNL117W	SSD	81.05	1
YJL016W	YNL278W	SSD	8.04	1
YJL031C	YKL019W	SSD	20.47	1
YJL035C	YPR062W	SSD	13.95	0
YJL037W	YJL038C	SSD	36.36	1
YJL052W	YJR009C	SSD	88.55	1
YJL057C	YOL016C	SSD	11.97	1
YJL078C	YKR013W	SSD	9.61	1
YJL092W	YOL095C	SSD	11.08	1
YJL102W	YLR069C	SSD	25.03	1
YJL107C	YER033C	SSD	3.57	0
YJL146W	YBL085W	SSD	6.93	0
YJL158C	YJL159W	SSD	31.89	0
YJL172W	YMR027W	SSD	8.5	0
YJL190C	YLR367W	SSD	99.23	1
YJL193W	YOR307C	SSD	24.63	1
YJL194W	YML065W	SSD	8.66	1
YJL197W	YER144C	SSD	11.12	0
YJL212C	YPR194C	SSD	25.0	0
YJL219W	YOL156W	SSD	97.88	1
YJL223C	YIL176C	SSD	100.0	1
YJR032W	YLR216C	SSD	37.53	1
YJR043C	YJR002W	SSD	9.95	0
YJR094C	YMR173W	SSD	13.9	0
YJR113C	YJR123W	SSD	16.54	0
YJR116W	YPR114W	SSD	20.54	1
YJR126C	YOR256C	SSD	14.08	0
YKL009W	YLR340W	SSD	13.99	1
YKL012W	YPR152C	SSD	10.73	0
YKL025C	YJR030C	SSD	8.91	0
YKL034W	YOL013C	SSD	7.66	0
YKL046C	YMR238W	SSD	52.51	1
YKL092C	YOL081W	SSD	4.4	0
YKL106W	YLR027C	SSD	31.97	1
YKL107W	YNL181W	SSD	12.71	0
YKL124W	YMR171C	SSD	18.58	1
YKL140W	YLR020C	SSD	13.44	1
YKL171W	YCL024W	SSD	8.12	0
YKL188C	YPL147W	SSD	18.14	1
YKL196C	YLR268W	SSD	19.57	1
YKL208W	YNL311C	SSD	6.82	0
YKL222C	YOR172W	SSD	23.08	1
YKR008W	YDL070W	SSD	10.13	0
YKR017C	YML068W	SSD	8.86	0
YKR068C	YNL258C	SSD	4.77	0
YLL023C	YLR064W	SSD	18.42	1
YLL025W	YLR037C	SSD	98.39	1
YLL027W	YPR067W	SSD	14.13	0
YLL035W	YOR250C	SSD	10.45	0
YLL058W	YJR130C	SSD	34.29	1
YLL066W-B	YLR466C-B	SSD	11.01	NA
YLR008C	YNL328C	SSD	19.32	1
YLR009W	YGR148C	SSD	22.61	1
YLR016C	YLR238W	SSD	5.63	0
YLR017W	YLR209C	SSD	16.44	0
YLR023C	YOL002C	SSD	11.96	1
YLR040C	YIL011W	SSD	20.0	0
YLR051C	YGR081C	SSD	9.75	0
YLR054C	YDR251W	SSD	12.17	0
YLR068W	YKL023W	SSD	10.47	0
YLR084C	YDR055W	SSD	5.34	0
YLR093C	YOR327C	SSD	12.55	0
YLR095C	YKL201C	SSD	10.82	0
YLR115W	YLR277C	SSD	12.3	1
YLR125W	YMR030W	SSD	8.24	0
YLR143W	YIL051C	SSD	4.66	0
YLR144C	YNR067C	SSD	25.97	1
YLR146C	YPR069C	SSD	48.84	1
YLR152C	YNL095C	SSD	30.28	1
YLR159C-A	YLR157C-C	SSD	100.0	1
YLR181C	YNL265C	SSD	9.86	0
YLR189C	YLR072W	SSD	5.73	0
YLR193C	YLR168C	SSD	20.59	1
YLR227W-B	YPR158C-D	SSD	99.03	1
YLR251W	YOR292C	SSD	15.5	1
YLR256W-A	YML040W	SSD	99.77	1
YLR262C	YOR089C	SSD	33.33	1
YLR307W	YLR308W	SSD	48.74	1
YLR320W	YGR013W	SSD	7.21	0
YLR361C	YOR137C	SSD	15.64	1
YLR364W	YCL035C	SSD	27.43	0
YLR372W	YCR034W	SSD	44.23	1
YLR389C	YPR122W	SSD	15.93	1
YLR401C	YNR015W	SSD	9.17	0
YLR405W	YML080W	SSD	18.26	1
YLR414C	YLR413W	SSD	10.9	0
YLR425W	YLR371W	SSD	10.84	0
YLR446W	YCL040W	SSD	15.76	0
YLR455W	YMR044W	SSD	9.62	0
YLR464W	YEL076C-A	SSD	100.0	1
YML017W	YCL032W	SSD	10.82	0
YML019W	YOR085W	SSD	15.99	0
YML020W	YMR160W	SSD	11.56	0
YML035C	YJL070C	SSD	21.87	1
YML038C	YML018C	SSD	9.65	0
YML052W	YDL222C	SSD	22.56	1
YML069W	YNL206C	SSD	11.91	0
YML072C	YOR086C	SSD	18.36	1
YML096W	YPR145W	SSD	17.06	1
YML114C	YDL239C	SSD	5.02	0
YML120C	YMR145C	SSD	39.07	1
YML132W	YBR302C	SSD	100.0	1
YMR021C	YPR008W	SSD	8.79	0
YMR035W	YMR150C	SSD	23.12	1
YMR042W	YMR043W	SSD	17.53	1
YMR050C	YOR142W-B	SSD	98.92	1
YMR054W	YOR270C	SSD	46.66	1
YMR056C	YBL030C	SSD	74.14	1
YMR063W	YOL019W	SSD	8.36	0
YMR100W	YPL219W	SSD	10.23	0
YMR106C	YMR284W	SSD	11.74	0
YMR152W	YBL069W	SSD	18.16	1
YMR162C	YER166W	SSD	20.67	1
YMR166C	YNL003C	SSD	21.45	1
YMR210W	YPL095C	SSD	26.61	1
YMR244W	YKR042W	SSD	22.02	0
YMR247C	YML097C	SSD	4.59	0
YMR253C	YPL264C	SSD	54.44	1
YMR291W	YFR014C	SSD	16.5	1
YMR300C	YKL104C	SSD	13.0	1
YMR306W	YGR032W	SSD	49.82	1
YMR313C	YOR081C	SSD	14.69	1
YNL002C	YPL198W	SSD	25.16	1
YNL018C	YNL034W	SSD	96.73	1
YNL025C	YPR025C	SSD	17.0	1
YNL030W	YBR009C	SSD	100.0	1
YNL040W	YOR335C	SSD	8.36	0
YNL045W	YKL157W	SSD	12.78	0
YNL081C	YML026C	SSD	14.61	0
YNL113W	YOL005C	SSD	16.34	1
YNL119W	YNL279W	SSD	9.13	0
YNL142W	YGR121C	SSD	36.12	1
YNL155W	YOR052C	SSD	5.34	0
YNL191W	YMR084W	SSD	16.62	0
YNL231C	YNL264C	SSD	43.21	1
YNL233W	YDR085C	SSD	13.08	0
YNL238W	YOR003W	SSD	10.25	0
YNL244C	YJR014W	SSD	12.56	0
YNL247W	YPL160W	SSD	10.91	0
YNL304W	YER031C	SSD	14.35	0
YNL323W	YCR094W	SSD	34.56	1
YNL335W	YFL061W	SSD	100.0	1
YNR013C	YCR037C	SSD	32.93	1
YNR036C	YPR132W	SSD	22.89	1
YNR037C	YOL040C	SSD	18.31	1
YNR063W	YHR056C	SSD	14.17	0
YNR073C	YEL070W	SSD	100.0	1
YOL001W	YIL050W	SSD	12.34	1
YOL007C	YNL058C	SSD	21.2	0
YOL013W-A	YOR072W-B	SSD	36.84	1
YOL027C	YPR125W	SSD	27.39	1
YOL061W	YER099C	SSD	31.8	1
YOL067C	YLR133W	SSD	7.38	0
YOL082W	YOL083W	SSD	27.94	1
YOL119C	YOR306C	SSD	38.07	1
YOR002W	YOR067C	SSD	18.33	1
YOR032C	YOR344C	SSD	11.25	0
YOR049C	YLR046C	SSD	14.48	0
YOR059C	YGL144C	SSD	11.2	1
YOR070C	YPL249C	SSD	6.33	0
YOR093C	YDR436W	SSD	5.94	0
YOR094W	YDL137W	SSD	53.55	1
YOR130C	YPR058W	SSD	25.3	1
YOR150W	YNL069C	SSD	16.96	0
YOR158W	YDR228C	SSD	9.25	0
YOR224C	YNL172W	SSD	1.95	0
YOR241W	YMR113W	SSD	17.96	1
YOR264W	YCR089W	SSD	5.41	0
YOR275C	YPL084W	SSD	13.34	1
YOR285W	YOR286W	SSD	34.23	1
YOR297C	YLR164W	SSD	25.91	1
YOR319W	YNL004W	SSD	10.34	0
YOR328W	YOR153W	SSD	65.31	1
YOR334W	YPL060W	SSD	27.03	1
YOR378W	YML116W	SSD	34.96	1
YOR390W	YPL279C	SSD	99.2	1
YPL015C	YDL042C	SSD	15.02	1
YPL059W	YDR098C	SSD	14.57	1
YPL072W	YKR098C	SSD	9.94	0
YPL091W	YFL018C	SSD	25.29	1
YPL138C	YKR029C	SSD	5.54	0
YPL156C	YDL010W	SSD	21.13	1
YPL172C	YNR041C	SSD	13.87	0
YPL188W	YEL041W	SSD	19.21	1
YPL203W	YKL166C	SSD	59.85	1
YPL226W	YNL014W	SSD	31.29	1
YPL227C	YPR183W	SSD	14.29	1
YPL236C	YNL020C	SSD	11.88	1
YPL237W	YPR041W	SSD	8.49	1
YPR001W	YNR001C	SSD	41.75	1
YPR013C	YPR015C	SSD	24.7	1
YPR022C	YMR182C	SSD	3.97	0
YPR054W	YHR030C	SSD	30.1	1
YPR108W	YNL225C	SSD	10.14	0
YPR129W	YKR058W	SSD	8.67	0
YPR140W	YBR095C	SSD	11.11	0
YPR189W	YHR117W	SSD	7.24	0
Q0050	Q0055	SSD	43.13	1
YIL014W	YER001W	SSD	19.28	1
YEL007W	YHR177W	SSD	16.89	1
YLR284C	YOR180C	SSD	43.26	1
YLL061W	YPL274W	SSD	69.85	1
YCL073C	YKR106W	SSD	97.25	1
YKL197C	YNL329C	SSD	16.17	1
YGR130C	YLR200W	SSD	2.82	0
YFR024C-A	YHR016C	WGD	57.73	1
YDL182W	YDL131W	WGD	87.33	1
YLR028C	YMR120C	WGD	84.97	1
YGR256W	YHR183W	WGD	87.4	1
YLR450W	YML075C	WGD	60.51	1
YDL204W	YDR233C	WGD	19.49	1
YPL112C	YOR193W	WGD	14.96	1
YHR123W	YNL130C	WGD	54.96	1
YFR015C	YLR258W	WGD	81.13	1
YDL088C	YMR153W	WGD	24.59	1
YFL048C	YLR080W	WGD	38.98	1
YBL039C	YJR103W	WGD	76.59	1
YGR010W	YLR328W	WGD	76.92	1
YIL105C	YNL047C	WGD	46.47	1
YLR270W	YOR173W	WGD	65.63	0
YJL137C	YKR058W	WGD	26.37	0
YER031C	YGL210W	WGD	79.65	1
YDL224C	YNL197C	WGD	31.2	1
YHL003C	YKL008C	WGD	67.94	1
YDL079C	YMR139W	WGD	42.33	1
YDR273W	YOR042W	WGD	17.3	0
YGL049C	YGR162W	WGD	44.77	1
YML007W	YDR423C	WGD	15.16	0
YJL082W	YKR018C	WGD	64.59	1
YGL158W	YLR248W	WGD	34.43	1
YHR001W	YKR003W	WGD	69.49	1
YBR068C	YDR046C	WGD	71.24	1
YBR161W	YPL057C	WGD	63.59	1
YHR146W	YNL173C	WGD	21.56	0
YER054C	YIL045W	WGD	30.07	1
YBL079W	YER105C	WGD	38.75	1
YLR273C	YOR178C	WGD	17.16	1
YGL084C	YPL189W	WGD	50.73	1
YAL053W	YOR365C	WGD	36.72	1
YFR040W	YGL229C	WGD	32.57	1
YGL162W	YPR009W	WGD	27.04	1
YDR501W	YLR183C	WGD	29.58	1
YOR044W	YDR275W	WGD	14.77	0
YDR028C	YBR050C	WGD	7.4	0
YDR253C	YPL038W	WGD	26.64	1
YML056C	YLR432W	WGD	88.74	1
YDL019C	YAR042W	WGD	46.68	0
YML100W	YMR261C	WGD	47.52	1
YJL164C	YKL166C	WGD	70.93	1
YNL098C	YOR101W	WGD	53.42	1
YDR099W	YER177W	WGD	89.74	1
YNL093W	YOR089C	WGD	53.64	1
YMR186W	YPL240C	WGD	96.21	1
YDR098C	YER174C	WGD	56.25	1
YER081W	YIL074C	WGD	90.83	1
YDR353W	YHR106W	WGD	79.82	1
YDR453C	YML028W	WGD	85.71	1
YFR053C	YGL253W	WGD	76.8	1
YNL104C	YOR108W	WGD	80.0	1
YDR502C	YLR180W	WGD	91.41	1
YOR229W	YPL139C	WGD	36.67	1
YIR033W	YKL020C	WGD	30.87	1
YLR456W	YPR172W	WGD	45.41	1
YIR018W	YOL028C	WGD	16.87	1
YGL071W	YPL202C	WGD	20.46	1
YLR442C	YML065W	WGD	24.0	1
YAR002C-A	YGL002W	WGD	52.05	1
YOR153W	YDR406W	WGD	73.55	1
YDR497C	YOL103W	WGD	71.15	1
YKR072C	YOR054C	WGD	36.27	1
YHR096C	YDR345C	WGD	68.41	1
YDR379W	YOR127W	WGD	27.61	1
YLL021W	YLR313C	WGD	9.47	0
YCR005C	YNR001C	WGD	74.64	1
YDL222C	YNL194C	WGD	43.89	1
YDR264C	YOR034C	WGD	35.34	1
YCR010C	YNR002C	WGD	77.74	1
YGR283C	YMR310C	WGD	30.05	1
YBR082C	YDR059C	WGD	92.57	1
YML109W	YMR273C	WGD	27.69	1
YBR242W	YGL101W	WGD	57.14	1
YCL025C	YDR508C	WGD	63.43	0
YBL067C	YER098W	WGD	36.62	1
YLR457C	YPR174C	WGD	16.98	1
YDL042C	YOL068C	WGD	52.26	1
YHR030C	YKL161C	WGD	46.07	1
YJL098W	YKR028W	WGD	35.55	1
YIR037W	YKL026C	WGD	58.08	1
YER045C	YIL036W	WGD	19.63	1
YIR021W	YKL011C	WGD	19.63	1
YLL012W	YLR020C	WGD	42.67	1
YHR206W	YJR147W	WGD	13.16	0
YDR093W	YER166W	WGD	64.25	1
YOR204W	YPL119C	WGD	63.18	1
YGR121C	YPR138C	WGD	77.44	1
YDL137W	YDL192W	WGD	96.13	1
YDR441C	YML022W	WGD	54.5	1
YJL099W	YKR027W	WGD	40.96	1
YGR136W	YPR154W	WGD	46.25	1
YGR056W	YLR357W	WGD	41.12	1
YBL005W	YGL013C	WGD	29.34	1
YBR117C	YPR074C	WGD	71.37	1
YMR207C	YNR016C	WGD	52.49	1
YDR490C	YOL100W	WGD	24.66	1
YCR073C	YNR031C	WGD	42.31	1
YKR089C	YOR081C	WGD	36.84	1
YLR266C	YOR162C	WGD	18.9	1
YCR067C	YNR026C	WGD	17.8	1
YBR270C	YJL058C	WGD	41.64	1
YFL018C	YPL017C	WGD	37.07	1
YKL043W	YMR016C	WGD	13.72	1
YDL214C	YNL183C	WGD	27.9	1
YEL039C	YJR048W	WGD	80.53	1
YBR033W	YKL038W	WGD	21.54	1
YDR409W	YOR156C	WGD	23.6	1
YER057C	YIL051C	WGD	62.07	1
YOR016C	YAL007C	WGD	67.44	1
YNL298W	YOL113W	WGD	38.52	1
YGR041W	YLR353W	WGD	24.02	1
YIL079C	YDL175C	WGD	38.24	1
YDL070W	YLR399C	WGD	30.48	1
YGR108W	YPR119W	WGD	48.86	1
YBR150C	YOL089C	WGD	23.16	1
YLL010C	YLR019W	WGD	42.46	1
YNL299W	YOL115W	WGD	42.42	0
YEL041W	YJR049C	WGD	43.17	1
YBR218C	YGL062W	WGD	92.63	1
YBR189W	YPL081W	WGD	95.94	1
YDR385W	YOR133W	WGD	100.0	1
YIL013C	YOR011W	WGD	64.43	1
YKL126W	YMR104C	WGD	65.71	1
