P1_ID	P2_ID	HM_P1	HM_P2	HET	Strict_HM_P1	Strict_HM_P2	Compared_interface	Full_sequence_identity	PDB_sequence_identity	Interface_sequence_identity	Non_interface_sequence_identity	Same_phylome	Gene_1	Gene_2	PDB_length	Full_protein_length
ENSP00000264033.3	ENSP00000494162.1	2cbl_1	NA	NA	1b47_1	NA	P1_HM	24.32	48.68	43.59	49.43	0	ENSG00000110395	ENSG00000142273	304	906
ENSP00000264033.3	ENSP00000384938.1	2cbl_1	NA	NA	1b47_1	NA	P1_HM	47.78	83.44	89.74	82.51	0	ENSG00000110395	ENSG00000114423	304	906
ENSP00000370912.3	ENSP00000483570.1	NA	5j87_1	NA	NA	5j87_1	P2_HM	50.0	62.36	68.18	61.83	0	ENSG00000135605	ENSG00000010671	263	693
ENSP00000264316.4	ENSP00000483570.1	NA	5j87_1	NA	NA	5j87_1	P2_HM	40.52	60.46	63.64	60.17	0	ENSG00000074966	ENSG00000010671	263	693
ENSP00000377989.3	ENSP00000384273.3	NA	1my5_1	NA	NA	1my5_1	P2_HM	35.32	69.81	92.59	62.03	0	ENSG00000162924	ENSG00000173039	107	551
ENSP00000221452.7	ENSP00000384273.3	NA	1my5_1	NA	NA	1my5_1	P2_HM	26.68	57.01	77.78	50.0	1	ENSG00000104856	ENSG00000173039	107	551
ENSP00000384273.3	ENSP00000485826.1	1my5_1	NA	NA	1my5_1	NA	P1_HM	26.68	57.01	77.78	50.0	0	ENSG00000173039	ENSG00000104856	107	551
ENSP00000328213.4	ENSP00000428424.1	1bhh_1	NA	NA	1bhh_1	NA	P1_HM	60.0	66.35	62.5	67.05	0	ENSG00000182866	ENSG00000254087	104	539
ENSP00000328213.4	ENSP00000427757.1	1bhh_1	NA	NA	1bhh_1	NA	P1_HM	62.11	70.19	62.5	71.59	0	ENSG00000182866	ENSG00000101336	104	539
ENSP00000327801.4	ENSP00000384410.1	4ju5_1	NA	NA	4ju5_1	NA	P1_HM	44.28	41.03	46.58	37.7	0	ENSG00000185624	ENSG00000185615	200	508
ENSP00000305465.4	ENSP00000327801.4	NA	4ju5_1	NA	NA	4ju5_1	P2_HM	27.43	27.5	31.08	25.4	1	ENSG00000169340	ENSG00000185624	200	508
ENSP00000261336.2	ENSP00000323929.7	NA	4acq_1	NA	NA	4acq_1	P2_HM	67.85	73.4	57.14	75.57	1	ENSG00000126838	ENSG00000175899	1269	1474
ENSP00000352929.3	ENSP00000381531.5	NA	1cki_1	NA	NA	1cki_1	P2_HM	79.95	96.92	100.0	96.34	0	ENSG00000213923	ENSG00000141551	292	427
ENSP00000381531.5	ENSP00000384074.1	1cki_1	NA	NA	1cki_1	NA	P1_HM	79.95	96.92	100.0	96.34	0	ENSG00000141551	ENSG00000213923	292	427
ENSP00000380044.1	ENSP00000381531.5	NA	1cki_1	NA	NA	1cki_1	P2_HM	79.95	96.92	100.0	96.34	0	ENSG00000213923	ENSG00000141551	292	427
ENSP00000264731.3	ENSP00000367545.4	4a9z_1	5kbd_1	NA	4a9z_1	NA	P1_HM	50.5	57.14	57.14	0	1	ENSG00000073282	ENSG00000078900	47	680
ENSP00000334382.6	ENSP00000439937.1	NA	3cvf_1	NA	NA	3cvf_1	P2_HM	49.86	41.18	41.18	0	0	ENSG00000152413	ENSG00000051128	69	361
ENSP00000262320.3	ENSP00000302625.5	1dk8_1	NA	NA	1dk8_1	NA	P1_HM	40.58	61.54	62.0	61.29	0	ENSG00000103126	ENSG00000168646	147	862
ENSP00000356705.1	ENSP00000362014.3	NA	2x2e_1	NA	NA	2x2e_1	P2_HM	78.36	86.49	93.55	84.87	0	ENSG00000197959	ENSG00000106976	333	864
ENSP00000347890.6	ENSP00000362014.3	NA	2x2e_1	NA	NA	2x2e_1	P2_HM	77.51	86.79	91.94	85.61	0	ENSG00000079805	ENSG00000106976	333	864
ENSP00000353408.5	ENSP00000376016.5	1ef1_1	NA	NA	1ef1_1	NA	P1_HM	72.53	85.12	88.43	82.74	0	ENSG00000147065	ENSG00000092820	289	577
ENSP00000345023.1	ENSP00000358727.5	NA	4yqu_1	NA	NA	4yqu_1	P2_HM	63.79	64.68	75.56	62.11	1	ENSG00000065621	ENSG00000148834	235	241
ENSP00000219302.3	ENSP00000395605.1	1zs6_1	1ehw_1	NA	1zs6_1	1ehw_1	P2_HM	39.06	62.14	65.82	57.38	0	ENSG00000103024	ENSG00000103202	143	233
ENSP00000216392.7	ENSP00000216962.3	3dds_1	5iko_1	NA	3dds_1	5iko_1	P1_HM	81.11	82.22	95.05	80.39	1	ENSG00000100504	ENSG00000100994	810	847
ENSP00000216392.7	ENSP00000216962.3	3dds_1	5iko_1	NA	3dds_1	5iko_1	P2_HM	81.11	82.65	86.29	81.99	1	ENSG00000100504	ENSG00000100994	807	843
ENSP00000215095.5	ENSP00000222812.3	NA	5w5c_1	NA	NA	1hvv_1	P2_HM	82.7	92.54	92.19	100.0	1	ENSG00000099365	ENSG00000106089	67	288
ENSP00000261464.5	ENSP00000454207.1	NA	4ghu_1	NA	NA	1flk_1	P2_HM	40.86	58.88	45.83	66.4	0	ENSG00000082512	ENSG00000131323	205	568
ENSP00000355971.3	ENSP00000454207.1	NA	4ghu_1	NA	NA	1flk_1	P2_HM	40.86	58.88	45.83	66.4	0	ENSG00000082512	ENSG00000131323	205	568
ENSP00000336825.2	ENSP00000454207.1	NA	4ghu_1	NA	NA	1flk_1	P2_HM	40.86	58.88	45.83	66.4	0	ENSG00000082512	ENSG00000131323	205	568
ENSP00000282397.4	ENSP00000495159.1	1flt_1	3kvq_1	NA	4cl7_1	3kvq_1	P1_HM	41.15	32.26	16.67	37.68	0	ENSG00000102755	ENSG00000128052	93	1338
ENSP00000282397.4	ENSP00000495159.1	1flt_1	3kvq_1	NA	4cl7_1	3kvq_1	P2_HM	44.11	39.02	42.86	37.7	0	ENSG00000102755	ENSG00000128052	82	1356
ENSP00000311032.4	ENSP00000398107.2	2dko_1	NA	NA	2xyg_1	NA	P1_HM	49.82	50.0	57.3	38.18	1	ENSG00000164305	ENSG00000165806	146	277
ENSP00000311032.4	ENSP00000358327.3	2dko_1	4jb8_1	NA	2xyg_1	3ibf_1	P2_HM	37.11	52.17	59.77	39.22	0	ENSG00000164305	ENSG00000165806	140	388
ENSP00000292408.4	ENSP00000410294.2	NA	3caf_1	NA	NA	3caf_1	P2_HM	56.16	67.0	53.57	72.22	0	ENSG00000160867	ENSG00000066468	100	822
ENSP00000410294.2	ENSP00000424960.1	3caf_1	NA	NA	3caf_1	NA	P1_HM	56.16	67.0	53.57	72.22	0	ENSG00000066468	ENSG00000160867	100	822
ENSP00000410294.2	ENSP00000414914.2	3caf_1	NA	NA	3caf_1	NA	P1_HM	63.81	70.0	60.71	73.61	0	ENSG00000066468	ENSG00000068078	100	822
ENSP00000446007.1	ENSP00000466598.2	4ypc_1	NA	NA	4ypc_1	NA	P1_HM	54.51	62.65	63.75	33.33	0	ENSG00000026025	ENSG00000131095	83	466
ENSP00000363071.3	ENSP00000446007.1	NA	4ypc_1	NA	NA	4ypc_1	P2_HM	61.47	67.47	67.5	66.67	0	ENSG00000175084	ENSG00000026025	83	466
ENSP00000264731.3	ENSP00000488924.1	4a9z_1	2ac0_1	NA	4a9z_1	NA	P1_HM	23.64	43.75	43.75	0	0	ENSG00000073282	ENSG00000141510	47	680
ENSP00000252996.3	ENSP00000269142.5	2p6v_1	NA	NA	2p6v_1	NA	P1_HM	25.96	62.92	67.5	59.18	0	ENSG00000130699	ENSG00000141384	89	1085
ENSP00000252699.2	ENSP00000443495.1	NA	1quu_1	NA	NA	1quu_1	P2_HM	75.99	70.56	82.43	65.52	0	ENSG00000130402	ENSG00000077522	248	894
ENSP00000414272.2	ENSP00000443495.1	NA	1quu_1	NA	NA	1quu_1	P2_HM	80.09	75.4	81.08	72.99	0	ENSG00000072110	ENSG00000077522	248	894
ENSP00000277853.5	ENSP00000381412.3	NA	1hkx_1	NA	NA	1hkx_1	P2_HM	81.21	78.57	77.91	79.63	0	ENSG00000148660	ENSG00000070808	141	489
ENSP00000381412.3	ENSP00000425824.1	1hkx_1	2w2c_1	NA	1hkx_1	2w2c_1	P2_HM	79.03	82.81	82.56	83.33	0	ENSG00000070808	ENSG00000145349	128	533
ENSP00000381412.3	ENSP00000422566.1	1hkx_1	NA	NA	1hkx_1	NA	P1_HM	86.73	80.0	81.4	77.78	0	ENSG00000070808	ENSG00000145349	141	489
ENSP00000458435.1	ENSP00000494750.1	NA	2oan_1	NA	NA	2oan_1	P2_HM	98.93	99.44	100.0	99.39	0	ENSG00000184009	ENSG00000075624	360	375
ENSP00000331514.2	ENSP00000494750.1	NA	2oan_1	NA	NA	2oan_1	P2_HM	98.93	99.44	100.0	99.39	0	ENSG00000184009	ENSG00000075624	360	375
ENSP00000458162.1	ENSP00000494750.1	NA	2oan_1	NA	NA	2oan_1	P2_HM	98.93	99.44	100.0	99.39	0	ENSG00000184009	ENSG00000075624	360	375
ENSP00000459124.1	ENSP00000494750.1	NA	2oan_1	NA	NA	2oan_1	P2_HM	98.93	99.44	100.0	99.39	0	ENSG00000184009	ENSG00000075624	360	375
ENSP00000461672.1	ENSP00000494750.1	NA	2oan_1	NA	NA	2oan_1	P2_HM	98.93	99.44	100.0	99.39	0	ENSG00000184009	ENSG00000075624	360	375
ENSP00000493648.1	ENSP00000494750.1	NA	2oan_1	NA	NA	2oan_1	P2_HM	98.93	99.44	100.0	99.39	0	ENSG00000184009	ENSG00000075624	360	375
ENSP00000477968.1	ENSP00000494750.1	NA	2oan_1	NA	NA	2oan_1	P2_HM	98.93	99.44	100.0	99.39	0	ENSG00000184009	ENSG00000075624	360	375
ENSP00000379386.1	ENSP00000437783.1	1i0z_1	NA	NA	1i0z_1	NA	P1_HM	69.16	69.49	65.68	73.46	0	ENSG00000111716	ENSG00000166796	332	334
ENSP00000280704.3	ENSP00000379386.1	NA	1i0z_1	NA	NA	1i0z_1	P2_HM	69.16	69.49	65.68	73.46	1	ENSG00000166796	ENSG00000111716	332	334
ENSP00000379386.1	ENSP00000395337.3	1i0z_1	NA	NA	1i0z_1	NA	P1_HM	75.15	75.53	73.37	77.78	1	ENSG00000111716	ENSG00000134333	332	334
ENSP00000368722.5	ENSP00000379386.1	NA	1i0z_1	NA	NA	1i0z_1	P2_HM	75.15	75.53	73.37	77.78	0	ENSG00000134333	ENSG00000111716	332	334
ENSP00000379386.1	ENSP00000445331.1	1i0z_1	NA	NA	1i0z_1	NA	P1_HM	75.15	75.53	73.37	77.78	0	ENSG00000111716	ENSG00000134333	332	334
ENSP00000379386.1	ENSP00000445175.1	1i0z_1	4jnk_1	NA	1i0z_1	4jnk_1	P2_HM	69.15	75.15	73.14	77.48	0	ENSG00000111716	ENSG00000134333	326	361
ENSP00000368697.4	ENSP00000379386.1	NA	1i0z_1	NA	NA	1i0z_1	P2_HM	26.11	40.39	37.75	42.95	0	ENSG00000151116	ENSG00000111716	332	334
ENSP00000368697.4	ENSP00000445175.1	NA	4jnk_1	NA	NA	4jnk_1	P2_HM	28.75	42.72	41.83	43.62	0	ENSG00000151116	ENSG00000134333	326	361
ENSP00000229319.1	ENSP00000445175.1	NA	4jnk_1	NA	NA	4jnk_1	P2_HM	69.15	75.15	73.14	77.48	0	ENSG00000111716	ENSG00000134333	326	361
ENSP00000358327.3	ENSP00000428929.1	4jb8_1	NA	NA	3ibf_1	NA	P1_HM	37.11	52.17	59.77	39.22	0	ENSG00000165806	ENSG00000164305	140	388
ENSP00000327054.3	ENSP00000357283.4	NA	2xv5_1	NA	NA	2xv5_1	P2_HM	43.18	73.58	75.0	69.23	1	ENSG00000176619	ENSG00000160789	53	664
ENSP00000261366.5	ENSP00000357283.4	3tyy_1	2xv5_1	NA	3tyy_1	2xv5_1	P2_HM	46.05	73.58	75.0	69.23	1	ENSG00000113368	ENSG00000160789	53	664
ENSP00000296370.3	ENSP00000426768.1	1j55_1	NA	NA	1j55_1	NA	P1_HM	48.48	52.27	46.3	61.76	1	ENSG00000163993	ENSG00000171643	88	95
ENSP00000296370.3	ENSP00000320430.4	1j55_1	NA	NA	1j55_1	NA	P1_HM	48.48	52.27	46.3	61.76	1	ENSG00000163993	ENSG00000171643	88	95
ENSP00000296370.3	ENSP00000483535.1	1j55_1	NA	NA	1j55_1	NA	P1_HM	48.48	52.27	46.3	61.76	0	ENSG00000163993	ENSG00000171643	88	95
ENSP00000356902.1	ENSP00000386935.3	1jvg_1	NA	NA	1jvg_1	NA	P1_HM	55.62	60.04	60.67	59.9	1	ENSG00000117143	ENSG00000197355	485	522
ENSP00000380638.1	ENSP00000429082.1	NA	3pxk_1	NA	NA	3pxk_1	P2_HM	42.35	60.0	47.06	60.92	0	ENSG00000120899	ENSG00000169398	256	1096
ENSP00000332816.6	ENSP00000429082.1	NA	3pxk_1	NA	NA	3pxk_1	P2_HM	42.35	60.0	47.06	60.92	0	ENSG00000120899	ENSG00000169398	256	1096
ENSP00000305769.4	ENSP00000441954.2	1khu_1	5x6g_1	NA	1khu_1	NA	P1_HM	89.08	97.47	98.2	96.55	0	ENSG00000170365	ENSG00000113658	198	465
ENSP00000305769.4	ENSP00000426696.2	1khu_1	NA	NA	1khu_1	NA	P1_HM	89.08	97.47	98.2	96.55	0	ENSG00000170365	ENSG00000113658	198	465
ENSP00000305769.4	ENSP00000446474.2	1khu_1	NA	NA	1khu_1	NA	P1_HM	89.08	97.47	98.2	96.55	0	ENSG00000170365	ENSG00000113658	198	465
ENSP00000305769.4	ENSP00000382216.2	1khu_1	NA	NA	1khu_1	NA	P1_HM	78.48	92.42	95.5	88.51	1	ENSG00000170365	ENSG00000120693	198	465
ENSP00000305769.4	ENSP00000369154.4	1khu_1	NA	NA	1khu_1	NA	P1_HM	78.48	92.42	95.5	88.51	1	ENSG00000170365	ENSG00000120693	198	465
ENSP00000356070.3	ENSP00000396467.1	3a2c_1	NA	NA	3a2c_1	NA	P1_HM	64.52	75.46	72.45	77.19	1	ENSG00000162889	ENSG00000114738	274	400
ENSP00000350639.2	ENSP00000356070.3	NA	3a2c_1	NA	NA	3a2c_1	P2_HM	64.52	75.46	72.45	77.19	1	ENSG00000114738	ENSG00000162889	274	400
ENSP00000356070.3	ENSP00000478922.1	3a2c_1	NA	NA	3a2c_1	NA	P1_HM	64.52	75.46	72.45	77.19	0	ENSG00000162889	ENSG00000114738	274	400
ENSP00000312987.3	ENSP00000379701.2	3cbb_1	NA	NA	4b7w_1	NA	P1_HM	64.93	84.5	83.75	85.0	0	ENSG00000101076	ENSG00000164749	202	474
ENSP00000290921.6	ENSP00000338615.5	4u6s_1	NA	NA	4u6s_1	NA	P1_HM	76.73	88.11	92.86	85.65	1	ENSG00000159692	ENSG00000175029	328	440
ENSP00000290921.6	ENSP00000434630.1	4u6s_1	NA	NA	4u6s_1	NA	P1_HM	76.73	88.11	92.86	85.65	0	ENSG00000159692	ENSG00000175029	328	440
ENSP00000290921.6	ENSP00000436285.1	4u6s_1	NA	NA	4u6s_1	NA	P1_HM	76.73	88.11	92.86	85.65	0	ENSG00000159692	ENSG00000175029	328	440
ENSP00000290921.6	ENSP00000410474.2	4u6s_1	NA	NA	4u6s_1	NA	P1_HM	76.73	88.11	92.86	85.65	1	ENSG00000159692	ENSG00000175029	328	440
ENSP00000244769.3	ENSP00000415822.2	1oa8_1	NA	NA	1oa8_1	NA	P1_HM	27.08	60.63	62.5	56.41	0	ENSG00000124788	ENSG00000224470	128	815
ENSP00000497249.1	ENSP00000498905.1	1oki_1	NA	NA	1oki_1	NA	P1_HM	42.86	55.93	65.15	50.45	0	ENSG00000100122	ENSG00000244752	182	252
ENSP00000381273.2	ENSP00000497249.1	NA	1oki_1	NA	NA	1oki_1	P2_HM	42.86	55.93	65.15	50.45	0	ENSG00000244752	ENSG00000100122	182	252
ENSP00000335153.7	ENSP00000360709.5	2yi7_1	NA	NA	2yi7_1	NA	P1_HM	73.54	92.82	100.0	90.32	0	ENSG00000080824	ENSG00000096384	209	854
ENSP00000325875.3	ENSP00000335153.7	NA	2yi7_1	NA	NA	2yi7_1	P2_HM	73.54	92.82	100.0	90.32	0	ENSG00000096384	ENSG00000080824	209	854
ENSP00000335153.7	ENSP00000360609.1	2yi7_1	NA	NA	2yi7_1	NA	P1_HM	73.54	92.82	100.0	90.32	0	ENSG00000080824	ENSG00000096384	209	854
ENSP00000335153.7	ENSP00000481908.1	2yi7_1	NA	NA	2yi7_1	NA	P1_HM	73.54	92.82	100.0	90.32	0	ENSG00000080824	ENSG00000096384	209	854
ENSP00000398516.2	ENSP00000437185.1	1oyx_1	NA	NA	1oyx_1	NA	P1_HM	35.35	66.56	58.62	68.4	0	ENSG00000185513	ENSG00000198945	308	862
ENSP00000357121.2	ENSP00000398516.2	NA	1oyx_1	NA	NA	1oyx_1	P2_HM	35.35	66.56	58.62	68.4	0	ENSG00000198945	ENSG00000185513	308	862
ENSP00000398516.2	ENSP00000436706.1	1oyx_1	NA	NA	1oyx_1	NA	P1_HM	35.35	66.56	58.62	68.4	0	ENSG00000185513	ENSG00000198945	308	862
ENSP00000233121.2	ENSP00000364721.5	NA	1vka_1	3tq7_1	NA	1vka_1	P2_HM	63.83	86.26	100.0	84.35	1	ENSG00000084764	ENSG00000101367	132	268
ENSP00000233121.2	ENSP00000364721.5	NA	1vka_1	3tq7_1	NA	1vka_1	HET_P1	63.7	70.91	69.81	100.0	1	ENSG00000084764	ENSG00000101367	55	281
ENSP00000233121.2	ENSP00000364721.5	NA	1vka_1	3tq7_1	NA	1vka_1	HET_P2	63.83	69.09	69.23	66.67	1	ENSG00000084764	ENSG00000101367	55	268
ENSP00000286301.3	ENSP00000288135.5	NA	3g0f_2	NA	NA	3g0f_2	P2_HM	36.43	71.82	81.82	69.49	1	ENSG00000182578	ENSG00000157404	291	976
ENSP00000261799.4	ENSP00000288135.5	NA	3g0f_2	NA	NA	3g0f_2	P2_HM	27.62	60.82	76.36	57.2	1	ENSG00000113721	ENSG00000157404	291	976
ENSP00000328511.6	ENSP00000487785.1	NA	1qdv_1	NA	NA	1qdv_1	P2_HM	53.98	85.86	91.38	78.05	0	ENSG00000182255	ENSG00000177301	99	499
ENSP00000301522.2	ENSP00000361152.5	5ijt_1	NA	NA	5ijt_1	NA	P1_HM	77.39	77.16	80.43	72.86	1	ENSG00000167815	ENSG00000117450	162	198
ENSP00000262746.1	ENSP00000301522.2	NA	5ijt_1	NA	NA	5ijt_1	P2_HM	77.39	77.16	80.43	72.86	1	ENSG00000117450	ENSG00000167815	162	198
ENSP00000262948.3	ENSP00000302486.4	1s9i_1	1s9j_1	NA	1s9i_1	1s9j_1	P1_HM	78.66	88.37	97.14	87.22	1	ENSG00000126934	ENSG00000169032	303	400
ENSP00000262948.3	ENSP00000302486.4	1s9i_1	1s9j_1	NA	1s9i_1	1s9j_1	P2_HM	78.71	89.27	96.0	87.87	1	ENSG00000126934	ENSG00000169032	289	393
ENSP00000000442.6	ENSP00000355904.1	1xb7_1	1s9p_1	NA	NA	1s9p_1	P2_HM	52.61	62.33	63.33	61.94	0	ENSG00000173153	ENSG00000196482	215	470
ENSP00000355904.1	ENSP00000384851.1	1s9p_1	NA	NA	1s9p_1	NA	P1_HM	52.61	62.33	63.33	61.94	0	ENSG00000196482	ENSG00000173153	215	470
ENSP00000355904.1	ENSP00000424992.2	1s9p_1	NA	NA	1s9p_1	NA	P1_HM	73.19	78.6	78.33	78.71	0	ENSG00000196482	ENSG00000119715	215	470
ENSP00000242776.3	ENSP00000416269.1	NA	1t6n_1	NA	NA	1t6n_1	P2_HM	88.11	91.79	96.77	90.91	1	ENSG00000123136	ENSG00000198563	207	428
ENSP00000222286.3	ENSP00000229239.5	3h9e_1	1u8f_1	NA	3h9e_1	1u8f_1	P1_HM	55.5	68.17	84.5	57.84	1	ENSG00000105679	ENSG00000111640	0	408
ENSP00000222286.3	ENSP00000229239.5	3h9e_1	1u8f_1	NA	3h9e_1	1u8f_1	P2_HM	55.5	68.37	85.48	58.17	1	ENSG00000105679	ENSG00000111640	0	335
ENSP00000356853.4	ENSP00000361289.4	1uj2_1	NA	NA	1uj2_1	NA	P1_HM	64.06	79.52	82.86	77.86	1	ENSG00000143179	ENSG00000130717	213	261
ENSP00000280377.5	ENSP00000341028.4	3lmn_1	NA	NA	3lmn_1	NA	P1_HM	54.56	66.67	72.6	59.32	0	ENSG00000135655	ENSG00000114316	132	981
ENSP00000318543.7	ENSP00000431962.1	NA	4l59_1	NA	NA	4l59_1	P2_HM	39.08	64.82	73.53	63.74	0	ENSG00000154655	ENSG00000198945	307	780
ENSP00000410139.2	ENSP00000431962.1	NA	4l59_1	NA	NA	4l59_1	P2_HM	42.56	67.1	61.76	67.77	0	ENSG00000185513	ENSG00000198945	307	780
ENSP00000350785.5	ENSP00000442973.1	2y4p_1	5a6o_1	NA	2y4p_1	5a6o_1	P1_HM	19.86	81.82	96.49	77.78	0	ENSG00000196730	ENSG00000167657	264	1430
ENSP00000216733.3	ENSP00000391669.3	NA	1wyx_1	NA	NA	1wyx_1	P2_HM	24.25	67.21	83.33	63.27	0	ENSG00000100842	ENSG00000050820	68	916
ENSP00000368759.5	ENSP00000391669.3	NA	1wyx_1	NA	NA	1wyx_1	P2_HM	36.92	73.33	83.33	70.83	0	ENSG00000111859	ENSG00000050820	68	916
ENSP00000391669.3	ENSP00000422871.1	1wyx_1	NA	NA	1wyx_1	NA	P1_HM	36.92	73.33	83.33	70.83	0	ENSG00000050820	ENSG00000111859	68	916
ENSP00000261332.5	ENSP00000466500.1	3lhr_1	NA	NA	3lhr_1	NA	P1_HM	48.13	78.26	82.35	66.67	0	ENSG00000172466	ENSG00000186496	92	368
ENSP00000378731.2	ENSP00000455700.1	1xfb_1	NA	NA	1xfb_1	NA	P1_HM	81.87	83.33	91.43	79.75	0	ENSG00000109107	ENSG00000149925	342	364
ENSP00000378731.2	ENSP00000455800.2	1xfb_1	NA	NA	1xfb_1	NA	P1_HM	81.87	83.33	91.43	79.75	0	ENSG00000109107	ENSG00000149925	342	364
ENSP00000378731.2	ENSP00000400452.2	1xfb_1	NA	NA	1xfb_1	NA	P1_HM	81.87	83.33	91.43	79.75	1	ENSG00000109107	ENSG00000149925	342	364
ENSP00000378731.2	ENSP00000455917.1	1xfb_1	NA	NA	1xfb_1	NA	P1_HM	81.87	83.33	91.43	79.75	0	ENSG00000109107	ENSG00000149925	342	364
ENSP00000378731.2	ENSP00000494188.1	1xfb_1	NA	NA	1xfb_1	NA	P1_HM	81.87	83.33	91.43	79.75	0	ENSG00000109107	ENSG00000149925	342	364
ENSP00000261937.6	ENSP00000495159.1	NA	3kvq_1	NA	NA	3kvq_1	P2_HM	43.13	41.46	47.62	39.34	0	ENSG00000037280	ENSG00000128052	82	1356
ENSP00000417746.1	ENSP00000442973.1	NA	5a6o_1	NA	NA	5a6o_1	P2_HM	33.04	80.7	88.1	78.29	0	ENSG00000196730	ENSG00000167657	265	454
ENSP00000442973.1	ENSP00000484390.1	5a6o_1	NA	NA	5a6o_1	NA	P1_HM	58.84	80.3	87.37	76.33	0	ENSG00000167657	ENSG00000035664	265	454
ENSP00000442973.1	ENSP00000453235.1	5a6o_1	NA	NA	5a6o_1	NA	P1_HM	58.84	80.3	87.37	76.33	0	ENSG00000167657	ENSG00000035664	265	454
ENSP00000340989.4	ENSP00000379287.2	3iqu_1	NA	NA	4dhr_1	NA	P1_HM	69.48	74.32	70.59	75.44	1	ENSG00000175793	ENSG00000164924	227	248
ENSP00000340989.4	ENSP00000379286.3	3iqu_1	NA	NA	4dhr_1	NA	P1_HM	69.48	74.32	70.59	75.44	1	ENSG00000175793	ENSG00000164924	227	248
ENSP00000309503.3	ENSP00000340989.4	NA	3iqu_1	NA	NA	4dhr_1	P2_HM	69.48	74.32	70.59	75.44	1	ENSG00000164924	ENSG00000175793	227	248
ENSP00000340989.4	ENSP00000379283.2	3iqu_1	NA	NA	4dhr_1	NA	P1_HM	69.48	74.32	70.59	75.44	1	ENSG00000175793	ENSG00000164924	227	248
ENSP00000340989.4	ENSP00000379281.3	3iqu_1	NA	NA	4dhr_1	NA	P1_HM	69.48	74.32	70.59	75.44	1	ENSG00000175793	ENSG00000164924	227	248
ENSP00000340989.4	ENSP00000395114.2	3iqu_1	NA	NA	4dhr_1	NA	P1_HM	69.48	74.32	70.59	75.44	1	ENSG00000175793	ENSG00000164924	227	248
ENSP00000340989.4	ENSP00000379288.2	3iqu_1	NA	NA	4dhr_1	NA	P1_HM	69.48	74.32	70.59	75.44	1	ENSG00000175793	ENSG00000164924	227	248
ENSP00000340989.4	ENSP00000398599.1	3iqu_1	NA	NA	4dhr_1	NA	P1_HM	69.48	74.32	70.59	75.44	1	ENSG00000175793	ENSG00000164924	227	248
ENSP00000164139.3	ENSP00000216962.3	1z8d_1	5iko_1	NA	1z8d_1	5iko_1	P1_HM	83.51	84.0	91.37	82.5	1	ENSG00000068976	ENSG00000100994	819	842
ENSP00000164139.3	ENSP00000216962.3	1z8d_1	5iko_1	NA	1z8d_1	5iko_1	P2_HM	83.51	83.89	84.68	83.75	1	ENSG00000068976	ENSG00000100994	807	843
ENSP00000385751.2	ENSP00000411397.2	1zmu_1	NA	NA	1zmu_1	NA	P1_HM	61.93	87.71	95.56	86.29	0	ENSG00000072518	ENSG00000075413	293	788
ENSP00000219302.3	ENSP00000219479.2	1zs6_1	NA	NA	1zs6_1	NA	P1_HM	46.52	57.24	57.0	57.69	1	ENSG00000103024	ENSG00000103202	152	169
ENSP00000259727.4	ENSP00000454038.1	NA	2c6q_1	NA	NA	2a7r_1	P2_HM	64.4	80.18	91.23	74.55	0	ENSG00000137198	ENSG00000100938	338	427
