ENSG00000000938	ENSG00000197122
ENSG00000170035	ENSG00000170142
ENSG00000171617	ENSG00000183655
ENSG00000172062	ENSG00000205571
ENSG00000172466	ENSG00000186496
ENSG00000173153	ENSG00000196482
ENSG00000173175	ENSG00000174233
ENSG00000173480	ENSG00000198466
ENSG00000176974	ENSG00000182199
ENSG00000178573	ENSG00000204103
ENSG00000178988	ENSG00000179010
ENSG00000180096	ENSG00000184702
ENSG00000184486	ENSG00000198914
ENSG00000187626	ENSG00000189298
ENSG00000189169	ENSG00000212935
ENSG00000196150	ENSG00000196378
ENSG00000196459	ENSG00000256060
ENSG00000198055	ENSG00000198873
ENSG00000198750	ENSG00000239282
ENSG00000205441	ENSG00000215454
ENSG00000206203	ENSG00000212122
ENSG00000212899	ENSG00000212900
ENSG00000215455	ENSG00000241123
ENSG00000221837	ENSG00000243489
ENSG00000221909	ENSG00000237765
ENSG00000130758	ENSG00000173327
ENSG00000110844	ENSG00000196504
ENSG00000112232	ENSG00000121774
ENSG00000008441	ENSG00000147862
ENSG00000106617	ENSG00000181929
ENSG00000107643	ENSG00000109339
ENSG00000113721	ENSG00000157404
ENSG00000141027	ENSG00000196498
ENSG00000140044	ENSG00000162772
ENSG00000145349	ENSG00000148660
ENSG00000080815	ENSG00000143801
ENSG00000076685	ENSG00000144130
ENSG00000086712	ENSG00000164440
ENSG00000070182	ENSG00000115306
ENSG00000108946	ENSG00000188191
ENSG00000104892	ENSG00000126214
ENSG00000018189	ENSG00000176783
ENSG00000119715	ENSG00000196482
ENSG00000120729	ENSG00000138347
ENSG00000115325	ENSG00000146094
ENSG00000114019	ENSG00000126016
ENSG00000106976	ENSG00000197959
ENSG00000083307	ENSG00000158055
ENSG00000099822	ENSG00000138622
ENSG00000095637	ENSG00000154556
ENSG00000154655	ENSG00000198945
ENSG00000067606	ENSG00000163558
ENSG00000104964	ENSG00000196781
ENSG00000115310	ENSG00000139970
ENSG00000115310	ENSG00000133318
ENSG00000113721	ENSG00000134853
ENSG00000082512	ENSG00000131323
ENSG00000034152	ENSG00000108984
ENSG00000013016	ENSG00000110047
ENSG00000050748	ENSG00000109339
ENSG00000141380	ENSG00000184402
ENSG00000049759	ENSG00000069869
ENSG00000104964	ENSG00000106829
ENSG00000115317	ENSG00000166033
ENSG00000029725	ENSG00000177548
ENSG00000010671	ENSG00000135605
ENSG00000066027	ENSG00000154001
ENSG00000012983	ENSG00000104814
ENSG00000100167	ENSG00000140623
ENSG00000117020	ENSG00000142208
ENSG00000050748	ENSG00000107643
ENSG00000130985	ENSG00000182179
ENSG00000114416	ENSG00000129245
ENSG00000051128	ENSG00000103942
ENSG00000112214	ENSG00000183386
ENSG00000138100	ENSG00000147573
ENSG00000143882	ENSG00000155097
ENSG00000150977	ENSG00000167705
ENSG00000154380	ENSG00000196405
ENSG00000071242	ENSG00000177189
ENSG00000112079	ENSG00000211455
ENSG00000133135	ENSG00000170153
ENSG00000065675	ENSG00000163932
ENSG00000157404	ENSG00000182578
ENSG00000182866	ENSG00000254087
ENSG00000140299	ENSG00000167654
ENSG00000083290	ENSG00000177169
ENSG00000139842	ENSG00000158290
ENSG00000135736	ENSG00000150636
ENSG00000108854	ENSG00000198742
ENSG00000078328	ENSG00000167281
ENSG00000034971	ENSG00000130558
ENSG00000084764	ENSG00000101367
ENSG00000080824	ENSG00000096384
ENSG00000156050	ENSG00000170264
ENSG00000101182	ENSG00000154611
ENSG00000131095	ENSG00000175084
ENSG00000104814	ENSG00000168067
ENSG00000077522	ENSG00000130402
ENSG00000065243	ENSG00000160447
ENSG00000127946	ENSG00000130787
ENSG00000072864	ENSG00000166579
ENSG00000107099	ENSG00000116641
ENSG00000131626	ENSG00000177380
ENSG00000105976	ENSG00000164078
ENSG00000176049	ENSG00000188385
ENSG00000141551	ENSG00000213923
ENSG00000185513	ENSG00000198945
ENSG00000113658	ENSG00000170365
ENSG00000106772	ENSG00000163141
ENSG00000154229	ENSG00000166501
ENSG00000124226	ENSG00000134758
ENSG00000162512	ENSG00000169439
ENSG00000163874	ENSG00000178199
ENSG00000076554	ENSG00000111907
ENSG00000120798	ENSG00000177463
ENSG00000101336	ENSG00000182866
ENSG00000113240	ENSG00000179335
ENSG00000140299	ENSG00000163141
ENSG00000176009	ENSG00000187855
ENSG00000164305	ENSG00000165806
ENSG00000105991	ENSG00000120094
ENSG00000124226	ENSG00000158717
ENSG00000164924	ENSG00000175793
ENSG00000100934	ENSG00000101310
ENSG00000011304	ENSG00000117569
ENSG00000102081	ENSG00000114416
ENSG00000104953	ENSG00000196781
ENSG00000112182	ENSG00000156273
ENSG00000121741	ENSG00000146463
ENSG00000113645	ENSG00000151718
ENSG00000011566	ENSG00000104814
ENSG00000121957	ENSG00000160360
ENSG00000108798	ENSG00000138443
ENSG00000117569	ENSG00000119314
ENSG00000109107	ENSG00000149925
ENSG00000135018	ENSG00000160803
ENSG00000079462	ENSG00000168092
ENSG00000036672	ENSG00000143258
ENSG00000130699	ENSG00000141384
ENSG00000111057	ENSG00000186832
ENSG00000146872	ENSG00000198586
ENSG00000182759	ENSG00000204103
ENSG00000101049	ENSG00000118515
ENSG00000156976	ENSG00000161960
ENSG00000134853	ENSG00000182578
ENSG00000028116	ENSG00000100749
ENSG00000140332	ENSG00000196781
ENSG00000105426	ENSG00000153707
ENSG00000116560	ENSG00000147140
ENSG00000070808	ENSG00000148660
ENSG00000084652	ENSG00000164440
ENSG00000140859	ENSG00000167702
ENSG00000126561	ENSG00000138378
ENSG00000111752	ENSG00000173889
ENSG00000122025	ENSG00000134853
ENSG00000123374	ENSG00000250506
ENSG00000050820	ENSG00000100842
ENSG00000082996	ENSG00000108523
ENSG00000073282	ENSG00000141510
ENSG00000109079	ENSG00000110906
ENSG00000122566	ENSG00000135486
ENSG00000121774	ENSG00000131773
ENSG00000066056	ENSG00000120156
ENSG00000072401	ENSG00000131508
ENSG00000072518	ENSG00000075413
ENSG00000126733	ENSG00000165659
ENSG00000117143	ENSG00000197355
ENSG00000007001	ENSG00000183696
ENSG00000184486	ENSG00000185668
ENSG00000088986	ENSG00000121083
ENSG00000129535	ENSG00000204103
ENSG00000110693	ENSG00000134532
ENSG00000092531	ENSG00000132639
ENSG00000138641	ENSG00000148634
ENSG00000103126	ENSG00000168646
ENSG00000087589	ENSG00000111859
ENSG00000107854	ENSG00000173273
ENSG00000066468	ENSG00000160867
ENSG00000151422	ENSG00000182511
ENSG00000133135	ENSG00000163162
ENSG00000102572	ENSG00000134602
ENSG00000124145	ENSG00000169439
ENSG00000185615	ENSG00000185624
ENSG00000176009	ENSG00000232237
ENSG00000104205	ENSG00000118515
ENSG00000105991	ENSG00000128645
ENSG00000099822	ENSG00000164588
ENSG00000113721	ENSG00000122025
ENSG00000116560	ENSG00000121390
ENSG00000070808	ENSG00000145349
ENSG00000064393	ENSG00000110422
ENSG00000120658	ENSG00000165675
ENSG00000168610	ENSG00000170581
ENSG00000110395	ENSG00000142273
ENSG00000095066	ENSG00000134709
ENSG00000101076	ENSG00000164749
ENSG00000082258	ENSG00000129315
ENSG00000175745	ENSG00000185551
ENSG00000072401	ENSG00000109332
ENSG00000008853	ENSG00000072422
ENSG00000143630	ENSG00000164588
ENSG00000138190	ENSG00000144036
ENSG00000108375	ENSG00000183579
ENSG00000120899	ENSG00000169398
ENSG00000121741	ENSG00000147130
ENSG00000078043	ENSG00000105229
ENSG00000176444	ENSG00000179335
ENSG00000116754	ENSG00000153914
ENSG00000077264	ENSG00000180370
ENSG00000007047	ENSG00000075413
ENSG00000079805	ENSG00000197959
ENSG00000078699	ENSG00000129993
ENSG00000134317	ENSG00000158055
ENSG00000055917	ENSG00000134644
ENSG00000011304	ENSG00000119314
ENSG00000006453	ENSG00000175866
ENSG00000101150	ENSG00000111907
ENSG00000125733	ENSG00000187239
ENSG00000026025	ENSG00000131095
ENSG00000113263	ENSG00000135605
ENSG00000117399	ENSG00000164287
ENSG00000033800	ENSG00000105229
ENSG00000107593	ENSG00000118762
ENSG00000171223	ENSG00000177606
ENSG00000176783	ENSG00000204130
ENSG00000134775	ENSG00000135723
ENSG00000069424	ENSG00000169282
ENSG00000102572	ENSG00000115694
ENSG00000005379	ENSG00000060709
ENSG00000169340	ENSG00000185624
ENSG00000166888	ENSG00000168610
ENSG00000060566	ENSG00000107175
ENSG00000047230	ENSG00000171793
ENSG00000113368	ENSG00000160789
ENSG00000124788	ENSG00000224470
ENSG00000169967	ENSG00000198909
ENSG00000101445	ENSG00000160972
ENSG00000134308	ENSG00000164924
ENSG00000133318	ENSG00000139970
ENSG00000056586	ENSG00000135870
ENSG00000147862	ENSG00000162599
ENSG00000138622	ENSG00000164588
ENSG00000104824	ENSG00000143889
ENSG00000100749	ENSG00000105053
ENSG00000013016	ENSG00000103966
ENSG00000070423	ENSG00000121848
ENSG00000066044	ENSG00000107105
ENSG00000104892	ENSG00000174996
ENSG00000119408	ENSG00000151414
ENSG00000109466	ENSG00000146021
ENSG00000105323	ENSG00000234857
ENSG00000071564	ENSG00000196628
ENSG00000136158	ENSG00000164056
ENSG00000026025	ENSG00000175084
ENSG00000165092	ENSG00000184254
ENSG00000102804	ENSG00000157514
ENSG00000070770	ENSG00000101266
ENSG00000076554	ENSG00000101150
ENSG00000072803	ENSG00000166167
ENSG00000051128	ENSG00000152413
ENSG00000135457	ENSG00000153560
ENSG00000030419	ENSG00000185811
ENSG00000177301	ENSG00000182255
ENSG00000162924	ENSG00000173039
ENSG00000072110	ENSG00000077522
ENSG00000164695	ENSG00000254505
ENSG00000111716	ENSG00000166796
ENSG00000005882	ENSG00000152256
ENSG00000111716	ENSG00000134333
ENSG00000100320	ENSG00000167281
ENSG00000101109	ENSG00000104375
ENSG00000084764	ENSG00000166974
ENSG00000128709	ENSG00000180806
ENSG00000075975	ENSG00000179455
ENSG00000115415	ENSG00000170581
ENSG00000100504	ENSG00000100994
ENSG00000113721	ENSG00000145216
ENSG00000134852	ENSG00000170485
ENSG00000106772	ENSG00000140299
ENSG00000100916	ENSG00000174744
ENSG00000109685	ENSG00000165671
ENSG00000128298	ENSG00000175866
ENSG00000121390	ENSG00000147140
ENSG00000115825	ENSG00000184304
ENSG00000123159	ENSG00000137960
ENSG00000136158	ENSG00000187678
ENSG00000102804	ENSG00000196428
ENSG00000154447	ENSG00000172985
ENSG00000110395	ENSG00000114423
ENSG00000114316	ENSG00000135655
ENSG00000151224	ENSG00000168906
ENSG00000169071	ENSG00000185483
ENSG00000108387	ENSG00000180096
ENSG00000151726	ENSG00000164398
ENSG00000102755	ENSG00000128052
ENSG00000008441	ENSG00000162599
ENSG00000100842	ENSG00000111859
ENSG00000125733	ENSG00000137942
ENSG00000075702	ENSG00000137802
ENSG00000161405	ENSG00000185811
ENSG00000092199	ENSG00000184672
ENSG00000136158	ENSG00000168939
ENSG00000115738	ENSG00000125968
ENSG00000138386	ENSG00000166886
ENSG00000100461	ENSG00000131051
ENSG00000135486	ENSG00000170144
ENSG00000104964	ENSG00000140332
ENSG00000099804	ENSG00000107341
ENSG00000078747	ENSG00000198373
ENSG00000151292	ENSG00000169118
ENSG00000071655	ENSG00000134046
ENSG00000125753	ENSG00000196405
ENSG00000152969	ENSG00000176049
ENSG00000092964	ENSG00000113657
ENSG00000107175	ENSG00000143578
ENSG00000164924	ENSG00000166913
ENSG00000050820	ENSG00000111859
ENSG00000072832	ENSG00000113657
ENSG00000069509	ENSG00000165775
ENSG00000089094	ENSG00000173120
ENSG00000078795	ENSG00000118762
ENSG00000066468	ENSG00000068078
ENSG00000141127	ENSG00000161542
ENSG00000075413	ENSG00000116141
ENSG00000115884	ENSG00000169439
ENSG00000122025	ENSG00000182578
ENSG00000010671	ENSG00000074966
ENSG00000111716	ENSG00000151116
ENSG00000106123	ENSG00000133216
ENSG00000111057	ENSG00000187242
ENSG00000110906	ENSG00000174943
ENSG00000037280	ENSG00000128052
ENSG00000160113	ENSG00000185551
ENSG00000113407	ENSG00000185418
ENSG00000134070	ENSG00000184216
ENSG00000133216	ENSG00000154928
ENSG00000078900	ENSG00000141510
ENSG00000108798	ENSG00000136754
ENSG00000033800	ENSG00000131788
ENSG00000108387	ENSG00000184702
ENSG00000033800	ENSG00000078043
ENSG00000147535	ENSG00000203805
ENSG00000125388	ENSG00000198873
ENSG00000004799	ENSG00000152256
ENSG00000056661	ENSG00000168283
ENSG00000030419	ENSG00000161405
ENSG00000154447	ENSG00000156463
ENSG00000105287	ENSG00000184304
ENSG00000068971	ENSG00000154001
ENSG00000167657	ENSG00000196730
ENSG00000104856	ENSG00000173039
ENSG00000066044	ENSG00000162374
ENSG00000061938	ENSG00000174292
ENSG00000126561	ENSG00000170581
ENSG00000158623	ENSG00000181789
ENSG00000135119	ENSG00000189050
ENSG00000134686	ENSG00000173889
ENSG00000120693	ENSG00000170365
ENSG00000124942	ENSG00000185567
ENSG00000013016	ENSG00000024422
ENSG00000118217	ENSG00000213676
ENSG00000058091	ENSG00000138395
ENSG00000126561	ENSG00000166888
ENSG00000137960	ENSG00000179855
ENSG00000092964	ENSG00000151640
ENSG00000072832	ENSG00000092964
ENSG00000115415	ENSG00000166888
ENSG00000065717	ENSG00000196781
ENSG00000154127	ENSG00000160185
ENSG00000113269	ENSG00000133135
ENSG00000074966	ENSG00000113263
ENSG00000105323	ENSG00000214753
ENSG00000138378	ENSG00000168610
ENSG00000133275	ENSG00000151292
ENSG00000130522	ENSG00000177606
ENSG00000115306	ENSG00000173898
ENSG00000092871	ENSG00000170633
ENSG00000101665	ENSG00000137834
ENSG00000096746	ENSG00000169813
ENSG00000111057	ENSG00000171431
ENSG00000134333	ENSG00000151116
