P1	sseqid_PDB	sseqid_chain	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	rank	P2
ENSP00000362659.2	1a1e	A	100	106	0	0	150	255	2	107	2e-70	226	39	ENSP00000363117.3,ENSP00000363116.1,ENSP00000363115.3,ENSP00000407670.1,ENSP00000382126.1
ENSP00000362659.2	1a1e	B	100	106	0	0	150	255	2	107	2e-70	226	38	ENSP00000363117.3,ENSP00000363116.1,ENSP00000363115.3,ENSP00000407670.1,ENSP00000382126.1
ENSP00000364907.4	1a81	A	100	254	0	0	9	262	1	254	0	532	68	ENSP00000264972.5,ENSP00000400475.2
ENSP00000364907.4	1a81	C	100	254	0	0	9	262	1	254	0	532	67	ENSP00000264972.5,ENSP00000400475.2
ENSP00000364907.4	1a81	E	100	254	0	0	9	262	1	254	0	532	66	ENSP00000264972.5,ENSP00000400475.2
ENSP00000364907.4	1a81	G	100	254	0	0	9	262	1	254	0	532	65	ENSP00000264972.5,ENSP00000400475.2
ENSP00000364907.4	1a81	I	100	254	0	0	9	262	1	254	0	532	64	ENSP00000264972.5,ENSP00000400475.2
ENSP00000364907.4	1a81	K	100	254	0	0	9	262	1	254	0	532	63	ENSP00000264972.5,ENSP00000400475.2
ENSP00000479037.1	1aa2	A	100	108	0	0	173	280	1	108	1e-68	232	2	ENSP00000432568.1,ENSP00000433593.1,ENSP00000433631.1,ENSP00000499027.1,ENSP00000311489.2,ENSP00000482000.1,ENSP00000480692.1
ENSP00000479037.1	1aa2	A	100	108	0	0	173	280	1	108	1e-68	232	2	ENSP00000451752.1,ENSP00000495909.1,ENSP00000451324.1,ENSP00000374371.5,ENSP00000374370.4,ENSP00000374372.3
ENSP00000488924.1	1aie	A	100	31	0	0	287	317	1	31	6e-14	69.7	113	ENSP00000264731.3,ENSP00000407144.2,ENSP00000317510.5,ENSP00000376253.3,ENSP00000394337.2,ENSP00000346614.5,ENSP00000401661.1,ENSP00000392488.1,ENSP00000376256.2,ENSP00000376254.3,ENSP00000387839.1,ENSP00000389485.1
ENSP00000488924.1	1aie	A	100	31	0	0	287	317	1	31	6e-14	69.7	113	ENSP00000367545.4,ENSP00000475143.1,ENSP00000346423.4,ENSP00000474626.1,ENSP00000474322.1,ENSP00000367534.1,ENSP00000367529.1,ENSP00000367537.4,ENSP00000367539.4,ENSP00000350366.3,ENSP00000340740.4
ENSP00000457468.2	1ald	A	100	363	0	0	56	418	1	363	0	755	7	ENSP00000497767.1,ENSP00000363988.4,ENSP00000497990.1,ENSP00000497731.1,ENSP00000497216.1,ENSP00000497985.1,ENSP00000481363.1
ENSP00000457468.2	1ald	A	100	363	0	0	56	418	1	363	0	755	7	ENSP00000378729.3,ENSP00000378731.2,ENSP00000226253.4,ENSP00000463174.2,ENSP00000462674.1,ENSP00000465623.1,ENSP00000398976.1,ENSP00000463118.1
ENSP00000321584.4	1b3o	A	100	514	0	0	1	514	1	514	0	1055	6	ENSP00000420756.1,ENSP00000418742.1,ENSP00000399400.2,ENSP00000345096.6,ENSP00000420803.1,ENSP00000346219.5,ENSP00000265385.8,ENSP00000417296.1,ENSP00000496892.1,ENSP00000420185.1,ENSP00000419609.1,ENSP00000418592.1,ENSP00000420469.1,ENSP00000486056.1
ENSP00000321584.4	1b3o	B	100	514	0	0	1	514	1	514	0	1055	5	ENSP00000420756.1,ENSP00000418742.1,ENSP00000399400.2,ENSP00000345096.6,ENSP00000420803.1,ENSP00000346219.5,ENSP00000265385.8,ENSP00000417296.1,ENSP00000496892.1,ENSP00000420185.1,ENSP00000419609.1,ENSP00000418592.1,ENSP00000420469.1,ENSP00000486056.1
ENSP00000264033.3	1b47	A	100	304	0	0	47	350	1	304	0	645	14	ENSP00000270279.3,ENSP00000340250.4,ENSP00000494162.1,ENSP00000495258.1
ENSP00000264033.3	1b47	A	100	304	0	0	47	350	1	304	0	645	14	ENSP00000377598.4,ENSP00000496297.1,ENSP00000264122.4,ENSP00000494383.1,ENSP00000496708.1,ENSP00000494262.1,ENSP00000496761.1,ENSP00000496352.1,ENSP00000384816.1,ENSP00000384938.1,ENSP00000400949.2,ENSP00000494989.1,ENSP00000409750.2,ENSP00000393906.2,ENSP00000495754.1,ENSP00000499037.1
ENSP00000264033.3	1b47	B	100	304	0	0	47	350	1	304	0	645	13	ENSP00000270279.3,ENSP00000340250.4,ENSP00000494162.1,ENSP00000495258.1
ENSP00000264033.3	1b47	B	100	304	0	0	47	350	1	304	0	645	13	ENSP00000377598.4,ENSP00000496297.1,ENSP00000264122.4,ENSP00000494383.1,ENSP00000496708.1,ENSP00000494262.1,ENSP00000496761.1,ENSP00000496352.1,ENSP00000384816.1,ENSP00000384938.1,ENSP00000400949.2,ENSP00000494989.1,ENSP00000409750.2,ENSP00000393906.2,ENSP00000495754.1,ENSP00000499037.1
ENSP00000264033.3	1b47	C	100	304	0	0	47	350	1	304	0	645	12	ENSP00000270279.3,ENSP00000340250.4,ENSP00000494162.1,ENSP00000495258.1
ENSP00000264033.3	1b47	C	100	304	0	0	47	350	1	304	0	645	12	ENSP00000377598.4,ENSP00000496297.1,ENSP00000264122.4,ENSP00000494383.1,ENSP00000496708.1,ENSP00000494262.1,ENSP00000496761.1,ENSP00000496352.1,ENSP00000384816.1,ENSP00000384938.1,ENSP00000400949.2,ENSP00000494989.1,ENSP00000409750.2,ENSP00000393906.2,ENSP00000495754.1,ENSP00000499037.1
ENSP00000483570.1	1b55	A	100	169	0	0	36	204	1	169	3e-117	354	35	ENSP00000370912.3,ENSP00000424567.1,ENSP00000424365.1
ENSP00000483570.1	1b55	A	100	169	0	0	36	204	1	169	3e-117	354	35	ENSP00000264316.4,ENSP00000422139.1,ENSP00000423481.1,ENSP00000424070.1,ENSP00000422798.1
ENSP00000483570.1	1b55	B	100	169	0	0	36	204	1	169	3e-117	354	34	ENSP00000370912.3,ENSP00000424567.1,ENSP00000424365.1
ENSP00000483570.1	1b55	B	100	169	0	0	36	204	1	169	3e-117	354	34	ENSP00000264316.4,ENSP00000422139.1,ENSP00000423481.1,ENSP00000424070.1,ENSP00000422798.1
ENSP00000354394.3	1bf5	A	100	575	0	0	136	710	1	575	0	1190	3	ENSP00000315768.4,ENSP00000498470.1,ENSP00000498876.1,ENSP00000498704.1,ENSP00000498710.1,ENSP00000499108.1,ENSP00000499022.1,ENSP00000450751.1,ENSP00000387354.2,ENSP00000450985.1
ENSP00000354394.3	1bf5	A	100	575	0	0	136	710	1	575	0	1190	3	ENSP00000300134.3,ENSP00000498693.1,ENSP00000451546.2,ENSP00000451909.1,ENSP00000445409.2,ENSP00000438451.2,ENSP00000451742.1,ENSP00000444530.2,ENSP00000401486.3,ENSP00000491116.2,ENSP00000450428.1,ENSP00000452394.1,ENSP00000452373.1,ENSP00000451074.1,ENSP00000452203.1,ENSP00000450510.1,ENSP00000450665.1,ENSP00000450747.1,ENSP00000450732.1
ENSP00000384273.3	1bft	A	100	101	0	0	191	291	1	101	6e-66	214	5	ENSP00000295025.7,ENSP00000377989.3,ENSP00000496299.1
ENSP00000384273.3	1bft	A	100	101	0	0	191	291	1	101	6e-66	214	5	ENSP00000221452.7,ENSP00000427348.1,ENSP00000423287.1,ENSP00000468460.1,ENSP00000485826.1
ENSP00000384273.3	1bft	B	100	101	0	0	191	291	1	101	6e-66	214	4	ENSP00000295025.7,ENSP00000377989.3,ENSP00000496299.1
ENSP00000384273.3	1bft	B	100	101	0	0	191	291	1	101	6e-66	214	4	ENSP00000221452.7,ENSP00000427348.1,ENSP00000423287.1,ENSP00000468460.1,ENSP00000485826.1
ENSP00000328213.4	1bhf	A	100	108	0	0	119	226	1	108	3e-71	228	11	ENSP00000428924.1,ENSP00000428424.1,ENSP00000428313.1
ENSP00000328213.4	1bhf	A	100	108	0	0	119	226	1	108	3e-71	228	11	ENSP00000365022.2,ENSP00000486627.1,ENSP00000420457.1,ENSP00000262651.3,ENSP00000429848.1,ENSP00000427757.1,ENSP00000365012.2,ENSP00000441169.1,ENSP00000444986.3,ENSP00000491964.1
ENSP00000328213.4	1bhh	A	100	108	0	0	119	226	1	108	3e-71	228	10	ENSP00000428924.1,ENSP00000428424.1,ENSP00000428313.1
ENSP00000328213.4	1bhh	A	100	108	0	0	119	226	1	108	3e-71	228	10	ENSP00000365022.2,ENSP00000486627.1,ENSP00000420457.1,ENSP00000262651.3,ENSP00000429848.1,ENSP00000427757.1,ENSP00000365012.2,ENSP00000441169.1,ENSP00000444986.3,ENSP00000491964.1
ENSP00000328213.4	1bhh	B	100	103	0	0	124	226	1	103	1e-67	219	14	ENSP00000428924.1,ENSP00000428424.1,ENSP00000428313.1
ENSP00000328213.4	1bhh	B	100	103	0	0	124	226	1	103	1e-67	219	14	ENSP00000365022.2,ENSP00000486627.1,ENSP00000420457.1,ENSP00000262651.3,ENSP00000429848.1,ENSP00000427757.1,ENSP00000365012.2,ENSP00000441169.1,ENSP00000444986.3,ENSP00000491964.1
ENSP00000327801.4	1bjx	A	100	110	0	0	136	245	1	110	4e-68	219	6	ENSP00000219406.6,ENSP00000384410.1,ENSP00000392277.1,ENSP00000405081.1
ENSP00000327801.4	1bjx	A	100	110	0	0	136	245	1	110	4e-68	219	6	ENSP00000305465.4,ENSP00000459161.1
ENSP00000479037.1	1bkr	A	100	109	0	0	172	280	1	109	6e-69	233	1	ENSP00000432568.1,ENSP00000433593.1,ENSP00000433631.1,ENSP00000499027.1,ENSP00000311489.2,ENSP00000482000.1,ENSP00000480692.1
ENSP00000479037.1	1bkr	A	100	109	0	0	172	280	1	109	6e-69	233	1	ENSP00000451752.1,ENSP00000495909.1,ENSP00000451324.1,ENSP00000374371.5,ENSP00000374370.4,ENSP00000374372.3
ENSP00000323929.7	1bv8	A	100	138	0	0	1337	1474	1	138	6e-88	286	5	ENSP00000261336.2,ENSP00000440811.1
ENSP00000488924.1	1c26	A	100	32	0	0	286	317	1	32	9e-15	72	100	ENSP00000264731.3,ENSP00000407144.2,ENSP00000317510.5,ENSP00000376253.3,ENSP00000394337.2,ENSP00000346614.5,ENSP00000401661.1,ENSP00000392488.1,ENSP00000376256.2,ENSP00000376254.3,ENSP00000387839.1,ENSP00000389485.1
ENSP00000488924.1	1c26	A	100	32	0	0	286	317	1	32	9e-15	72	100	ENSP00000367545.4,ENSP00000475143.1,ENSP00000346423.4,ENSP00000474626.1,ENSP00000474322.1,ENSP00000367534.1,ENSP00000367529.1,ENSP00000367537.4,ENSP00000367539.4,ENSP00000350366.3,ENSP00000340740.4
ENSP00000381531.5	1cki	A	100	317	0	0	1	317	1	317	0	666	6	ENSP00000352929.3,ENSP00000400494.1,ENSP00000403610.1,ENSP00000384074.1,ENSP00000412194.1,ENSP00000407235.2,ENSP00000384426.3,ENSP00000397460.1,ENSP00000403057.1,ENSP00000412335.1,ENSP00000380044.1
ENSP00000381531.5	1cki	B	100	317	0	0	1	317	1	317	0	666	5	ENSP00000352929.3,ENSP00000400494.1,ENSP00000403610.1,ENSP00000384074.1,ENSP00000412194.1,ENSP00000407235.2,ENSP00000384426.3,ENSP00000397460.1,ENSP00000403057.1,ENSP00000412335.1,ENSP00000380044.1
ENSP00000381531.5	1ckj	A	100	317	0	0	1	317	1	317	0	666	4	ENSP00000352929.3,ENSP00000400494.1,ENSP00000403610.1,ENSP00000384074.1,ENSP00000412194.1,ENSP00000407235.2,ENSP00000384426.3,ENSP00000397460.1,ENSP00000403057.1,ENSP00000412335.1,ENSP00000380044.1
ENSP00000381531.5	1ckj	B	100	317	0	0	1	317	1	317	0	666	3	ENSP00000352929.3,ENSP00000400494.1,ENSP00000403610.1,ENSP00000384074.1,ENSP00000412194.1,ENSP00000407235.2,ENSP00000384426.3,ENSP00000397460.1,ENSP00000403057.1,ENSP00000412335.1,ENSP00000380044.1
ENSP00000367545.4	1cok	A	100	68	0	0	487	554	1	68	1e-42	151	38	ENSP00000410739.2,ENSP00000488924.1,ENSP00000352610.4,ENSP00000484409.1,ENSP00000478499.1,ENSP00000481179.1,ENSP00000484375.1,ENSP00000481401.1,ENSP00000477531.1,ENSP00000478219.1,ENSP00000269305.4,ENSP00000481638.1,ENSP00000398846.2,ENSP00000391127.2,ENSP00000482222.1,ENSP00000480868.1,ENSP00000391478.2,ENSP00000482537.1,ENSP00000458393.1,ENSP00000425104.1,ENSP00000423862.1,ENSP00000424104.1,ENSP00000473895.1,ENSP00000426252.1,ENSP00000482258.1,ENSP00000482903.1
ENSP00000367545.4	1cok	A	100	68	0	0	487	554	1	68	1e-42	151	38	ENSP00000264731.3,ENSP00000407144.2,ENSP00000317510.5,ENSP00000376253.3,ENSP00000394337.2,ENSP00000346614.5,ENSP00000401661.1,ENSP00000392488.1,ENSP00000376256.2,ENSP00000376254.3,ENSP00000387839.1,ENSP00000389485.1
ENSP00000328213.4	1cwd	L	100	96	0	0	127	222	3	98	8e-64	209	17	ENSP00000428924.1,ENSP00000428424.1,ENSP00000428313.1
ENSP00000328213.4	1cwd	L	100	96	0	0	127	222	3	98	8e-64	209	17	ENSP00000365022.2,ENSP00000486627.1,ENSP00000420457.1,ENSP00000262651.3,ENSP00000429848.1,ENSP00000427757.1,ENSP00000365012.2,ENSP00000441169.1,ENSP00000444986.3,ENSP00000491964.1
ENSP00000328213.4	1cwe	A	100	96	0	0	127	222	3	98	8e-64	209	16	ENSP00000428924.1,ENSP00000428424.1,ENSP00000428313.1
ENSP00000328213.4	1cwe	A	100	96	0	0	127	222	3	98	8e-64	209	16	ENSP00000365022.2,ENSP00000486627.1,ENSP00000420457.1,ENSP00000262651.3,ENSP00000429848.1,ENSP00000427757.1,ENSP00000365012.2,ENSP00000441169.1,ENSP00000444986.3,ENSP00000491964.1
ENSP00000328213.4	1cwe	C	100	96	0	0	127	222	3	98	8e-64	209	15	ENSP00000428924.1,ENSP00000428424.1,ENSP00000428313.1
ENSP00000328213.4	1cwe	C	100	96	0	0	127	222	3	98	8e-64	209	15	ENSP00000365022.2,ENSP00000486627.1,ENSP00000420457.1,ENSP00000262651.3,ENSP00000429848.1,ENSP00000427757.1,ENSP00000365012.2,ENSP00000441169.1,ENSP00000444986.3,ENSP00000491964.1
ENSP00000343325.4	1cxz	B	100	86	0	0	19	104	1	86	9e-47	166	1	ENSP00000291906.4
ENSP00000334382.6	1ddv	A	100	111	0	0	1	111	1	111	5e-78	240	3	ENSP00000221222.11,ENSP00000439937.1,ENSP00000376162.2,ENSP00000469800.1,ENSP00000471835.1,ENSP00000446026.1,ENSP00000472815.1,ENSP00000470659.1,ENSP00000472800.1,ENSP00000396154.2
ENSP00000334382.6	1ddw	A	100	120	0	0	1	120	1	120	2e-84	257	2	ENSP00000221222.11,ENSP00000439937.1,ENSP00000376162.2,ENSP00000469800.1,ENSP00000471835.1,ENSP00000446026.1,ENSP00000472815.1,ENSP00000470659.1,ENSP00000472800.1,ENSP00000396154.2
ENSP00000262320.3	1dk8	A	100	147	0	0	74	220	1	147	1e-97	306	1	ENSP00000302625.5,ENSP00000364854.5,ENSP00000464264.1,ENSP00000463761.1,ENSP00000463192.1,ENSP00000441151.2,ENSP00000478916.1,ENSP00000481191.1
ENSP00000367545.4	1dxs	A	100	78	0	0	487	564	3	80	3e-48	167	37	ENSP00000410739.2,ENSP00000488924.1,ENSP00000352610.4,ENSP00000484409.1,ENSP00000478499.1,ENSP00000481179.1,ENSP00000484375.1,ENSP00000481401.1,ENSP00000477531.1,ENSP00000478219.1,ENSP00000269305.4,ENSP00000481638.1,ENSP00000398846.2,ENSP00000391127.2,ENSP00000482222.1,ENSP00000480868.1,ENSP00000391478.2,ENSP00000482537.1,ENSP00000458393.1,ENSP00000425104.1,ENSP00000423862.1,ENSP00000424104.1,ENSP00000473895.1,ENSP00000426252.1,ENSP00000482258.1,ENSP00000482903.1
ENSP00000367545.4	1dxs	A	100	78	0	0	487	564	3	80	3e-48	167	37	ENSP00000264731.3,ENSP00000407144.2,ENSP00000317510.5,ENSP00000376253.3,ENSP00000394337.2,ENSP00000346614.5,ENSP00000401661.1,ENSP00000392488.1,ENSP00000376256.2,ENSP00000376254.3,ENSP00000387839.1,ENSP00000389485.1
ENSP00000362014.3	1dyn	A	100	124	0	0	510	633	2	125	1e-82	266	28	ENSP00000356707.2,ENSP00000347457.5,ENSP00000486701.1,ENSP00000356705.1,ENSP00000429701.1,ENSP00000429416.1,ENSP00000429165.1
ENSP00000362014.3	1dyn	A	100	124	0	0	510	633	2	125	1e-82	266	28	ENSP00000468734.1,ENSP00000352721.6,ENSP00000373905.3,ENSP00000347890.6,ENSP00000386192.3,ENSP00000467430.1,ENSP00000466603.2,ENSP00000466914.1,ENSP00000466621.1
ENSP00000362014.3	1dyn	B	100	124	0	0	510	633	2	125	1e-82	266	27	ENSP00000356707.2,ENSP00000347457.5,ENSP00000486701.1,ENSP00000356705.1,ENSP00000429701.1,ENSP00000429416.1,ENSP00000429165.1
ENSP00000362014.3	1dyn	B	100	124	0	0	510	633	2	125	1e-82	266	27	ENSP00000468734.1,ENSP00000352721.6,ENSP00000373905.3,ENSP00000347890.6,ENSP00000386192.3,ENSP00000467430.1,ENSP00000466603.2,ENSP00000466914.1,ENSP00000466621.1
ENSP00000353408.5	1e5w	A	100	346	0	0	1	346	1	346	0	731	1	ENSP00000338934.7,ENSP00000356042.3,ENSP00000376016.5
ENSP00000358727.5	1eem	A	100	241	0	0	1	241	1	241	1e-178	496	9	ENSP00000345023.1,ENSP00000358721.1,ENSP00000390986.2
ENSP00000353408.5	1ef1	A	100	294	0	0	4	297	1	294	0	632	4	ENSP00000338934.7,ENSP00000356042.3,ENSP00000376016.5
ENSP00000353408.5	1ef1	B	100	294	0	0	4	297	1	294	0	632	3	ENSP00000338934.7,ENSP00000356042.3,ENSP00000376016.5
ENSP00000353408.5	1ef1	C	100	90	0	0	488	577	1	90	2e-53	181	6	ENSP00000338934.7,ENSP00000356042.3,ENSP00000376016.5
ENSP00000353408.5	1ef1	D	100	90	0	0	488	577	1	90	2e-53	181	5	ENSP00000338934.7,ENSP00000356042.3,ENSP00000376016.5
ENSP00000245932.5	1egx	A	100	115	0	0	1	115	1	115	3e-82	252	1	ENSP00000384720.2,ENSP00000437904.2,ENSP00000376652.3,ENSP00000450723.1,ENSP00000481825.1,ENSP00000452156.1,ENSP00000451226.1,ENSP00000452327.1,ENSP00000450979.1,ENSP00000451821.1,ENSP00000451761.1
ENSP00000395605.1	1ehw	A	100	137	0	0	36	172	23	159	8e-95	280	2	ENSP00000219302.3,ENSP00000456160.1,ENSP00000455271.1,ENSP00000455435.1,ENSP00000454498.1
ENSP00000395605.1	1ehw	B	100	137	0	0	36	172	23	159	8e-95	280	1	ENSP00000219302.3,ENSP00000456160.1,ENSP00000455271.1,ENSP00000455435.1,ENSP00000454498.1
ENSP00000361818.3	1ejp	A	100	28	0	0	171	198	1	28	7e-12	60.8	4	ENSP00000307046.4,ENSP00000429045.1,ENSP00000427784.1,ENSP00000428256.1,ENSP00000429121.1,ENSP00000429662.2
ENSP00000361818.3	1ejp	B	100	28	0	0	171	198	1	28	7e-12	60.8	3	ENSP00000307046.4,ENSP00000429045.1,ENSP00000427784.1,ENSP00000428256.1,ENSP00000429121.1,ENSP00000429662.2
ENSP00000361818.3	1ejq	A	100	28	0	0	171	198	1	28	7e-12	60.8	2	ENSP00000307046.4,ENSP00000429045.1,ENSP00000427784.1,ENSP00000428256.1,ENSP00000429121.1,ENSP00000429662.2
ENSP00000361818.3	1ejq	B	100	28	0	0	171	198	1	28	7e-12	60.8	1	ENSP00000307046.4,ENSP00000429045.1,ENSP00000427784.1,ENSP00000428256.1,ENSP00000429121.1,ENSP00000429662.2
ENSP00000216392.7	1em6	A	100	847	0	0	1	847	1	847	0	1762	15	ENSP00000216962.3,ENSP00000395451.1
ENSP00000216392.7	1em6	B	100	847	0	0	1	847	1	847	0	1762	14	ENSP00000216962.3,ENSP00000395451.1
ENSP00000262320.3	1emu	A	100	132	0	0	80	211	1	132	9e-90	285	2	ENSP00000302625.5,ENSP00000364854.5,ENSP00000464264.1,ENSP00000463761.1,ENSP00000463192.1,ENSP00000441151.2,ENSP00000478916.1,ENSP00000481191.1
ENSP00000489607.1	1evh	A	100	112	0	0	1	112	1	112	9e-77	249	6	ENSP00000384720.2,ENSP00000437904.2,ENSP00000376652.3,ENSP00000450723.1,ENSP00000481825.1,ENSP00000452156.1,ENSP00000451226.1,ENSP00000452327.1,ENSP00000450979.1,ENSP00000451821.1,ENSP00000451761.1
ENSP00000216392.7	1exv	A	100	847	0	0	1	847	1	847	0	1762	13	ENSP00000216962.3,ENSP00000395451.1
ENSP00000216392.7	1exv	B	100	847	0	0	1	847	1	847	0	1762	12	ENSP00000216962.3,ENSP00000395451.1
ENSP00000222812.3	1ez3	A	100	127	0	0	24	150	1	127	2e-85	258	3	ENSP00000215095.5,ENSP00000455899.1
ENSP00000222812.3	1ez3	B	100	127	0	0	24	150	1	127	2e-85	258	2	ENSP00000215095.5,ENSP00000455899.1
ENSP00000222812.3	1ez3	C	100	127	0	0	24	150	1	127	2e-85	258	1	ENSP00000215095.5,ENSP00000455899.1
ENSP00000216392.7	1fa9	A	100	846	0	0	2	847	1	846	0	1759	26	ENSP00000216962.3,ENSP00000395451.1
ENSP00000264033.3	1fbv	A	100	388	0	0	47	434	1	388	0	827	10	ENSP00000270279.3,ENSP00000340250.4,ENSP00000494162.1,ENSP00000495258.1
ENSP00000264033.3	1fbv	A	100	388	0	0	47	434	1	388	0	827	10	ENSP00000377598.4,ENSP00000496297.1,ENSP00000264122.4,ENSP00000494383.1,ENSP00000496708.1,ENSP00000494262.1,ENSP00000496761.1,ENSP00000496352.1,ENSP00000384816.1,ENSP00000384938.1,ENSP00000400949.2,ENSP00000494989.1,ENSP00000409750.2,ENSP00000393906.2,ENSP00000495754.1,ENSP00000499037.1
ENSP00000216392.7	1fc0	A	100	846	0	0	2	847	1	846	0	1759	25	ENSP00000216962.3,ENSP00000395451.1
ENSP00000216392.7	1fc0	B	100	846	0	0	2	847	1	846	0	1759	24	ENSP00000216962.3,ENSP00000395451.1
ENSP00000454207.1	1flk	A	100	228	0	0	341	568	1	228	2e-169	486	4	ENSP00000261464.5,ENSP00000355971.3,ENSP00000336825.2
ENSP00000454207.1	1flk	B	100	228	0	0	341	568	1	228	2e-169	486	3	ENSP00000261464.5,ENSP00000355971.3,ENSP00000336825.2
ENSP00000454207.1	1fll	A	100	228	0	0	341	568	1	228	2e-169	486	2	ENSP00000261464.5,ENSP00000355971.3,ENSP00000336825.2
ENSP00000454207.1	1fll	B	100	228	0	0	341	568	1	228	2e-169	486	1	ENSP00000261464.5,ENSP00000355971.3,ENSP00000336825.2
ENSP00000282397.4	1flt	X	100	95	0	0	132	226	1	95	1e-58	202	18	ENSP00000495159.1,ENSP00000263923.4
ENSP00000282397.4	1flt	Y	100	95	0	0	132	226	1	95	1e-58	202	17	ENSP00000495159.1,ENSP00000263923.4
ENSP00000369375.4	1fvr	A	100	317	0	0	808	1124	11	327	0	664	7	ENSP00000361554.3,ENSP00000440063.1
ENSP00000369375.4	1fvr	B	100	317	0	0	808	1124	11	327	0	664	6	ENSP00000361554.3,ENSP00000440063.1
ENSP00000349594.5	1fxl	A	100	167	0	0	80	246	1	167	3e-115	339	2	ENSP00000385269.1,ENSP00000471011.1,ENSP00000472197.1,ENSP00000470727.1
ENSP00000435289.1	1fxw	F	100	229	0	0	1	229	1	229	4e-170	474	11	ENSP00000262890.2,ENSP00000471933.1,ENSP00000473065.1,ENSP00000470753.1,ENSP00000472950.1,ENSP00000469352.1,ENSP00000444935.1
ENSP00000349594.5	1g2e	A	100	167	0	0	80	246	1	167	3e-115	339	1	ENSP00000385269.1,ENSP00000471011.1,ENSP00000472197.1,ENSP00000470727.1
ENSP00000262613.5	1g9o	A	100	89	0	0	11	99	3	91	1e-56	185	7	ENSP00000454361.1,ENSP00000408005.2,ENSP00000402857.2,ENSP00000455909.1,ENSP00000457755.1,ENSP00000454690.1,ENSP00000456895.1
ENSP00000311032.4	1gfw	A	100	147	0	0	29	175	1	147	4e-104	305	45	ENSP00000400094.1,ENSP00000358337.3,ENSP00000298701.7,ENSP00000358324.3,ENSP00000358321.1,ENSP00000398107.2,ENSP00000478999.1,ENSP00000478285.1,ENSP00000358327.3,ENSP00000480584.1
ENSP00000410294.2	1gjo	A	100	313	0	0	457	769	4	316	0	658	4	ENSP00000292408.4,ENSP00000424905.1,ENSP00000377259.2,ENSP00000426492.1,ENSP00000424960.1,ENSP00000427222.1,ENSP00000422889.1,ENSP00000377254.1,ENSP00000395164.1,ENSP00000424670.1
ENSP00000410294.2	1gjo	A	100	313	0	0	457	769	4	316	0	658	4	ENSP00000414914.2,ENSP00000420533.2,ENSP00000231803.1,ENSP00000260795.3,ENSP00000427289.1,ENSP00000339824.4,ENSP00000412903.2,ENSP00000479472.1
ENSP00000446007.1	1gk4	A	100	84	0	0	328	411	1	84	4e-51	173	12	ENSP00000492432.1,ENSP00000466598.2,ENSP00000491042.1,ENSP00000491375.1,ENSP00000491243.1,ENSP00000492300.1,ENSP00000491466.1,ENSP00000492860.1,ENSP00000491735.1,ENSP00000253408.5,ENSP00000467397.2,ENSP00000492832.1,ENSP00000467530.2,ENSP00000403962.1,ENSP00000491088.1,ENSP00000492156.1,ENSP00000465320.1,ENSP00000468500.2,ENSP00000366189.4,ENSP00000465565.1,ENSP00000465629.1,ENSP00000465208.1,ENSP00000466163.1,ENSP00000467106.1
ENSP00000446007.1	1gk4	A	100	84	0	0	328	411	1	84	4e-51	173	12	ENSP00000363071.3
