P1_ID	P2_ID	HM_P1	HM_P2	HET	Strict_HM_P1	Strict_HM_P2
ENSP00000321584.4	ENSP00000420185.1	1nf7_1	NA	NA	1nf7_1	NA
ENSP00000321584.4	ENSP00000419609.1	1nf7_1	NA	NA	1nf7_1	NA
ENSP00000321584.4	ENSP00000418592.1	1nf7_1	NA	NA	1nf7_1	NA
ENSP00000321584.4	ENSP00000420469.1	1nf7_1	NA	NA	1nf7_1	NA
ENSP00000321584.4	ENSP00000486056.1	1nf7_1	NA	NA	1nf7_1	NA
ENSP00000264033.3	ENSP00000270279.3	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000340250.4	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000494162.1	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000495258.1	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000377598.4	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000496297.1	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000264122.4	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000494383.1	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000496708.1	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000494262.1	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000496761.1	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000496352.1	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000384816.1	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000384938.1	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000400949.2	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000494989.1	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000409750.2	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000393906.2	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000495754.1	2cbl_1	NA	NA	1b47_1	NA
ENSP00000264033.3	ENSP00000499037.1	2cbl_1	NA	NA	1b47_1	NA
ENSP00000370912.3	ENSP00000483570.1	NA	5j87_1	NA	NA	5j87_1
ENSP00000424567.1	ENSP00000483570.1	NA	5j87_1	NA	NA	5j87_1
ENSP00000424365.1	ENSP00000483570.1	NA	5j87_1	NA	NA	5j87_1
ENSP00000264316.4	ENSP00000483570.1	NA	5j87_1	NA	NA	5j87_1
ENSP00000422139.1	ENSP00000483570.1	NA	5j87_1	NA	NA	5j87_1
ENSP00000423481.1	ENSP00000483570.1	NA	5j87_1	NA	NA	5j87_1
ENSP00000424070.1	ENSP00000483570.1	NA	5j87_1	NA	NA	5j87_1
ENSP00000422798.1	ENSP00000483570.1	NA	5j87_1	NA	NA	5j87_1
ENSP00000315768.4	ENSP00000354394.3	NA	3wwt_1	NA	NA	NA
ENSP00000354394.3	ENSP00000498470.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000498876.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000498704.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000498710.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000499108.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000499022.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000450751.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000387354.2	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000450985.1	3wwt_1	NA	NA	NA	NA
ENSP00000300134.3	ENSP00000354394.3	NA	3wwt_1	NA	NA	NA
ENSP00000354394.3	ENSP00000498693.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000451546.2	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000451909.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000445409.2	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000438451.2	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000451742.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000444530.2	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000401486.3	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000491116.2	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000450428.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000452394.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000452373.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000451074.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000452203.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000450510.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000450665.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000450747.1	3wwt_1	NA	NA	NA	NA
ENSP00000354394.3	ENSP00000450732.1	3wwt_1	NA	NA	NA	NA
ENSP00000295025.7	ENSP00000384273.3	NA	1my5_1	NA	NA	1my5_1
ENSP00000377989.3	ENSP00000384273.3	NA	1my5_1	NA	NA	1my5_1
ENSP00000384273.3	ENSP00000496299.1	1my5_1	NA	NA	1my5_1	NA
ENSP00000221452.7	ENSP00000384273.3	NA	1my5_1	NA	NA	1my5_1
ENSP00000384273.3	ENSP00000427348.1	1my5_1	NA	NA	1my5_1	NA
ENSP00000384273.3	ENSP00000423287.1	1my5_1	NA	NA	1my5_1	NA
ENSP00000384273.3	ENSP00000468460.1	1my5_1	NA	NA	1my5_1	NA
ENSP00000384273.3	ENSP00000485826.1	1my5_1	NA	NA	1my5_1	NA
ENSP00000328213.4	ENSP00000428924.1	1bhh_1	NA	NA	1bhh_1	NA
ENSP00000328213.4	ENSP00000428424.1	1bhh_1	NA	NA	1bhh_1	NA
ENSP00000328213.4	ENSP00000428313.1	1bhh_1	NA	NA	1bhh_1	NA
ENSP00000328213.4	ENSP00000365022.2	1bhh_1	NA	NA	1bhh_1	NA
ENSP00000328213.4	ENSP00000486627.1	1bhh_1	NA	NA	1bhh_1	NA
ENSP00000328213.4	ENSP00000420457.1	1bhh_1	NA	NA	1bhh_1	NA
ENSP00000262651.3	ENSP00000328213.4	NA	1bhh_1	NA	NA	1bhh_1
ENSP00000328213.4	ENSP00000429848.1	1bhh_1	NA	NA	1bhh_1	NA
ENSP00000328213.4	ENSP00000427757.1	1bhh_1	NA	NA	1bhh_1	NA
ENSP00000328213.4	ENSP00000365012.2	1bhh_1	4u5w_1	NA	1bhh_1	NA
ENSP00000328213.4	ENSP00000441169.1	1bhh_1	NA	NA	1bhh_1	NA
ENSP00000328213.4	ENSP00000444986.3	1bhh_1	NA	NA	1bhh_1	NA
ENSP00000328213.4	ENSP00000491964.1	1bhh_1	NA	NA	1bhh_1	NA
ENSP00000219406.6	ENSP00000327801.4	NA	4ju5_1	NA	NA	4ju5_1
ENSP00000327801.4	ENSP00000384410.1	4ju5_1	NA	NA	4ju5_1	NA
ENSP00000327801.4	ENSP00000392277.1	4ju5_1	NA	NA	4ju5_1	NA
ENSP00000327801.4	ENSP00000405081.1	4ju5_1	NA	NA	4ju5_1	NA
ENSP00000305465.4	ENSP00000327801.4	NA	4ju5_1	NA	NA	4ju5_1
ENSP00000327801.4	ENSP00000459161.1	4ju5_1	NA	NA	4ju5_1	NA
ENSP00000261336.2	ENSP00000323929.7	NA	4acq_1	NA	NA	4acq_1
ENSP00000323929.7	ENSP00000440811.1	4acq_1	NA	NA	4acq_1	NA
ENSP00000352929.3	ENSP00000381531.5	NA	1cki_1	NA	NA	1cki_1
ENSP00000381531.5	ENSP00000400494.1	1cki_1	NA	NA	1cki_1	NA
ENSP00000381531.5	ENSP00000403610.1	1cki_1	NA	NA	1cki_1	NA
ENSP00000381531.5	ENSP00000384074.1	1cki_1	NA	NA	1cki_1	NA
ENSP00000381531.5	ENSP00000412194.1	1cki_1	NA	NA	1cki_1	NA
ENSP00000381531.5	ENSP00000407235.2	1cki_1	NA	NA	1cki_1	NA
ENSP00000381531.5	ENSP00000384426.3	1cki_1	NA	NA	1cki_1	NA
ENSP00000381531.5	ENSP00000397460.1	1cki_1	NA	NA	1cki_1	NA
ENSP00000381531.5	ENSP00000403057.1	1cki_1	NA	NA	1cki_1	NA
ENSP00000381531.5	ENSP00000412335.1	1cki_1	NA	NA	1cki_1	NA
ENSP00000380044.1	ENSP00000381531.5	NA	1cki_1	NA	NA	1cki_1
ENSP00000367545.4	ENSP00000410739.2	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000488924.1	5kbd_1	2ac0_1	NA	NA	NA
ENSP00000352610.4	ENSP00000367545.4	NA	5kbd_1	NA	NA	NA
ENSP00000367545.4	ENSP00000484409.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000478499.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000481179.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000484375.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000481401.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000477531.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000478219.1	5kbd_1	NA	NA	NA	NA
ENSP00000269305.4	ENSP00000367545.4	NA	5kbd_1	NA	NA	NA
ENSP00000367545.4	ENSP00000481638.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000398846.2	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000391127.2	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000482222.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000480868.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000391478.2	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000482537.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000458393.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000425104.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000423862.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000424104.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000473895.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000426252.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000482258.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000482903.1	5kbd_1	NA	NA	NA	NA
ENSP00000264731.3	ENSP00000367545.4	4a9z_1	5kbd_1	NA	4a9z_1	NA
ENSP00000367545.4	ENSP00000407144.2	5kbd_1	NA	NA	NA	NA
ENSP00000317510.5	ENSP00000367545.4	NA	5kbd_1	NA	NA	NA
ENSP00000367545.4	ENSP00000376253.3	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000394337.2	5kbd_1	NA	NA	NA	NA
ENSP00000346614.5	ENSP00000367545.4	NA	5kbd_1	NA	NA	NA
ENSP00000367545.4	ENSP00000401661.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000392488.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000376256.2	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000376254.3	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000387839.1	5kbd_1	NA	NA	NA	NA
ENSP00000367545.4	ENSP00000389485.1	5kbd_1	NA	NA	NA	NA
ENSP00000334382.6	ENSP00000439937.1	NA	3cvf_1	NA	NA	3cvf_1
ENSP00000262320.3	ENSP00000302625.5	1dk8_1	NA	NA	1dk8_1	NA
ENSP00000262320.3	ENSP00000364854.5	1dk8_1	NA	NA	1dk8_1	NA
ENSP00000262320.3	ENSP00000464264.1	1dk8_1	NA	NA	1dk8_1	NA
ENSP00000262320.3	ENSP00000463761.1	1dk8_1	NA	NA	1dk8_1	NA
ENSP00000262320.3	ENSP00000463192.1	1dk8_1	NA	NA	1dk8_1	NA
ENSP00000262320.3	ENSP00000441151.2	1dk8_1	NA	NA	1dk8_1	NA
ENSP00000262320.3	ENSP00000478916.1	1dk8_1	NA	NA	1dk8_1	NA
ENSP00000262320.3	ENSP00000481191.1	1dk8_1	NA	NA	1dk8_1	NA
ENSP00000356707.2	ENSP00000362014.3	NA	2x2e_1	NA	NA	2x2e_1
ENSP00000347457.5	ENSP00000362014.3	NA	2x2e_1	NA	NA	2x2e_1
ENSP00000362014.3	ENSP00000486701.1	2x2e_1	NA	NA	2x2e_1	NA
ENSP00000356705.1	ENSP00000362014.3	NA	2x2e_1	NA	NA	2x2e_1
ENSP00000362014.3	ENSP00000429701.1	2x2e_1	NA	NA	2x2e_1	NA
ENSP00000362014.3	ENSP00000429416.1	2x2e_1	NA	NA	2x2e_1	NA
ENSP00000362014.3	ENSP00000429165.1	2x2e_1	NA	NA	2x2e_1	NA
ENSP00000362014.3	ENSP00000468734.1	2x2e_1	NA	NA	2x2e_1	NA
ENSP00000352721.6	ENSP00000362014.3	NA	2x2e_1	NA	NA	2x2e_1
ENSP00000362014.3	ENSP00000373905.3	2x2e_1	NA	NA	2x2e_1	NA
ENSP00000347890.6	ENSP00000362014.3	NA	2x2e_1	NA	NA	2x2e_1
ENSP00000362014.3	ENSP00000386192.3	2x2e_1	NA	NA	2x2e_1	NA
ENSP00000362014.3	ENSP00000467430.1	2x2e_1	NA	NA	2x2e_1	NA
ENSP00000362014.3	ENSP00000466603.2	2x2e_1	NA	NA	2x2e_1	NA
ENSP00000362014.3	ENSP00000466914.1	2x2e_1	NA	NA	2x2e_1	NA
ENSP00000362014.3	ENSP00000466621.1	2x2e_1	NA	NA	2x2e_1	NA
ENSP00000338934.7	ENSP00000353408.5	NA	1ef1_1	NA	NA	1ef1_1
ENSP00000353408.5	ENSP00000356042.3	1ef1_1	NA	NA	1ef1_1	NA
ENSP00000353408.5	ENSP00000376016.5	1ef1_1	NA	NA	1ef1_1	NA
ENSP00000345023.1	ENSP00000358727.5	NA	4yqu_1	NA	NA	4yqu_1
ENSP00000358721.1	ENSP00000358727.5	NA	4yqu_1	NA	NA	4yqu_1
ENSP00000358727.5	ENSP00000390986.2	4yqu_1	NA	NA	4yqu_1	NA
ENSP00000219302.3	ENSP00000395605.1	1zs6_1	1ehw_1	NA	1zs6_1	1ehw_1
ENSP00000395605.1	ENSP00000456160.1	1ehw_1	NA	NA	1ehw_1	NA
ENSP00000395605.1	ENSP00000455271.1	1ehw_1	NA	NA	1ehw_1	NA
ENSP00000395605.1	ENSP00000455435.1	1ehw_1	NA	NA	1ehw_1	NA
ENSP00000395605.1	ENSP00000454498.1	1ehw_1	NA	NA	1ehw_1	NA
ENSP00000216392.7	ENSP00000216962.3	3dds_1	5iko_1	NA	3dds_1	5iko_1
ENSP00000216392.7	ENSP00000395451.1	3dds_1	NA	NA	3dds_1	NA
ENSP00000384720.2	ENSP00000489607.1	NA	5n9c_1	NA	NA	NA
ENSP00000437904.2	ENSP00000489607.1	NA	5n9c_1	NA	NA	NA
ENSP00000376652.3	ENSP00000489607.1	NA	5n9c_1	NA	NA	NA
ENSP00000450723.1	ENSP00000489607.1	NA	5n9c_1	NA	NA	NA
ENSP00000481825.1	ENSP00000489607.1	NA	5n9c_1	NA	NA	NA
ENSP00000452156.1	ENSP00000489607.1	NA	5n9c_1	NA	NA	NA
ENSP00000451226.1	ENSP00000489607.1	NA	5n9c_1	NA	NA	NA
ENSP00000452327.1	ENSP00000489607.1	NA	5n9c_1	NA	NA	NA
ENSP00000450979.1	ENSP00000489607.1	NA	5n9c_1	NA	NA	NA
ENSP00000451821.1	ENSP00000489607.1	NA	5n9c_1	NA	NA	NA
ENSP00000451761.1	ENSP00000489607.1	NA	5n9c_1	NA	NA	NA
ENSP00000215095.5	ENSP00000222812.3	NA	5w5c_1	NA	NA	1hvv_1
ENSP00000222812.3	ENSP00000455899.1	5w5c_1	NA	NA	1hvv_1	NA
ENSP00000261464.5	ENSP00000454207.1	NA	4ghu_1	NA	NA	1flk_1
ENSP00000355971.3	ENSP00000454207.1	NA	4ghu_1	NA	NA	1flk_1
ENSP00000336825.2	ENSP00000454207.1	NA	4ghu_1	NA	NA	1flk_1
ENSP00000282397.4	ENSP00000495159.1	1flt_1	3kvq_1	NA	4cl7_1	3kvq_1
ENSP00000263923.4	ENSP00000282397.4	NA	1flt_1	NA	NA	4cl7_1
ENSP00000262890.2	ENSP00000435289.1	NA	1vyh_1	NA	NA	NA
ENSP00000435289.1	ENSP00000471933.1	1vyh_1	NA	NA	NA	NA
ENSP00000435289.1	ENSP00000473065.1	1vyh_1	NA	NA	NA	NA
ENSP00000435289.1	ENSP00000470753.1	1vyh_1	NA	NA	NA	NA
ENSP00000435289.1	ENSP00000472950.1	1vyh_1	NA	NA	NA	NA
ENSP00000435289.1	ENSP00000469352.1	1vyh_1	NA	NA	NA	NA
ENSP00000435289.1	ENSP00000444935.1	1vyh_1	NA	NA	NA	NA
ENSP00000311032.4	ENSP00000400094.1	2dko_1	NA	NA	2xyg_1	NA
ENSP00000311032.4	ENSP00000358337.3	2dko_1	NA	NA	2xyg_1	NA
ENSP00000298701.7	ENSP00000311032.4	NA	2dko_1	NA	NA	2xyg_1
ENSP00000311032.4	ENSP00000358324.3	2dko_1	NA	NA	2xyg_1	NA
ENSP00000311032.4	ENSP00000358321.1	2dko_1	NA	NA	2xyg_1	NA
ENSP00000311032.4	ENSP00000398107.2	2dko_1	NA	NA	2xyg_1	NA
ENSP00000311032.4	ENSP00000478999.1	2dko_1	NA	NA	2xyg_1	NA
ENSP00000311032.4	ENSP00000478285.1	2dko_1	NA	NA	2xyg_1	NA
ENSP00000311032.4	ENSP00000358327.3	2dko_1	4jb8_1	NA	2xyg_1	3ibf_1
ENSP00000311032.4	ENSP00000480584.1	2dko_1	NA	NA	2xyg_1	NA
ENSP00000292408.4	ENSP00000410294.2	NA	3caf_1	NA	NA	3caf_1
ENSP00000410294.2	ENSP00000424905.1	3caf_1	NA	NA	3caf_1	NA
ENSP00000377259.2	ENSP00000410294.2	NA	3caf_1	NA	NA	3caf_1
ENSP00000410294.2	ENSP00000426492.1	3caf_1	NA	NA	3caf_1	NA
ENSP00000410294.2	ENSP00000424960.1	3caf_1	NA	NA	3caf_1	NA
ENSP00000410294.2	ENSP00000427222.1	3caf_1	NA	NA	3caf_1	NA
ENSP00000410294.2	ENSP00000422889.1	3caf_1	NA	NA	3caf_1	NA
ENSP00000377254.1	ENSP00000410294.2	NA	3caf_1	NA	NA	3caf_1
ENSP00000395164.1	ENSP00000410294.2	NA	3caf_1	NA	NA	3caf_1
ENSP00000410294.2	ENSP00000424670.1	3caf_1	NA	NA	3caf_1	NA
ENSP00000410294.2	ENSP00000414914.2	3caf_1	NA	NA	3caf_1	NA
ENSP00000410294.2	ENSP00000420533.2	3caf_1	NA	NA	3caf_1	NA
ENSP00000231803.1	ENSP00000410294.2	NA	3caf_1	NA	NA	3caf_1
ENSP00000260795.3	ENSP00000410294.2	NA	3caf_1	NA	NA	3caf_1
ENSP00000410294.2	ENSP00000427289.1	3caf_1	NA	NA	3caf_1	NA
ENSP00000339824.4	ENSP00000410294.2	NA	3caf_1	NA	NA	3caf_1
ENSP00000410294.2	ENSP00000412903.2	3caf_1	NA	NA	3caf_1	NA
ENSP00000410294.2	ENSP00000479472.1	3caf_1	NA	NA	3caf_1	NA
ENSP00000446007.1	ENSP00000492432.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000466598.2	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000491042.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000491375.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000491243.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000492300.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000491466.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000492860.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000491735.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000253408.5	ENSP00000446007.1	NA	4ypc_1	NA	NA	4ypc_1
ENSP00000446007.1	ENSP00000467397.2	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000492832.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000467530.2	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000403962.1	ENSP00000446007.1	NA	4ypc_1	NA	NA	4ypc_1
ENSP00000446007.1	ENSP00000491088.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000492156.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000465320.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000468500.2	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000366189.4	ENSP00000446007.1	NA	4ypc_1	NA	NA	4ypc_1
ENSP00000446007.1	ENSP00000465565.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000465629.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000465208.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000466163.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000446007.1	ENSP00000467106.1	4ypc_1	NA	NA	4ypc_1	NA
ENSP00000363071.3	ENSP00000446007.1	NA	4ypc_1	NA	NA	4ypc_1
ENSP00000264731.3	ENSP00000488924.1	4a9z_1	2ac0_1	NA	4a9z_1	NA
ENSP00000407144.2	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000317510.5	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000376253.3	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000394337.2	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000346614.5	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000401661.1	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000392488.1	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000376256.2	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000376254.3	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000387839.1	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000389485.1	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000475143.1	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000346423.4	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000474626.1	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000474322.1	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000367534.1	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000367529.1	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000367537.4	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000367539.4	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000350366.3	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000340740.4	ENSP00000488924.1	NA	2ac0_1	NA	NA	NA
ENSP00000252996.3	ENSP00000269142.5	2p6v_1	NA	NA	2p6v_1	NA
ENSP00000252996.3	ENSP00000462980.1	2p6v_1	NA	NA	2p6v_1	NA
ENSP00000252996.3	ENSP00000389365.3	2p6v_1	NA	NA	2p6v_1	NA
ENSP00000252699.2	ENSP00000443495.1	NA	1quu_1	NA	NA	1quu_1
ENSP00000439497.1	ENSP00000443495.1	NA	1quu_1	NA	NA	1quu_1
ENSP00000443495.1	ENSP00000467190.1	1quu_1	NA	NA	1quu_1	NA
ENSP00000443495.1	ENSP00000465176.1	1quu_1	NA	NA	1quu_1	NA
ENSP00000398393.1	ENSP00000443495.1	NA	1quu_1	NA	NA	1quu_1
ENSP00000411187.3	ENSP00000443495.1	NA	1quu_1	NA	NA	1quu_1
ENSP00000193403.6	ENSP00000443495.1	NA	1quu_1	NA	NA	1quu_1
ENSP00000377941.4	ENSP00000443495.1	NA	1quu_1	NA	NA	1quu_1
ENSP00000414272.2	ENSP00000443495.1	NA	1quu_1	NA	NA	1quu_1
